ID RA Dec LHa E_LHa LPab E_Pab AHa E_AHa Ha/24um Ha/70um Ha/8um Ha/12um Ha/100um
34 308.849 60.1662 3.263e+36 1.9303e+35 3.4378e+35 9.0587e+34 0.9707 0.4909 6.4978e-02 1.9482e-02 4.8930e-02 1.0593e-01 1.7070e-02
35 308.8496 60.1666 9.3217e+36 4.9558e+35 1.2334e+36 1.1143e+35 1.3306 0.1302 6.9169e-02 2.0942e-02 5.9196e-02 1.3415e-01 1.9145e-02
36 308.8501 60.167 1.3603e+37 7.1668e+35 2.2657e+36 1.5073e+35 1.6942 0.0732 6.9700e-02 2.0385e-02 7.1463e-02 1.4579e-01 1.9345e-02
37 308.8506 60.1675 2.4384e+37 1.2773e+36 2.7693e+36 1.7278e+35 1.0893 0.06 7.7078e-02 2.1591e-02 7.8488e-02 1.4813e-01 2.0896e-02
38 308.8511 60.1679 2.4774e+37 1.4513e+36 2.2635e+36 8.5077e+35 0.7456 1.3939 7.3401e-02 1.9897e-02 6.3870e-02 1.2627e-01 1.9317e-02
39 308.8492 60.1673 6.5624e+36 3.5479e+35 1.3901e+36 1.1665e+35 2.074 0.1177 8.4158e-02 1.9849e-02 6.1985e-02 1.2431e-01 1.8035e-02
40 308.8498 60.1677 2.0371e+37 1.0683e+36 2.422e+36 1.5743e+35 1.1616 0.0679 1.0174e-01 2.2953e-02 5.9170e-02 1.4056e-01 2.0961e-02
41 308.8503 60.1682 2.0573e+37 1.2972e+36 1.5624e+36 7.2321e+35 0.4537 2.2203 9.6500e-02 2.0757e-02 4.5625e-02 1.1808e-01 1.8981e-02
42 308.8284 60.1514 1.1421e+37 6.7583e+35 1.3031e+36 1.7898e+35 1.0966 0.3232 2.4148e-02 5.1477e-03 9.0701e-03 1.8587e-02 4.0892e-03
43 308.8489 60.168 1.0586e+37 9.4263e+35 9.476e+35 2.3829e+35 0.7134 1.3397 1.0734e-01 1.9711e-02 4.0289e-02 1.0814e-01 1.7094e-02
44 308.8494 60.1684 1.5502e+37 1.214e+36 1.4602e+36 7.0814e+35 0.7938 2.1503 1.1087e-01 1.9499e-02 3.3038e-02 1.0084e-01 1.6890e-02
45 308.827 60.1512 1.8663e+37 1.0638e+36 3.6606e+36 3.1794e+35 1.9525 0.1816 3.0311e-02 5.2367e-03 6.1789e-03 2.1593e-02 4.8313e-03
46 308.8276 60.1516 1.6949e+37 8.9032e+35 2.9655e+36 1.8168e+35 1.772 0.0576 2.8489e-02 5.3632e-03 7.2110e-03 2.0818e-02 4.7912e-03
47 308.8412 60.1627 6.8629e+36 4.8617e+35 1.0193e+36 1.5024e+35 1.5132 0.3616 5.5839e-02 1.1061e-02 1.7767e-02 3.7607e-02 7.8785e-03
48 308.8475 60.1678 6.7343e+36 9.5189e+35 6.6087e+35 9.8339e+34 0.8585 0.3498 1.2071e-01 2.0473e-02 3.9411e-02 1.0500e-01 1.6851e-02
49 308.848 60.1683 9.3683e+36 9.3358e+35 1.2103e+36 2.0576e+35 1.2929 0.5625 1.1794e-01 1.9527e-02 3.3268e-02 9.8081e-02 1.5997e-02
50 308.8486 60.1687 1.359e+37 1.0241e+36 1.7347e+36 7.1408e+35 1.2739 0.0933 1.1738e-01 1.9003e-02 2.9104e-02 9.1337e-02 1.5503e-02
51 308.8257 60.151 2.8314e+37 1.5589e+36 5.933e+36 4.7643e+35 2.0569 0.1597 3.8372e-02 5.9722e-03 6.0003e-03 2.6689e-02 5.8156e-03
52 308.8262 60.1515 4.7372e+37 2.5045e+36 1.1488e+37 1.0739e+36 2.2877 0.1882 5.4682e-02 8.6310e-03 7.6397e-03 3.7889e-02 8.6212e-03
53 308.8267 60.1519 3.1273e+37 1.6365e+36 9.3317e+36 4.9936e+35 2.6153 0.0312 4.1760e-02 7.2539e-03 7.4951e-03 3.0669e-02 6.9554e-03
54 308.8367 60.16 1.3863e+37 7.3219e+35 1.8138e+36 1.8149e+35 1.3129 0.2009 1.0554e-01 1.8295e-02 1.8117e-02 5.6771e-02 1.1831e-02
55 308.8404 60.163 7.5166e+36 4.0321e+35 9.0763e+35 1.0185e+35 1.1861 0.1763 4.7336e-02 8.9372e-03 1.6972e-02 3.3964e-02 6.8675e-03
56 308.8461 60.1677 2.885e+35 3.0531e+35 8.2581e+34 9.508e+34 2.5496 1.6939 1.0866e-01 1.7978e-02 3.8588e-02 8.1513e-02 1.4169e-02
57 308.8467 60.1681 4.8895e+36 4.7685e+35 8.6041e+35 1.166e+35 1.7811 0.3509 1.2287e-01 2.0726e-02 3.6781e-02 9.7516e-02 1.5988e-02
58 308.8472 60.1685 8.2095e+36 5.6163e+35 1.0608e+36 1.8187e+35 1.2932 0.5124 1.1970e-01 2.0246e-02 3.3673e-02 9.5070e-02 1.5469e-02
59 308.8477 60.1689 1.222e+37 7.1236e+35 1.385e+36 5.4026e+35 1.0862 0.6978 1.1474e-01 1.9485e-02 3.1423e-02 8.8264e-02 1.4704e-02
60 308.8248 60.1513 3.8319e+37 2.0787e+36 8.9526e+36 8.1346e+35 2.2288 0.1886 4.8295e-02 7.3757e-03 7.1301e-03 3.5063e-02 7.4244e-03
61 308.8253 60.1517 5.449e+37 2.9011e+36 1.1123e+37 1.0138e+36 2.0156 0.1836 6.1738e-02 9.5538e-03 8.5291e-03 4.2862e-02 9.8008e-03
62 308.8259 60.1522 3.3373e+37 1.746e+36 8.8756e+36 4.7592e+35 2.4334 0.0308 4.4579e-02 7.5978e-03 8.1339e-03 3.2609e-02 7.4568e-03
63 308.8348 60.1594 1.6286e+37 8.5826e+35 2.0314e+36 1.9377e+35 1.2375 0.1864 1.1962e-01 1.9595e-02 1.6567e-02 5.7846e-02 1.2605e-02
64 308.8353 60.1598 2.6578e+37 1.3953e+36 3.5694e+36 3.3869e+35 1.3541 0.1872 1.6730e-01 2.7278e-02 2.0920e-02 8.3271e-02 1.8014e-02
65 308.8358 60.1603 2.5248e+37 1.3259e+36 2.6499e+36 2.5518e+35 0.9647 0.1909 1.4943e-01 2.4714e-02 2.3603e-02 8.0173e-02 1.6424e-02
66 308.8364 60.1607 1.0571e+37 5.6143e+35 8.4888e+35 1.1286e+35 0.5417 0.2853 7.8669e-02 1.3176e-02 2.1219e-02 4.5783e-02 8.6703e-03
67 308.8395 60.1632 7.896e+36 4.2255e+35 7.6009e+35 9.8181e+34 0.8281 0.2102 4.1366e-02 7.2199e-03 1.3100e-02 2.9909e-02 5.9211e-03
68 308.84 60.1637 9.1094e+36 4.8467e+35 5.7942e+35 9.4346e+34 0.1735 0.2769 4.3774e-02 7.9935e-03 1.5207e-02 3.4122e-02 7.0711e-03
69 308.8437 60.1667 5.9392e+36 3.2396e+35 9.1613e+35 1.2427e+35 1.573 0.3056 1.0979e-01 1.6118e-02 2.6973e-02 7.4610e-02 1.4875e-02
70 308.8442 60.1671 7.3641e+36 3.9761e+35 9.4893e+35 1.2752e+35 1.2888 0.3021 1.3119e-01 1.9371e-02 2.9237e-02 8.1245e-02 1.6752e-02
71 308.8463 60.1688 2.9291e+36 1.8875e+35 3.1269e+35 1.3797e+35 0.9915 2.0368 1.0205e-01 1.9111e-02 3.9201e-02 8.4356e-02 1.3593e-02
72 308.8469 60.1692 1.0529e+37 5.6163e+35 7.9345e+35 4.8955e+35 0.4414 0.2009 1.0514e-01 2.0330e-02 3.9745e-02 8.5165e-02 1.4030e-02
73 308.8239 60.1516 1.6398e+37 8.6168e+35 2.8148e+36 1.7483e+35 1.7419 0.0603 3.0209e-02 4.8804e-03 6.1978e-03 2.2259e-02 4.8289e-03
74 308.8245 60.152 2.2869e+37 1.1984e+36 2.4988e+36 1.6078e+35 1.0284 0.0658 3.6142e-02 5.8598e-03 6.9160e-03 2.6626e-02 5.9106e-03
75 308.825 60.1524 1.5534e+37 8.1681e+35 1.4265e+36 1.1791e+35 0.7537 0.1122 3.0054e-02 5.3174e-03 6.9843e-03 2.2743e-02 5.1308e-03
76 308.8255 60.1528 7.4669e+36 4.0067e+35 9.5163e+35 1.0304e+35 1.2714 0.1683 2.2097e-02 4.5788e-03 6.8784e-03 1.8010e-02 3.9968e-03
77 308.8339 60.1597 1.2831e+37 6.7856e+35 1.2878e+36 1.3911e+35 0.8941 0.2192 1.0357e-01 1.6401e-02 1.4967e-02 5.2510e-02 1.0624e-02
78 308.8344 60.1601 2.0871e+37 1.0973e+36 2.3283e+36 2.2792e+35 1.061 0.1952 1.3353e-01 2.0961e-02 1.7370e-02 6.7686e-02 1.4036e-02
79 308.835 60.1605 1.8793e+37 9.8892e+35 1.3891e+36 1.6434e+35 0.4108 0.2539 1.1371e-01 1.8251e-02 1.9010e-02 6.0830e-02 1.2264e-02
80 308.8386 60.1635 8.0749e+36 4.3168e+35 1.5306e+36 1.216e+35 1.8985 0.1067 4.2110e-02 6.8653e-03 9.7729e-03 2.9625e-02 5.8520e-03
81 308.8392 60.1639 2.306e+37 1.2084e+36 2.9877e+36 1.827e+35 1.2974 0.0563 6.7923e-02 1.1192e-02 1.3258e-02 4.9806e-02 1.0476e-02
82 308.8397 60.1644 2.897e+37 1.5451e+36 3.4202e+36 3.0753e+35 1.1506 0.1783 7.8850e-02 1.4088e-02 1.8095e-02 6.4972e-02 1.3772e-02
83 308.8402 60.1648 1.3226e+37 7.2065e+35 8.6458e+35 1.0401e+35 0.2167 0.2317 5.2406e-02 1.0778e-02 2.3514e-02 5.1540e-02 1.0393e-02
84 308.8434 60.1673 8.872e+36 4.7373e+35 6.6185e+35 1.1316e+35 0.4254 0.4137 1.3469e-01 2.0424e-02 2.5569e-02 8.4553e-02 1.7344e-02
85 308.8439 60.1678 5.4438e+36 2.9903e+35 4.0477e+35 9.99e+34 0.4201 0.7577 1.2624e-01 2.0706e-02 3.3492e-02 8.3531e-02 1.6318e-02
