ID RA Dec LHa E_LHa LPab E_Pab AHa E_AHa Ha/24um Ha/70um Ha/8um Ha/12um Ha/100um
464 308.7993 60.1813 3.9288e+37 2.0598e+36 5.1741e+36 4.3252e+35 1.3232 0.1524 9.6926e-02 1.2238e-02 1.4169e-02 6.0926e-02 1.2538e-02
465 308.7999 60.1818 6.6406e+37 3.4784e+36 7.5803e+36 6.9206e+35 1.0974 0.1766 1.3709e-01 1.6948e-02 2.2307e-02 8.9451e-02 1.7614e-02
466 308.8004 60.1822 5.8355e+37 3.0572e+36 5.2324e+36 4.7241e+35 0.716 0.1736 1.3240e-01 1.6836e-02 2.9869e-02 9.3427e-02 1.7265e-02
467 308.8009 60.1826 2.8827e+37 1.5128e+36 1.6933e+36 3.1059e+35 0.0478 0.5208 9.0769e-02 1.2297e-02 3.2762e-02 7.1865e-02 1.2172e-02
468 308.7502 60.1424 1.2915e+37 6.8294e+35 1.8798e+36 2.0963e+35 1.4812 0.2375 4.1614e-02 7.5011e-03 8.6260e-03 2.5250e-02 5.4351e-03
469 308.7507 60.1428 6.4517e+36 3.499e+35 3.8449e+35 1.3831e+35 0.0706 1.237 3.1999e-02 5.7036e-03 7.2244e-03 1.9469e-02 4.2190e-03
470 308.7518 60.1437 1.6499e+37 8.6935e+35 6.2797e+36 5.8932e+35 2.9998 0.184 3.6837e-02 6.2766e-03 6.3776e-03 2.2872e-02 5.1188e-03
471 308.7523 60.1441 2.0901e+37 1.0989e+36 5.2169e+36 4.6692e+35 2.3332 0.1708 3.7558e-02 6.5541e-03 6.6641e-03 2.3846e-02 5.4937e-03
472 308.7717 60.1599 1.379e+37 7.2537e+35 3.0512e+36 3.2917e+35 2.1429 0.2267 4.5681e-02 8.8332e-03 6.7558e-03 2.3271e-02 6.0126e-03
473 308.7937 60.1778 1.4758e+37 7.7876e+35 2.2314e+36 1.8766e+35 1.5413 0.1525 2.3387e-02 4.6594e-03 6.9713e-03 2.0668e-02 4.4438e-03
474 308.7979 60.1812 1.7551e+37 9.2417e+35 2.9905e+36 2.6483e+35 1.7301 0.1671 5.6271e-02 7.9149e-03 8.3896e-03 3.5952e-02 7.6931e-03
475 308.7985 60.1816 3.2228e+37 1.6906e+36 5.8392e+36 5.04e+35 1.8272 0.161 8.3735e-02 1.0642e-02 1.0393e-02 5.2108e-02 1.0879e-02
476 308.799 60.182 4.7878e+37 2.5091e+36 6.9671e+36 6.0394e+35 1.4809 0.1626 1.0757e-01 1.3187e-02 1.4170e-02 6.9207e-02 1.3706e-02
477 308.7995 60.1825 4.0981e+37 2.1483e+36 5.1028e+36 4.4922e+35 1.2346 0.1662 1.0259e-01 1.2825e-02 1.7150e-02 6.9017e-02 1.3179e-02
478 308.8 60.1829 2.0474e+37 1.0758e+36 2.1131e+36 3.3338e+35 0.9382 0.4104 7.4202e-02 9.8614e-03 1.7297e-02 5.5044e-02 9.7665e-03
479 308.8006 60.1833 7.8305e+36 4.2023e+35 7.8687e+35 8.3868e+35 0.896 2.2611 4.8127e-02 6.9133e-03 1.5157e-02 3.9069e-02 6.5176e-03
480 308.7363 60.132 1.7194e+37 8.9705e+35 3.3315e+36 3.4141e+35 1.9332 0.2037 5.2772e-02 8.8466e-03 7.3415e-03 2.7508e-02 7.1768e-03
481 308.7368 60.1324 1.3909e+37 7.3675e+35 9.217e+35 1.4521e+35 0.2382 0.3915 4.4647e-02 7.9662e-03 8.2452e-03 2.5066e-02 6.4426e-03
482 308.7488 60.1422 7.5238e+36 4.0453e+35 7.3047e+35 1.2127e+35 0.8416 0.402 3.8012e-02 7.0225e-03 1.1150e-02 2.4544e-02 5.2619e-03
483 308.7494 60.1426 1.7386e+37 9.1556e+35 2.5986e+36 2.6117e+35 1.5232 0.2034 4.9742e-02 8.9261e-03 1.1875e-02 3.1602e-02 6.7383e-03
484 308.7499 60.1431 9.4477e+36 5.034e+35 1.1014e+36 1.837e+35 1.1306 0.4172 3.5586e-02 6.2115e-03 8.0597e-03 2.2189e-02 4.7889e-03
485 308.7504 60.1435 3.8931e+36 2.225e+35 1.3749e+36 2.3884e+35 2.8814 0.4337 2.5924e-02 4.4084e-03 5.2342e-03 1.6140e-02 3.5165e-03
486 308.7509 60.1439 1.5309e+37 8.074e+35 4.4191e+36 4.1755e+35 2.5629 0.187 3.7119e-02 6.2456e-03 6.4751e-03 2.3546e-02 5.1640e-03
487 308.7515 60.1443 1.9067e+37 1.0032e+36 3.6388e+36 3.6287e+35 1.9092 0.2035 3.8400e-02 6.6310e-03 7.1827e-03 2.5212e-02 5.5702e-03
488 308.7924 60.1776 2.167e+37 1.1708e+36 4.1279e+36 3.2991e+35 1.9063 0.1528 3.1580e-02 6.1812e-03 7.5566e-03 2.6472e-02 5.6666e-03
489 308.7929 60.178 4.1193e+37 2.173e+36 8.9197e+36 8.0369e+35 2.1087 0.1757 4.8778e-02 8.7938e-03 9.1349e-03 4.0814e-02 8.6758e-03
490 308.7934 60.1785 2.475e+37 1.3056e+36 3.7635e+36 3.3184e+35 1.5503 0.169 3.6413e-02 6.7041e-03 8.4534e-03 3.0502e-02 6.5344e-03
491 308.7971 60.1814 8.4842e+36 4.5379e+35 9.5763e+35 1.1539e+35 1.0795 0.2479 4.1688e-02 6.4123e-03 8.1188e-03 2.8077e-02 5.9596e-03
492 308.7976 60.1819 1.859e+37 9.7259e+35 2.6034e+36 2.1874e+35 1.4203 0.1495 5.9256e-02 8.0961e-03 9.8264e-03 3.8564e-02 7.9304e-03
493 308.7981 60.1823 2.8434e+37 1.4748e+36 4.0829e+36 3.4836e+35 1.4599 0.1461 7.5391e-02 9.7762e-03 1.2447e-02 4.8140e-02 9.8110e-03
494 308.7987 60.1827 2.574e+37 1.3352e+36 3.7072e+36 3.4735e+35 1.4647 0.1694 7.3943e-02 9.6299e-03 1.3411e-02 5.0845e-02 9.6122e-03
495 308.7992 60.1832 1.2583e+37 6.5897e+35 1.9053e+36 3.1316e+35 1.5437 0.4261 5.5810e-02 7.6172e-03 1.2453e-02 4.1237e-02 7.3774e-03
496 308.7997 60.1836 3.5067e+36 3.382e+35 1.3008e+36 7.8758e+35 2.959 1.9195 4.0757e-02 5.9346e-03 1.1501e-02 3.2443e-02 5.4969e-03
497 308.7349 60.1318 1.4243e+37 7.432e+35 4.3912e+36 5.5603e+35 2.6669 0.2738 4.7870e-02 8.1681e-03 5.2599e-03 2.3226e-02 6.3296e-03
498 308.7354 60.1322 2.526e+37 1.3143e+36 4.7763e+36 5.1871e+35 1.8946 0.2104 7.0660e-02 1.1979e-02 9.1608e-03 3.6963e-02 9.8186e-03
499 308.7359 60.1327 1.5884e+37 8.273e+35 1.1208e+36 1.6494e+35 0.3375 0.3547 5.0572e-02 9.1957e-03 9.7677e-03 2.9177e-02 7.5388e-03
500 308.748 60.1425 4.8335e+36 2.6859e+35 1.0546e+36 1.3318e+35 2.1207 0.2726 3.4831e-02 6.7225e-03 1.2507e-02 2.4409e-02 5.2181e-03
501 308.7485 60.1429 1.1334e+37 6.0091e+35 1.8329e+36 1.6773e+35 1.6477 0.1731 4.1562e-02 7.5886e-03 1.1356e-02 2.7539e-02 5.9755e-03
502 308.749 60.1433 7.1645e+36 3.8618e+35 1.5529e+36 2.1932e+35 2.1103 0.3396 3.2882e-02 5.7847e-03 7.3604e-03 2.1265e-02 4.6067e-03
503 308.7496 60.1437 3.7772e+36 2.1692e+35 1.143e+36 2.3326e+35 2.6374 0.5779 2.6388e-02 4.5624e-03 5.1884e-03 1.7258e-02 3.6831e-03
504 308.7501 60.1442 8.0547e+36 4.3173e+35 1.5095e+36 2.5566e+35 1.8805 0.4264 2.9349e-02 5.0754e-03 5.8203e-03 1.9340e-02 4.1629e-03
505 308.7506 60.1446 1.22e+37 6.4583e+35 1.8666e+36 2.8857e+35 1.5601 0.395 3.2271e-02 5.6972e-03 7.0290e-03 2.1815e-02 4.7182e-03
506 308.7511 60.145 4.3934e+36 2.4687e+35 5.3024e+35 3.1065e+35 1.1854 1.3075 2.3037e-02 4.2582e-03 5.8779e-03 1.6072e-02 3.5066e-03
507 308.7915 60.1779 2.0366e+37 1.1666e+36 3.9663e+36 3.0713e+35 1.9412 0.1599 3.3625e-02 6.2653e-03 7.2729e-03 2.6474e-02 5.7064e-03
508 308.792 60.1783 3.8937e+37 2.1109e+36 8.5431e+36 7.8399e+35 2.1295 0.1912 5.2077e-02 9.1343e-03 9.3745e-03 4.0932e-02 8.8534e-03
509 308.7926 60.1787 2.1505e+37 1.1859e+36 2.8962e+36 3.2782e+35 1.3585 0.2485 3.7665e-02 6.8108e-03 9.2664e-03 3.0911e-02 6.4884e-03
510 308.7968 60.1821 8.8979e+36 4.8966e+35 5.6993e+35 1.0391e+35 0.1846 0.4441 4.5779e-02 6.9968e-03 1.2522e-02 3.2160e-02 6.4137e-03
511 308.7973 60.1826 1.6717e+37 8.9873e+35 1.6798e+36 1.7341e+35 0.8959 0.2166 5.9525e-02 8.4749e-03 1.5464e-02 4.1616e-02 8.0380e-03
512 308.7978 60.183 1.6603e+37 9.1447e+35 1.5524e+36 1.8435e+35 0.7821 0.2737 6.1703e-02 8.6311e-03 1.6691e-02 4.3947e-02 8.2413e-03
513 308.7346 60.1325 2.1162e+37 1.1095e+36 2.2564e+36 1.5033e+35 0.9897 0.0724 6.1726e-02 1.1352e-02 1.0335e-02 3.4157e-02 8.9414e-03
514 308.745 60.141 7.1567e+36 3.8578e+35 1.7219e+36 2.405e+35 2.2751 0.3241 3.1293e-02 5.0245e-03 6.0693e-03 1.8495e-02 4.3478e-03
515 308.7482 60.1436 3.27e+36 1.9282e+35 1.308e+36 2.2265e+35 3.0783 0.3889 2.7198e-02 4.9716e-03 6.7050e-03 1.8650e-02 4.0420e-03
516 308.7487 60.144 1.8672e+36 1.312e+35 4.9149e+35 1.0998e+35 2.4171 0.5973 2.5049e-02 4.5442e-03 5.8000e-03 1.7198e-02 3.6767e-03
517 308.7503 60.1453 3.3609e+36 1.9709e+35 6.7194e+35 3.3259e+35 1.9827 1.3578 2.2896e-02 4.1463e-03 5.4450e-03 1.6082e-02 3.4900e-03
518 308.756 60.15 1.0313e+37 5.4638e+35 1.5728e+36 2.3259e+35 1.555 0.3297 3.7176e-02 5.8912e-03 6.5427e-03 1.9937e-02 5.0056e-03
519 308.7566 60.1504 1.3031e+37 6.8865e+35 1.838e+36 2.858e+35 1.4316 0.3437 4.2312e-02 6.3930e-03 6.7680e-03 2.1993e-02 5.6165e-03
520 308.7571 60.1508 2.6129e+37 1.3625e+36 4.2747e+36 4.1749e+35 1.6659 0.1931 6.2727e-02 9.3368e-03 8.2502e-03 3.3060e-02 8.4531e-03
521 308.7576 60.1513 2.7312e+37 1.4178e+36 3.2726e+36 3.3926e+35 1.174 0.2017 6.0956e-02 9.3971e-03 8.7896e-03 3.4363e-02 8.5138e-03
522 308.7649 60.1572 9.4527e+36 5.0365e+35 9.6331e+35 1.5176e+35 0.9182 0.3783 3.8047e-02 7.6753e-03 1.2706e-02 2.4999e-02 6.0699e-03
523 308.7655 60.1577 1.0458e+37 5.5557e+35 2.0053e+36 2.2218e+35 1.9168 0.236 3.8663e-02 7.8363e-03 9.5923e-03 2.4560e-02 6.2375e-03
524 308.7912 60.1786 1.2466e+37 8.2576e+35 1.5769e+36 1.7201e+35 1.2596 0.2495 2.9492e-02 5.3311e-03 8.0203e-03 2.2614e-02 4.8771e-03
525 308.7943 60.1811 5.4779e+36 3.0074e+35 1.2481e+36 1.5727e+35 2.1893 0.2835 4.5201e-02 1.2960e-02 1.5219e-02 3.4258e-02 8.8643e-03
526 308.7964 60.1828 4.4691e+36 4.1082e+35 3.7783e+35 9.292e+34 0.623 0.5647 4.4034e-02 6.7193e-03 1.6074e-02 3.3152e-02 6.1187e-03
527 308.7374 60.1357 1.6481e+37 8.6843e+35 4.2945e+36 4.2834e+35 2.4012 0.2036 4.1236e-02 7.1641e-03 7.0620e-03 2.6409e-02 5.9848e-03
528 308.7379 60.1362 1.7328e+37 9.1255e+35 2.8567e+36 2.327e+35 1.6781 0.1429 4.1775e-02 6.8268e-03 7.4265e-03 2.6375e-02 5.9891e-03
529 308.7384 60.1366 2.3394e+37 1.229e+36 3.5144e+36 2.9099e+35 1.5312 0.1507 5.1499e-02 8.2080e-03 1.0040e-02 3.2469e-02 7.3742e-03
530 308.7389 60.137 1.9048e+37 1.0022e+36 1.8701e+36 1.5413e+35 0.8593 0.1405 4.4239e-02 7.1296e-03 9.4809e-03 2.8352e-02 6.3566e-03
531 308.7442 60.1413 9.002e+36 4.8043e+35 1.7447e+36 2.5679e+35 1.9336 0.3044 3.0565e-02 4.7121e-03 5.9456e-03 1.9081e-02 4.2649e-03
532 308.7473 60.1438 2.246e+36 1.4678e+35 4.7756e+35 2.2115e+35 2.0799 0.7048 2.4771e-02 4.7811e-03 7.1151e-03 1.8042e-02 3.9296e-03
533 308.7478 60.1443 1.0698e+36 1.033e+35 4.5294e+35 2.1209e+35 3.168 1.2249 2.4061e-02 4.6517e-03 7.2213e-03 1.7711e-02 3.7623e-03
534 308.7494 60.1455 4.8987e+36 2.7183e+35 1.9697e+36 2.3158e+35 3.0864 0.2333 2.4587e-02 4.3085e-03 5.6803e-03 1.7714e-02 3.8040e-03
535 308.7499 60.146 1.1477e+37 6.0833e+35 3.4524e+36 2.9138e+35 2.628 0.1568 3.0348e-02 5.0860e-03 5.5843e-03 2.1023e-02 4.6751e-03
536 308.7505 60.1464 4.9519e+36 2.7447e+35 1.1513e+36 1.1664e+35 2.2211 0.1596 2.4547e-02 4.0707e-03 5.4898e-03 1.6428e-02 3.7673e-03
537 308.7547 60.1498 1.0264e+37 5.4557e+35 1.4419e+36 1.3316e+35 1.4251 0.159 3.9817e-02 7.2976e-03 8.9863e-03 2.4639e-02 6.1652e-03
538 308.7552 60.1502 1.3869e+37 7.3247e+35 1.2981e+36 3.6263e+35 0.7838 0.686 4.4616e-02 7.4353e-03 9.0975e-03 2.5191e-02 6.4976e-03
539 308.7557 60.1507 1.4043e+37 7.3257e+35 9.4202e+35 5.1477e+35 0.2576 1.0767 4.4463e-02 6.9486e-03 8.4604e-03 2.4502e-02 6.3061e-03
540 308.7562 60.1511 2.6063e+37 1.3519e+36 4.3107e+36 5.1647e+35 1.6832 0.2547 6.5186e-02 9.9992e-03 9.5318e-03 3.5757e-02 9.3237e-03
541 308.7568 60.1515 2.8353e+37 1.4836e+36 4.1393e+36 4.0893e+35 1.486 0.1779 6.5660e-02 1.0517e-02 9.8335e-03 3.7962e-02 9.7051e-03
542 308.7573 60.1519 1.2256e+37 6.9909e+35 1.1384e+36 1.3096e+35 0.7717 0.2101 3.5167e-02 6.2149e-03 8.2373e-03 2.1729e-02 5.3805e-03
543 308.7641 60.1575 1.2634e+37 6.6835e+35 1.1665e+36 2.2217e+35 0.7623 0.4313 4.0330e-02 7.9578e-03 1.0649e-02 2.6564e-02 6.4901e-03
544 308.7646 60.1579 1.2563e+37 6.6464e+35 1.4614e+36 2.7058e+35 1.1272 0.4222 3.8937e-02 7.8575e-03 8.9554e-03 2.5218e-02 6.3736e-03
545 308.7651 60.1583 8.8063e+36 4.7035e+35 8.5045e+35 1.2188e+35 0.8332 0.2692 3.1552e-02 6.7112e-03 8.3524e-03 2.0830e-02 5.2431e-03
546 308.7709 60.163 3.5207e+37 1.9034e+36 5.8795e+36 4.8747e+35 1.6984 0.1629 4.4808e-02 8.7068e-03 8.7942e-03 3.3688e-02 8.3765e-03
547 308.7714 60.1635 3.056e+37 1.7171e+36 4.0657e+36 3.312e+35 1.3392 0.1664 4.0020e-02 7.9725e-03 8.3773e-03 3.1310e-02 7.6394e-03
548 308.7919 60.1801 5.6612e+36 3.4692e+35 8.649e+35 1.4199e+35 1.5578 0.4356 3.3920e-02 8.2783e-03 9.6068e-03 2.6593e-02 5.9857e-03
549 308.7977 60.1848 1.8302e+36 3.4808e+36 4.7645e+35 9.1793e+35 2.3996 0.7337 3.4908e-02 4.6403e-03 1.1583e-02 2.3517e-02 4.3682e-03
550 308.737 60.1364 1.6059e+37 8.4645e+35 2.3848e+36 2.4131e+35 1.5129 0.1933 3.6831e-02 6.0791e-03 6.6831e-03 2.2667e-02 5.1437e-03
551 308.7376 60.1368 3.3723e+37 1.7688e+36 5.8515e+36 5.3037e+35 1.7588 0.1747 6.2879e-02 1.0210e-02 1.0242e-02 3.9594e-02 8.8570e-03
552 308.7381 60.1373 2.9013e+37 1.5226e+36 3.4683e+36 3.1692e+35 1.1703 0.1777 5.6043e-02 9.2778e-03 9.9200e-03 3.5600e-02 8.0113e-03
553 308.7433 60.1415 1.1794e+37 6.2476e+35 1.8171e+36 1.8802e+35 1.5712 0.2013 3.0484e-02 4.6497e-03 5.9027e-03 2.0079e-02 4.2866e-03
554 308.7486 60.1458 7.0006e+36 3.7781e+35 1.4736e+36 1.4363e+35 2.0641 0.1888 2.7374e-02 4.6908e-03 6.5163e-03 1.9996e-02 4.3499e-03
555 308.7491 60.1462 2.2683e+37 1.1919e+36 3.6647e+36 3.6902e+35 1.6461 0.2084 4.1744e-02 6.6479e-03 7.1117e-03 2.8473e-02 6.4873e-03
556 308.7496 60.1467 2.0643e+37 1.0854e+36 3.0347e+36 3.4052e+35 1.497 0.2435 4.0270e-02 6.2179e-03 7.3820e-03 2.6806e-02 6.1342e-03
557 308.7501 60.1471 9.4879e+36 5.0547e+35 1.6213e+36 1.4863e+35 1.7347 0.1541 3.0131e-02 4.6618e-03 6.4358e-03 1.9488e-02 4.5200e-03
558 308.7507 60.1475 1.0002e+37 5.3202e+35 1.6151e+36 1.4239e+35 1.6453 0.1519 2.9037e-02 4.6017e-03 6.2278e-03 1.8354e-02 4.3202e-03
559 308.7512 60.1479 1.1976e+37 6.3421e+35 1.1179e+36 1.352e+35 0.7795 0.2594 2.7879e-02 4.6511e-03 6.5535e-03 1.7620e-02 4.1993e-03
560 308.7543 60.1505 1.4895e+37 7.8437e+35 1.2429e+36 1.6928e+35 0.6023 0.2925 4.8591e-02 9.0433e-03 1.1794e-02 3.0547e-02 7.9263e-03
561 308.7554 60.1514 1.0647e+37 7.2357e+35 6.2526e+35 2.8341e+35 0.0474 1.7571 4.0039e-02 6.7844e-03 9.4662e-03 2.4058e-02 6.2371e-03
562 308.7632 60.1578 1.0743e+37 5.7032e+35 1.9895e+36 3.0535e+35 1.8618 0.3973 3.5117e-02 6.8954e-03 7.5946e-03 2.2846e-02 5.6161e-03
563 308.7638 60.1582 1.1606e+37 6.1503e+35 2.4081e+36 3.5306e+35 2.0413 0.3663 3.5092e-02 7.1021e-03 7.2730e-03 2.3279e-02 5.7145e-03
564 308.7643 60.1586 7.6171e+36 4.0931e+35 9.9008e+35 1.3694e+35 1.3025 0.3182 2.6922e-02 5.7104e-03 6.8794e-03 1.7882e-02 4.4585e-03
565 308.77 60.1633 5.1486e+37 2.9357e+36 1.0205e+37 9.3648e+35 1.969 0.2039 6.3390e-02 1.1711e-02 1.0973e-02 4.7951e-02 1.1739e-02
566 308.7706 60.1637 4.313e+37 2.2552e+36 7.0188e+36 3.8102e+35 1.6575 0.0307 5.3647e-02 1.0278e-02 1.0072e-02 4.1208e-02 1.0252e-02
567 308.7889 60.1787 3.7586e+36 2.1629e+35 2.1599e+35 8.9195e+34 0.0132 0.9793 2.4694e-02 4.3661e-03 5.6762e-03 1.6120e-02 3.5996e-03
568 308.791 60.1804 4.9587e+36 3.5292e+35 9.6119e+35 1.264e+35 1.9338 0.3358 3.8405e-02 8.9409e-03 1.0200e-02 2.8319e-02 6.6287e-03
569 308.7952 60.1838 8.0797e+36 4.3193e+35 6.1085e+35 9.4957e+34 0.4465 0.2624 6.3572e-02 8.3100e-03 1.5163e-02 4.4365e-02 7.9670e-03
570 308.7963 60.1846 4.7535e+36 2.6445e+35 1.2374e+36 1.1157e+35 2.3997 0.1335 4.9009e-02 6.0675e-03 1.1396e-02 3.1589e-02 5.8855e-03
571 308.7968 60.185 4.1934e+36 3.4184e+36 1.3212e+36 9.9056e+35 2.7011 2.1142 3.8045e-02 4.6459e-03 8.4583e-03 2.2987e-02 4.4980e-03
572 308.7247 60.1273 5.3617e+36 3.3671e+35 9.2536e+35 1.4983e+35 1.7504 0.3884 1.9808e-02 5.0137e-03 9.2947e-03 1.9931e-02 4.2901e-03
573 308.7252 60.1277 1.5095e+37 7.9733e+35 1.9591e+36 1.664e+35 1.3001 0.151 2.3686e-02 5.3682e-03 9.3609e-03 2.3307e-02 5.1430e-03
574 308.7372 60.1375 1.2227e+37 6.472e+35 8.208e+35 1.4095e+35 0.2588 0.4521 2.8473e-02 4.9626e-03 5.7569e-03 1.8460e-02 4.0779e-03
575 308.7419 60.1414 1.1352e+37 6.0187e+35 2.6283e+36 3.5136e+35 2.2144 0.3095 2.6862e-02 4.5174e-03 5.0809e-03 2.0518e-02 4.0031e-03
576 308.7425 60.1418 1.9306e+37 1.0157e+36 3.0508e+36 3.9717e+35 1.6111 0.2986 3.7234e-02 5.8410e-03 6.8590e-03 2.5709e-02 5.3176e-03
577 308.743 60.1422 1.1435e+37 6.0613e+35 8.7201e+35 3.0147e+35 0.4602 1.6026 3.0173e-02 4.6910e-03 8.2571e-03 2.0035e-02 4.2609e-03
578 308.7482 60.1465 2.453e+37 1.2883e+36 1.8883e+36 4.4138e+35 0.475 1.1173 4.3623e-02 6.9478e-03 8.2706e-03 3.1022e-02 6.9529e-03
579 308.7487 60.1469 2.837e+37 1.489e+36 2.7152e+36 4.7528e+35 0.819 0.5012 4.6733e-02 7.1160e-03 8.8003e-03 3.1150e-02 7.2117e-03
580 308.7493 60.1473 2.0834e+37 1.0954e+36 2.5802e+36 3.5664e+35 1.2262 0.3371 3.9030e-02 5.8516e-03 7.6136e-03 2.4936e-02 5.8576e-03
581 308.7498 60.1478 2.3742e+37 1.2472e+36 2.813e+36 4.6095e+35 1.1562 0.4371 4.0152e-02 6.0739e-03 7.4323e-03 2.5024e-02 5.9352e-03
582 308.7503 60.1482 2.1845e+37 1.1482e+36 2.0057e+36 3.2953e+35 0.7534 0.4411 3.8244e-02 6.0495e-03 7.8111e-03 2.3566e-02 5.7067e-03
583 308.7508 60.1486 1.1391e+37 6.0386e+35 8.8038e+35 2.965e+35 0.4813 2.4339 2.6490e-02 4.6115e-03 7.0065e-03 1.6715e-02 4.1362e-03
584 308.7608 60.1567 1.5069e+37 7.9488e+35 8.692e+35 2.4353e+35 0.0191 1.373 4.5224e-02 8.3528e-03 8.8638e-03 2.8007e-02 6.7606e-03
585 308.7613 60.1572 1.3722e+37 7.2486e+35 2.1067e+36 3.4767e+35 1.5656 0.4315 4.1746e-02 7.8079e-03 7.0653e-03 2.6044e-02 6.3479e-03
586 308.7692 60.1636 2.4848e+37 1.3015e+36 4.4909e+36 2.5436e+35 1.8233 0.0414 3.6492e-02 6.6730e-03 8.2002e-03 2.7811e-02 6.5983e-03
587 308.7697 60.164 1.9966e+37 1.0473e+36 3.2367e+36 1.9421e+35 1.6514 0.0532 3.1264e-02 5.9538e-03 7.6333e-03 2.3981e-02 5.8847e-03
588 308.7881 60.1789 7.5471e+36 4.0476e+35 2.3091e+36 1.5257e+35 2.6548 0.0753 3.2322e-02 5.5251e-03 6.0244e-03 2.0191e-02 4.5123e-03
589 308.7886 60.1793 1.6578e+37 8.7105e+35 2.4727e+36 1.5964e+35 1.5199 0.0672 4.9007e-02 8.5095e-03 1.0120e-02 3.1857e-02 7.0155e-03
590 308.7891 60.1798 1.0086e+37 6.315e+35 7.3221e+35 1.1626e+35 0.3824 0.2434 4.3658e-02 8.0164e-03 1.1568e-02 2.9789e-02 6.4890e-03
591 308.7896 60.1802 2.8107e+36 4.517e+35 4.2692e+35 9.8012e+34 1.5486 0.3525 3.4405e-02 6.9735e-03 1.0731e-02 2.4325e-02 5.4058e-03
592 308.7944 60.184 1.7323e+37 9.0978e+35 1.0779e+36 1.0663e+35 0.1388 0.1476 9.4178e-02 1.1820e-02 1.7123e-02 6.1443e-02 1.1200e-02
593 308.7954 60.1849 8.5206e+36 4.5448e+35 9.2728e+35 1.0238e+35 1.0219 0.1723 5.7104e-02 6.8104e-03 1.0876e-02 3.4058e-02 6.5686e-03
594 308.7238 60.1276 6.9849e+36 4.3685e+35 1.8969e+36 1.8716e+35 2.4665 0.233 2.2742e-02 5.8175e-03 8.2601e-03 2.3121e-02 4.7569e-03
595 308.7243 60.128 9.4303e+36 5.1325e+35 1.5571e+36 1.7697e+35 1.6805 0.2513 2.1872e-02 5.2452e-03 1.0941e-02 2.2861e-02 4.6329e-03
596 308.7249 60.1284 9.7402e+36 5.1709e+35 7.7159e+35 9.845e+34 0.5202 0.2067 2.0819e-02 4.7668e-03 1.3376e-02 2.1609e-02 4.4533e-03
597 308.7254 60.1288 3.6143e+36 2.0945e+35 3.5822e+35 9.0774e+34 0.8742 0.4676 1.7703e-02 4.0663e-03 1.1880e-02 1.8441e-02 3.8520e-03
598 308.7416 60.1421 1.0864e+37 5.7659e+35 1.0819e+36 2.6454e+35 0.8818 1.0743 2.4988e-02 4.1648e-03 5.3450e-03 1.7994e-02 3.6521e-03
599 308.7421 60.1425 1.0635e+37 5.6475e+35 1.0214e+36 3.0499e+35 0.8244 1.5929 2.6754e-02 4.0765e-03 5.9053e-03 1.7473e-02 3.6653e-03
600 308.7427 60.1429 6.7714e+36 3.6614e+35 4.8038e+35 2.6088e+35 0.346 2.0683 2.6155e-02 3.8045e-03 6.2374e-03 1.5993e-02 3.4702e-03
601 308.7479 60.1472 1.7791e+37 9.3664e+35 1.0171e+36 2.9431e+35 0.005 1.7147 3.7162e-02 5.8728e-03 9.1443e-03 2.6057e-02 5.9001e-03
602 308.7484 60.1476 1.7045e+37 8.9785e+35 1.6687e+36 3.1524e+35 0.8547 0.5703 3.5066e-02 5.3450e-03 7.7147e-03 2.2822e-02 5.3488e-03
603 308.7489 60.148 2.0908e+37 1.0993e+36 3.4772e+36 4.9275e+35 1.6918 0.3461 3.5353e-02 5.3293e-03 6.1563e-03 2.1522e-02 5.2669e-03
604 308.7495 60.1485 1.9793e+37 1.0411e+36 2.6021e+36 3.6858e+35 1.3204 0.3377 3.3565e-02 5.2134e-03 5.6526e-03 2.0002e-02 5.0176e-03
605 308.75 60.1489 9.8678e+36 5.2508e+35 7.4938e+35 3.1135e+35 0.4535 2.0336 2.3874e-02 4.0488e-03 5.1846e-03 1.4742e-02 3.7286e-03
606 308.7594 60.1566 1.8184e+37 9.5715e+35 1.974e+36 3.1502e+35 1.018 0.4153 5.2958e-02 9.7981e-03 1.0685e-02 3.0972e-02 7.9126e-03
607 308.7599 60.157 2.2352e+37 1.1746e+36 1.9667e+36 3.5537e+35 0.6862 0.5237 5.9723e-02 1.1042e-02 1.1586e-02 3.5637e-02 9.0382e-03
608 308.7605 60.1574 1.284e+37 6.7904e+35 1.0328e+36 2.5676e+35 0.5443 1.2195 4.0099e-02 7.6849e-03 8.0896e-03 2.5055e-02 6.1465e-03
609 308.7872 60.1792 7.0395e+36 3.7895e+35 1.8809e+36 1.3491e+35 2.4408 0.0896 3.2398e-02 5.6617e-03 5.7864e-03 2.0520e-02 4.5492e-03
610 308.7877 60.1796 1.2271e+37 6.4768e+35 1.9803e+36 1.3889e+35 1.6443 0.0829 4.5283e-02 7.9897e-03 8.5387e-03 2.9595e-02 6.4237e-03
611 308.7883 60.18 6.5394e+36 5.6077e+35 5.8047e+35 9.9748e+34 0.7 0.255 4.2167e-02 7.9175e-03 9.7945e-03 2.8446e-02 6.1929e-03
612 308.7946 60.1851 7.3123e+36 3.9281e+35 6.4087e+35 9.5563e+34 0.6799 0.25 5.4300e-02 6.5763e-03 1.1551e-02 3.1464e-02 6.1451e-03
