id RA Dec xcenter ycenter 3.6um_aperture_average r_kpc
1 308.8488 60.1622 9.157874669618991 1047.3554382365614 0.5595919012797539 8.978637728302516
2 308.8493 60.1626 9.122547226534834 1053.007945984489 0.7936584307060555 9.013761225420788
3 308.8498 60.163 9.087293546238698 1058.6604350709572 1.5758013716076849 9.049249466416935
4 308.8504 60.1634 8.543174358433816 1064.6250497035403 1.2797414473875093 9.091930187391576
5 308.8525 60.1652 9.14916736852706 1089.5927195273325 0.5948715089971516 9.24715718575546
6 308.8535 60.166 9.079684125634344 1100.8974363807574 1.2803406815113907 9.322887587734803
7 308.854 60.1664 9.045053147869908 1106.5497668147318 2.090040644390018 9.361229133590234
8 308.8546 60.1669 9.129084391134029 1113.5371176468147 1.740422621575431 9.407945879081065
9 308.8474 60.162 15.028745866957934 1040.9395768630702 0.5782276357299975 8.881663858629993
10 308.8479 60.1624 14.993283164623904 1046.5920932392996 0.7768270045031129 8.916666273787932
11 308.8485 60.1629 15.076297435296283 1053.5796787735874 1.1181023245785595 8.959233437191532
12 308.849 60.1633 15.040998560240155 1059.2321531490957 1.3629587245526535 8.994998181553093
13 308.8495 60.1637 15.005773447931574 1064.884608864011 1.1259260533777196 9.031220537809471
14 308.85 60.1641 14.970622097768796 1070.5370459190574 0.841465879925824 9.067722625241295
15 308.8516 60.1654 14.984115217759722 1088.8293037299654 0.5221602584683926 9.18711794298487
16 308.8521 60.1658 14.949275220777054 1094.4816614614253 0.7560203650903988 9.22504161084624
17 308.8532 60.1667 14.998373584647311 1107.1213643854023 1.789731342814128 9.309953602244784
18 308.8537 60.1671 14.963771177907802 1112.773661453162 1.5689822083314229 9.34902988485604
19 308.8471 60.1627 20.947045906487233 1047.1639370622645 0.8647052133598342 8.861980609281437
20 308.8476 60.1631 20.911611772112906 1052.8164200661863 1.1915655007267847 8.897759224527768
21 308.8481 60.1635 20.876251400954175 1058.46888441078 1.6685938776611045 8.93379522216029
22 308.8487 60.164 20.959389089488013 1065.4564071298278 1.6155152717134857 8.977700388426076
23 308.8492 60.1644 20.924192546249515 1071.1088294749093 0.994540616402652 9.014556000192128
24 308.8508 60.1657 20.93753857058448 1089.4010417386926 0.535098963380398 9.135066142833676
25 308.8513 60.1661 20.902653381466394 1095.0533847636368 0.7677977121856351 9.17338132631508
26 308.8518 60.1665 20.867841955221365 1100.7057091287143 1.056191272477142 9.212059379431087
27 308.8467 60.1634 27.374241385638584 1053.076227628535 0.7493828994510899 8.836957105672543
28 308.8473 60.1638 26.829879574547704 1059.0407937079503 1.2559674166640775 8.880212932841046
29 308.8478 60.1642 26.79454777233468 1064.6932246824433 1.3310150328222283 8.917040773446956
30 308.8483 60.1647 27.38664737697593 1071.3685914774742 0.7841366179934677 8.954973392097457
31 308.8504 60.1664 27.364879686965878 1095.3130864479272 0.663223860763373 9.115323146756545
32 308.851 60.1668 26.821130746802396 1101.2775126232912 0.8171311075095646 9.161058920266731
33 308.8464 60.1641 33.29241038403802 1059.3006904099607 0.7895078344166705 8.82020436180154
34 308.849 60.1662 33.23468472155241 1088.8976404894388 0.5135422844756097 9.017480817931963
35 308.8496 60.1666 32.690790824320175 1094.862066399599 0.6623680816202149 9.063159331595514
36 308.8501 60.167 32.65587271303593 1100.5143660333106 0.7871570112386933 9.102402048156009
37 308.8506 60.1675 33.24842165353539 1107.189579688241 0.6246172223022608 9.143478707542284
38 308.8511 60.1679 33.21365881794054 1112.8418372636688 0.6308669191479437 9.183540959967269
39 308.8492 60.1673 39.11796870254557 1100.7742620204324 0.6109869861142412 9.04545873377256
40 308.8498 60.1677 38.574195125917754 1106.7386270148552 0.5457915549475171 9.092142436179774
41 308.8503 60.1682 39.16676799625861 1113.4138101588799 0.5487058904466172 9.134044730034303
42 308.8284 60.1514 45.27525506706286 873.1947161556943 0.6376247982887242 7.700198350787331
43 308.8489 60.168 45.03619231597429 1106.9986121479403 0.4774834058246505 9.035854910589592
44 308.8494 60.1684 45.00132279717593 1112.6508449950575 0.5138779866595138 9.076488066478401
45 308.827 60.1512 51.15044777215144 866.7792364078017 1.1824401453549385 7.608309250423423
46 308.8276 60.1516 50.603173548132304 872.7443324936553 0.9138493158405502 7.638561031273241
47 308.8412 60.1627 50.97682756608606 1028.7498579477365 0.5643310253948824 8.45501292090381
48 308.8475 60.1678 50.90579580928204 1100.5835121438176 0.512255401336758 8.937670275878883
49 308.848 60.1683 51.498144046701555 1107.258710977431 0.460292001524889 8.979953260603965
50 308.8486 60.1687 50.954355133889294 1113.2230091046827 0.47595084669012244 9.02767573126633
51 308.8257 60.151 56.516571813049154 860.6759260661559 1.398361414437773 7.523469536496905
52 308.8262 60.1515 57.10541570205703 867.3521145923726 2.3861117961231186 7.543650390544705
53 308.8267 60.1519 57.067325878327324 873.0051156552913 1.5414530694594253 7.567359529174841
54 308.8367 60.16 56.94819793321483 987.0842843989919 0.48730946709344214 8.142847876971548
55 308.8404 60.163 56.93049447908163 1029.3223285703984 0.47839457838800564 8.401100159909006
56 308.8461 60.1677 57.40290205137467 1095.1914855229943 0.434166640148379 8.841135155553854
57 308.8467 60.1681 56.85888586195654 1101.155801979416 0.4414917486000514 8.888475164368748
58 308.8472 60.1685 56.82383589562164 1106.8080287541447 0.4296415102826455 8.929472578688276
59 308.8477 60.1689 56.78885969461726 1112.460236872985 0.4293613220304487 8.970671609914236
60 308.8248 60.1513 62.98080013665219 860.9368439840507 1.809771587946695 7.45166923879307
61 308.8253 60.1517 62.9425750414249 866.5898536418044 2.198341348314514 7.475077144432873
