id xcenter ycenter 3.6um_aperture_average
1 87.10613087305876 921.4008676411847 1.0517518679970543
2 87.11402641348127 926.8008413567638 1.3846352036274947
3 87.12350106206446 933.2808098848113 1.1284776882541558
4 92.84254691841704 830.6727631591646 0.9116391919560449
5 92.85195519184015 837.1527307589515 0.8122033753719969
6 92.85979541973865 842.552703801508 0.7476377127238737
7 92.97426275499049 921.3923151794424 1.5113772570656423
8 92.98210298393002 926.7922889365833 1.7921635904698126
9 92.991511258826 933.2722575144294 1.2480014385861429
10 98.71160803581222 830.6642701380376 0.9704272993609657
11 98.72873485191803 842.5442108716005 0.8856575849959126
12 98.73807675183008 849.0241786250358 0.7739996253740565
13 98.85017955735657 926.7837966536536 1.2900261186255244
14 98.87664827754668 945.1437079671105 0.807344963645837
15 98.88443319535963 950.5436820032969 1.0958625975203322
16 105.00539418682581 614.655886398153 0.7115289708353133
17 105.03165133215134 633.015791924259 1.0985671816434055
18 105.04091856002134 639.4957586006032 1.4416868776754943
19 105.25406480829878 788.5349985591795 0.7659195839313716
20 105.26333203722663 795.0149659343091 0.6860776288135734
21 105.27259926593314 801.4949333563758 0.6492672464047384
22 104.7182561341736 926.7753645080949 1.1180064141410835
23 104.7445367953676 945.1352759623144 1.383488838151154
24 104.752266401756 950.5352500398924 2.6608587996137607
25 104.76154192953652 957.0152190074066 1.2359340707155608
26 110.90273685576454 633.0074251872513 1.4023783094803226
27 110.91193770973479 639.4873919131657 1.2905177351971473
28 111.11588998333337 783.126660191663 0.8678719183613345
29 111.12355736264504 788.526633010835 1.057613989915448
30 111.13275821751114 795.0066004356796 0.7361511538278209
31 116.77382238347843 632.9991185919943 1.1917460489108045
32 116.78295686387798 639.4790853672663 1.0006615836177553
33 116.79056893099244 644.8790576895915 0.8507711946680816
34 116.98543785327104 783.1183547415644 1.035940211630383
35 116.99304992100053 788.5183276020039 1.086730915111171
36 123.32896465359812 597.3500281559153 0.6133889421181089
37 122.64490791605095 632.9908721383794 1.1358940019415027
38 122.65397602276892 639.4708389629865 0.9457623233328553
39 122.66153277829329 644.8708113264623 0.7483896237677773
40 122.85498572787299 783.1101094309407 0.9833036681767484
41 122.86254248416992 788.510082332516 0.820689531445902
42 129.20041524758443 597.3418490910605 0.6547810303076597
43 135.0465725034001 578.973824010815 0.6652828373683506
44 159.04209698982862 410.46182021340655 0.8828027861689076
45 164.91689254984158 411.53400272111793 0.7343811939503273
46 164.94837784164253 435.29388373681354 1.1182145476090652
47 164.95553358951213 440.6938566324021 1.0599646699921241
48 170.82858826429572 440.686104908377 1.0266272533872698
49 170.68720946756832 891.0448172600165 1.1732918969665136
50 170.71137446442225 909.4047291271327 0.9302457742087551
51 176.71714222317433 452.5583538028103 0.9988523023649054
52 177.28920639159998 891.0361637917404 1.5660250269498481
53 177.29766054358987 897.5161326765221 1.8547745931107635
54 177.30470567011508 902.9161068002143 1.3583271657591953
55 177.3131598221346 909.3960758134692 1.3508326491183944
56 177.32020494916657 914.7960500457598 0.9293846508690716
57 183.3241918569541 452.54977276695627 1.2901505186736397
58 183.04860700270638 806.7889452535071 1.1039929733834533
59 183.14926033351514 884.548566851209 1.3862924613601246
60 183.15764811151297 891.0285357165196 1.6949223693762356
61 183.16603588979757 897.508504649654 1.4775567412074757
62 183.1730257050146 902.9084788135293 1.2060617231171804
63 183.18141348337917 909.3884478750924 0.9723523773027503
64 183.18840329872046 914.7884221479255 0.7559508742960909
65 189.1514027922612 416.90238677801204 0.9547303813364937
66 189.19712487557007 452.54220908297646 0.8549093940998946
67 188.9179115907445 806.7813766884994 1.1174108728638579
68 189.0025125292072 872.6610560291504 1.1300222221485856
69 189.01083393341173 879.1410248217621 1.5192988242828953
70 189.01776843699213 884.5409988653844 1.836367715698622
71 189.02608984119638 891.020967779019 1.5791062911725033
72 194.86426313587407 867.2535741080947 1.1513368709629945
73 194.87114232791566 872.6535480929647 1.2709151562299623
74 194.87939735837801 879.1335169337542 1.4238114944272748
75 194.88627655052244 884.5334910175752 1.5359090854418598
76 194.8945315812528 891.0134599791643 1.1415015889802629
77 200.82982931221255 362.8877055956463 1.040955058351543
78 201.36018922390247 783.0056097747947 1.1044149012630806
79 200.6797219897848 825.1263303061648 0.9893942966299561
80 200.73294825666028 867.2461262699358 1.31291628982009
81 200.73977213722492 872.6461002949045 1.2025624245241444
82 206.70368053156682 362.8803216818029 0.9534817046714702
83 207.28247812157633 825.1180230213403 0.9457237289475756
84 213.07648365190238 764.6309985467756 1.336547042723319
85 213.08453126352742 771.1109666569567 1.177068983604882
86 213.12879312815284 806.7507920467965 1.283468910878319
87 213.13684073999406 813.2307604535042 1.21523754016834
88 213.14354708345917 818.630734164449 1.1138310634930666
89 219.00888085958468 219.2255171745427 0.3438867335433999
90 219.07532204915287 273.22526279237826 0.7439622202776771
91 219.08196616785523 278.625237082779 0.6687916076854054
92 219.08993911007775 285.105206170446 1.308006325821648
93 219.0965832285935 290.50518036064864 1.354965328589903
94 219.10455617076673 296.9851493305328 0.677205079860172
95 219.12714617313685 315.3450610782732 0.8961025278972523
96 219.13379029134222 320.74503503129466 0.8046634713951786
97 218.94621972565352 764.6237378840184 2.0096303355615426
98 218.95420096346623 771.1037060420318 1.5250888796981097
99 218.96085199528147 776.5036795387762 1.1017711794969982
100 218.99144674103326 801.3435580202648 1.111942487596474
101 218.998097772937 806.7435316944222 1.307862804872553
102 219.00607901091524 813.2235001490105 1.45489914358302
103 224.9645868513354 285.09800964079943 1.8608659731466644
104 224.9711756583293 290.4979838706087 2.1562328187584505
