ID,RA_x,Dec_x,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,Ha/100um,id,RA_y,Dec_y,xcenter,ycenter,3.6um_aperture_average,r_kpc,LBol,Sigma_star,L_Edd,Mass_old,Mass_new,Mass_g,Momentum
628,308.7869,60.1799,4.128e+36,4.2849e+35,2.6651e+35,1.0172e+35,0.1971,0.6022,0.031956,0.0060624,0.008091500000000001,0.022933000000000002,0.0047823,628,308.7869,60.1799,435.17155516348936,1035.4522823978787,0.8889321718079191,5.80826337875565,5.7016574585635356e+38,311.1262601327717,3894216528.688433,65162.13154479883,103.88971237299896,7718.602997746873,0.47112514914633424
629,308.7937,60.1854,3.1995e+36,5.2797e+35,3.002e+35,2.8148e+35,0.7876,0.5783,0.045898,0.0057867,0.011315,0.026711000000000002,0.0052327,629,308.7937,60.1854,435.01996985415605,1112.9269477103971,0.769342263717802,6.662897155337819,4.419198895027625e+38,269.2697923012307,2406787780.184504,56395.73342181306,80.52207721351992,30843.083313168125,0.9120059001069822
630,308.7163,60.1234,1.7503000000000001e+37,9.2167e+35,1.4495000000000002e+36,1.6997e+35,0.5904,0.2434,0.036062000000000004,0.0071468,0.011329,0.033431999999999996,0.005718899999999999,630,308.7163,60.1234,441.32950547261885,237.0504446684336,0.9083237625220674,4.680367582377788,2.4175414364640892e+39,317.9133168827236,2766707238.2307158,66583.60938647523,440.49942724433174,23120.56423069383,0.8190338832730069
631,308.7169,60.1238,1.3786000000000002e+37,7.2826e+35,2.3208e+36,2.1993e+35,1.7109999999999999,0.1631,0.029948000000000002,0.005352,0.007923000000000001,0.024984,0.0045372,631,308.7169,60.1238,440.7696518410658,243.01619191589717,1.0341323246507257,4.622471357774871,1.90414364640884e+39,361.94631362775397,3216700178.9535804,75805.85865912394,346.9533853619583,67004.20968617403,1.1187346221333265
632,308.7216,60.1276,2.7959e+36,1.7096e+35,1.0093e+36,1.4798e+35,2.9162,0.359,0.021744,0.0048165,0.006572,0.020078,0.0038429000000000002,632,308.7216,60.1276,440.5565873193525,296.57496993935086,1.1887604109842829,4.078822150527799,3.861740331491713e+38,416.066143844499,4095669267.120482,87140.68939395415,70.36464312588852,114200.8628210524,1.2361901836652744
633,308.7221,60.1281,4.4507e+36,2.5398e+35,4.9537e+35,1.7688e+35,1.0574,1.2732,0.022749000000000002,0.0048475,0.0079414,0.021925,0.0040341000000000005,633,308.7221,60.1281,441.1330970358336,303.2531832794665,1.3353643091541207,4.007791652545729,6.147375690607735e+38,467.37750820394234,3544903840.0952444,97887.31641510724,112.01112956843664,41408.6799077501,0.9885719151933491
634,308.7237,60.1294,6.612e+36,3.5605e+35,1.5478000000000002e+36,1.8101e+35,2.2318,0.2504,0.021466,0.0038861999999999994,0.007074600000000001,0.01863,0.0037349,634,308.7237,60.1294,441.1022480612757,321.55087083291994,1.6340771334492266,3.8291456054542063,9.132596685082872e+38,571.9269967072293,4428189676.662644,119784.11008300702,166.4047427834954,87399.1789465828,1.1770697273908226
635,308.731,60.1353,1.6384000000000001e+37,8.54e+35,1.9842e+36,2.1517e+35,1.1908,0.2221,0.024583,0.0041372,0.004193199999999999,0.015425,0.0034969999999999997,635,308.731,60.1353,440.7757320045391,404.71155642010046,2.471690720191236,3.0821589088899675,2.2629834254143647e+39,865.0917520669325,5582134940.223703,181184.3928649732,412.33746306182536,46632.73693412977,1.027771079778335
636,308.7315,60.1358,1.2942000000000001e+37,6.8434e+35,8.899e+35,1.3983e+35,0.2966,0.3913,0.021468,0.0036832,0.0036888000000000003,0.012825999999999999,0.0030151999999999996,636,308.7315,60.1358,441.3537885118738,411.3893225442246,2.0702145894293817,3.0218387102767004,1.787569060773481e+39,724.5751063002838,6897253541.348455,151754.65539513432,325.7123685880215,11615.107301530808,0.5966030798819607
637,308.7373,60.1405,2.2199000000000003e+37,1.1666000000000001e+36,3.9084e+36,3.6453e+35,1.7819,0.1822,0.020571000000000002,0.0039676,0.004653899999999999,0.016933,0.0039515,637,308.7373,60.1405,441.18375695908736,477.5852855033024,2.123738484882988,2.5558028676092106,3.066160220994476e+39,743.3084697090458,5028110731.801486,155678.16185260064,558.6840419012124,69780.71375791554,1.129958140579926
638,308.7378,60.1409,1.7817e+37,9.3807e+35,2.5386000000000002e+36,2.8195e+35,1.4475,0.2359,0.017931,0.0036211999999999998,0.0049607,0.015453,0.0035399,638,308.7378,60.1409,441.1372080101562,483.2387481752192,1.8184368480038453,2.523754965861549,2.4609116022099452e+39,636.4528968013459,4450635866.310505,133298.38299647009,448.4018908308437,56685.32642941958,1.075581010784681
639,308.7409,60.1434,1.1914e+37,6.3099e+35,3.0338e+36,2.9526e+35,2.3648,0.1944,0.030762,0.0042481,0.0038555,0.016497,0.0037799,639,308.7409,60.1434,440.9753900779597,518.494596148691,1.8677061484503297,2.3553253583885114,1.645580110497238e+39,653.6971519576152,4825671258.566482,136910.01135084097,299.8406088207146,92607.5716340528,1.1971545649177364
640,308.7415,60.1439,2.5863000000000003e+37,1.3580000000000002e+36,4.5826000000000003e+36,4.7462e+35,1.7919,0.2155,0.050991,0.006515100000000001,0.0058173,0.025707,0.0059627,640,308.7415,60.1439,441.0453200733879,525.4833806644076,2.2884641625679247,2.328156773130256,3.572237569060774e+39,800.9624568987738,5306532778.1847725,167753.18469296125,650.8962284648431,70172.32223065765,1.1301644515434723
641,308.742,60.1443,2.8343e+37,1.4876e+36,3.9247e+36,3.8978e+35,1.4024,0.2014,0.056088,0.0071717,0.0073275000000000015,0.028477999999999996,0.0065282,641,308.742,60.1443,440.99939402647203,531.136685223869,1.930791687296844,2.309410727481928,3.9147790055248616e+39,675.7770905538954,4632807610.57358,141534.42287656013,713.3105905493966,54919.17221735269,1.0698299764294583
642,308.7425,60.1447,2.037e+37,1.0711e+36,2.5799e+36,2.7003e+35,1.2616,0.2156,0.047417,0.0064688,0.0070766000000000015,0.024628,0.0057263,642,308.7425,60.1447,440.9535417658098,536.7899711852642,1.694199528120897,2.292426904163784,2.81353591160221e+39,592.969834842314,4210220836.9819574,124191.31179606443,512.6534498638539,49405.324921143874,1.0395420844508085
