tau_1,test_1,tau_2,test_2,tau_3,test_3
0.006362843458635582,0.009071124976720284,9.999999999956645e-06,9.390381705115115e-05,1.000000000036723e-06,7.469212087939923e-06
0.22555183018888025,0.24050945129129217,0.0003544827586207379,0.0031723705400266747,4.413793103479506e-06,4.577764524875113e-05
0.4447408169191249,0.3954749562436545,0.0006989655172413941,0.006320007366087346,7.827586206894502e-06,6.855709732714293e-05
0.6639298036493693,0.5106196017640824,0.0010434482758620738,0.009356510014712197,1.1241379310360073e-05,9.498319052113548e-05
0.8831187903796139,0.5998777056993871,0.0013879310344827687,0.012363717445567234,1.4655172413761715e-05,0.00012486266874777037
1.1023077771098588,0.6717372188823343,0.0017324137931034652,0.01545406866841352,1.806896551727422e-05,0.00017052917461844911
1.3214967638401034,0.7307856430819287,0.0020768965517241056,0.018340307211989804,2.148275862068665e-05,0.000181516793786032
1.5406857505703482,0.7805712875776636,0.0024213793103448357,0.02150201595225192,2.489655172417379e-05,0.00022948412380032702
1.7598747373005925,0.8233546843927736,0.0027658620689654835,0.024169506205478662,2.8310344827621133e-05,0.00025748433648350397
1.979063724030837,0.8598489209153254,0.003110344827586191,0.027175371285100225,3.1724137931010604e-05,0.0003082211177899046
2.1982527107610816,0.8920567794854524,0.0034548275862068952,0.030082574167688305,3.513793103451697e-05,0.0003052169037340794
2.417441697491326,0.9206420976276961,0.0037993103448275725,0.03310055464696485,3.8551724137929305e-05,0.00035418049401281015
2.6366306842215708,0.9462372251105914,0.0041437931034482975,0.03584903397906434,4.196551724142237e-05,0.00040466643064163285
2.8558196709518158,0.9698432991812783,0.0044882758620690055,0.038691750431600024,4.537931034478523e-05,0.0004111246620435838
3.07500865768206,0.9897104484547612,0.004832758620689649,0.041328814311725005,4.879310344828908e-05,0.0004378590619120084
3.2941976444123044,1.0091369224783986,0.005177241379310345,0.044134023941700656,5.220689655172297e-05,0.0004905032023752875
3.5133866311425495,1.027030701476683,0.0055217241379310455,0.04701143749893388,5.562068965516526e-05,0.0004964250308204778
3.732575617872794,1.0432310961793065,0.00586620689655169,0.04973150487475838,5.9034482758597825e-05,0.0005255004837108837
3.951764604603038,1.058083681399586,0.00621068965517245,0.05222597278303085,6.244827586209902e-05,0.0005785970051872312
4.170953591333283,1.0722968457665112,0.006555172413793117,0.05521446851984337,6.586206896555431e-05,0.0006293360254430475
4.390142578063528,1.0853156728536462,0.006899655172413818,0.057793975995877704,6.927586206894562e-05,0.0006549335262524051
4.609331564793772,1.097595308975207,0.007244137931034507,0.06059869439940349,7.268965517244767e-05,0.0006736286895581232
4.828520551524017,1.109237667845236,0.0075886206896552,0.06326131929824733,7.610344827584956e-05,0.0006919709831662202
5.047709538254262,1.1199151259290736,0.007933103448275844,0.06600287088206754,7.951724137932598e-05,0.0007377775596369394
5.266898524984506,1.1302713427282094,0.008277586206896557,0.06852859164828852,8.293103448276244e-05,0.0007437479931091923
5.486087511714751,1.1401403117784739,0.00862206896551721,0.07097849227206757,8.634482758623725e-05,0.000785118733398407
5.705276498444995,1.1488006154621295,0.00896655172413795,0.07367947582688046,8.975862068963588e-05,0.0008274378625290657
5.92446548517524,1.1576042863070473,0.009311034482758596,0.07630147948455251,9.317241379313307e-05,0.0008429208205421834
6.143654471905484,1.166088533672733,0.009655517241379346,0.07860342366464718,9.658620689651786e-05,0.0009071559493867097
6.362843458635729,1.173631631190759,0.009999999999999986,0.08143351746364853,9.9999999999965e-05,0.0009073540126030596
