ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,Dist_to_center,H_old,L_Bol,F_Bol,Sigma_star,Sigma_g,Momentum,tau,Mass_new,Sigma_new,Mass_old,Mass_g,Mass_tot,L_Edd,F_Edd,tau_RP
1,202.5333,47.22,2.0722999999999998e+37,1.0825e+36,1.3358e+36,1.1488e+35,0.1209,0.1381,0.052421,0.015025,0.0065666,0.025442,87.10613087305876,921.4008676411848,1.0517518679970543,7315.020674588557,3.092349835860313e+21,4.998224623972603e+40,1.0218619278502215,0.0768427979609113,0.0005039242621199056,0.10792217204473745,0.07811552595863622,1.363099064546773e+39,0.027867875950751467,1.9119253966294343e+35,1.5076724005376005e+36,1.3647979294869737e+39,1.600972473936166e+41,1.6865619123459228,0.10809149721963429
2,202.5333,47.2205,1.9726e+37,1.0317000000000001e+36,1.9419000000000002e+36,2.1371e+35,0.7899,0.1857,0.040538,0.011036,0.0053178,0.021216,87.11402641348127,926.8008413567638,1.3846352036274947,7300.079828665488,3.086033746748178e+21,4.757756064878809e+40,0.9726993383570656,0.10116382364110965,0.0032923885413441976,0.4706968304516598,0.5103676919332237,1.2975192852024148e+39,0.026527130290234204,2.5222083360967226e+35,9.850375758351124e+36,1.3076218817943756e+39,2.297159097687176e+41,2.663694842729909,0.7062156629759233
3,202.5333,47.2211,1.621e+37,8.5108e+35,1.5476e+36,2.752e+35,0.7414,0.3206,0.028617,0.0078644,0.0056341,0.018041,87.12350106206446,933.2808098848112,1.1284776882541558,7283.070446464623,3.078843205176689e+21,3.9097245164597743e+40,0.7993235463230272,0.08244851366037126,0.003090235301370538,0.4553544107431406,0.47903102519216617,1.0662469640642374e+39,0.021798883808410042,2.060400517499978e+35,9.245560940931159e+36,1.0756985650569185e+39,1.8336572389518025e+41,2.1565419730844244,0.6628538961012147
4,202.5325,47.2116,1.5544e+37,8.138799999999999e+35,1.733e+36,1.4290000000000002e+35,0.9865,0.1034,0.06332,0.01379,0.0078119,0.033182,92.84254691841704,830.6727631591646,0.9116391919560448,7557.11154554121,3.194691264320572e+21,3.7490905542165778e+40,0.7664827392995147,0.06660595132880576,0.00411183858214464,0.5492087028971624,0.6373942626815107,1.0224394083537634e+39,0.02090326032806451,1.6041335915308975e+35,1.2302058090408132e+37,1.0349018798033246e+39,1.9460596205819828e+41,2.3822026418281266,0.8819872788020615
5,202.5325,47.2122,1.2588e+37,6.6194999999999994e+35,1.4802000000000002e+36,1.2302e+35,1.0707,0.1215,0.050407,0.0099703,0.0065514,0.024992,92.85195519184016,837.1527307589515,0.8122033753719969,7525.662646390753,3.181396565309845e+21,3.036126601677707e+40,0.6207208390570181,0.05934099402934644,0.004462793279171075,0.5698099163179217,0.6917973006113465,8.280022691943627e+38,0.01692809064653088,1.4351371307934349e+35,1.3352066495083612e+37,8.414978494025257e+38,1.655425250998686e+41,2.1323556636935352,0.9572668823247512
6,202.5325,47.2127,1.4427999999999998e+37,7.5649e+35,1.4014e+36,1.3301e+35,0.7687,0.1345,0.05612,0.010538,0.0084753,0.027624,92.85979541973865,842.552703801508,0.7476377127238737,7500.131402255805,3.170603494159098e+21,3.479920130998249e+40,0.711452197800656,0.054623712007138406,0.0032040246508814848,0.4683721224625176,0.4966700149247615,9.490321528389153e+38,0.019402485847485506,1.325548637456094e+35,9.586003095891263e+36,9.587507107985521e+38,1.6474517617198062e+41,1.9651134776248118,0.6872616535379064
7,202.5325,47.22,2.5569e+37,1.3325e+36,2.2734e+36,1.7022e+35,0.629,0.087,0.053589,0.013939,0.0062082,0.02785,92.97426275499048,921.3923151794424,1.5113772570656423,7201.211709701969,3.0442382652246956e+21,6.16704171260703e+40,1.2608207128891722,0.11042379644055131,0.0026217399575965317,0.4061755601536829,0.4064074923737153,1.6818549428845455e+39,0.03438467983326566,2.7908752583830578e+35,7.843887013549633e+36,1.6899779174239334e+39,2.7395322578310697e+41,3.0448202023627373,0.5623618837977665
8,202.5325,47.2205,2.3529999999999996e+37,1.2274e+36,3.7515000000000003e+36,3.4611e+35,1.5516,0.1124,0.038653,0.009558,0.0049543,0.022638,92.98210298393002,926.7922889365832,1.7921635904698126,7186.0342417204965,3.0378221465684185e+21,5.675250948321929e+40,1.1602765604553256,0.13093852061248376,0.006467236435940825,0.7035448135318634,1.0025148889778326,1.547735414215392e+39,0.03164267341220779,3.316358544760565e+35,1.9349085993996204e+37,1.5674161360638642e+39,3.617282960886629e+41,4.474245572909603,1.3872189171710883
9,202.5325,47.2211,1.2189999999999999e+37,6.4402e+35,2.4065000000000003e+36,2.2078e+35,1.8891,0.1122,0.017813,0.0046321,0.0039533,0.012976,92.991511258826,933.2722575144294,1.2480014385861429,7168.754267406376,3.0305172149611067e+21,2.94013213174859e+40,0.6010952516766008,0.09118110526989028,0.007873972899675051,0.7779659574802513,1.2205793224851917,8.018229791451605e+38,0.01639286820632439,2.314965316824575e+35,2.3557848898722754e+37,8.256123245755657e+38,2.0984351189822908e+41,3.1429154639025514,1.688963171196122
10,202.5317,47.2116,1.8666e+37,9.7473e+35,1.7931e+36,2.1323e+35,0.7512,0.155,0.072927,0.014114,0.0094863,0.038677,98.71160803581222,830.6642701380376,0.9704272993609656,7448.823937503152,3.148913790566401e+21,4.502092401248497e+40,0.9204301860373612,0.07090110100580113,0.0031310827601693392,0.45796710518558,0.48536297022437985,1.2277955478854444e+39,0.025101663489684258,1.7324016959723247e+35,9.36777094527581e+36,1.2373365590003174e+39,2.1247418299837176e+41,2.4538788552628366,0.6716156551810527
