ID,RA_x,Dec_x,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,Ha/100um,id,RA_y,Dec_y,xcenter,ycenter,3.6um_aperture_average,r_kpc,LBol,Sigma_star
31,308.8504,60.1664,1.6734e+37,8.7914e+35,1.4970000000000005e+36,1.204e+35,0.7124,0.107,0.056143,0.019496,0.063401,0.13683,0.018332,31,308.8504,60.1664,27.36487968696588,1095.3130864479272,0.6632238607633729,9.115323146756543,2.3113259668508288e+39,232.12835126718053
32,308.851,60.1668,1.8563e+37,9.7423e+35,1.08e+36,1.0669e+35,0.0328,0.1473,0.052936,0.017399,0.070219,0.13086,0.017509999999999998,32,308.851,60.1668,26.821130746802396,1101.2775126232914,0.8171311075095646,9.161058920266733,2.563950276243094e+39,285.99588762834765
33,308.8464,60.1641,3.495000000000001e+37,1.8711e+36,2.4567e+36,2.5411e+35,0.3314,0.2177,0.07925399999999999,0.01302,0.026352,0.073697,0.012801,33,308.8464,60.1641,33.29241038403802,1059.3006904099607,0.7895078344166705,8.820204361801537,4.8273480662983436e+39,276.32774204583467
34,308.849,60.1662,3.263e+36,1.9303e+35,3.4378e+35,9.0587e+34,0.9707,0.4909,0.064978,0.019482,0.04893,0.10593,0.01707,34,308.849,60.1662,33.23468472155241,1088.8976404894388,0.5135422844756097,9.017480817931963,4.506906077348067e+38,179.73979956646338
35,308.8496,60.1666,9.3217e+36,4.9558e+35,1.2334e+36,1.1143e+35,1.3306,0.1302,0.06916900000000001,0.020942,0.05919600000000001,0.13415,0.019145,35,308.8496,60.1666,32.690790824320175,1094.862066399599,0.6623680816202149,9.063159331595514,1.2875276243093922e+39,231.82882856707522
36,308.8501,60.167,1.3603e+37,7.1668e+35,2.2657000000000003e+36,1.5073e+35,1.6942,0.0732,0.0697,0.020385,0.071463,0.14579,0.019345,36,308.8501,60.167,32.65587271303593,1100.5143660333108,0.7871570112386933,9.102402048156007,1.8788674033149172e+39,275.50495393354265
37,308.8506,60.1675,2.4384e+37,1.2773e+36,2.7693e+36,1.7278e+35,1.0893,0.06,0.077078,0.021591,0.078488,0.14812999999999998,0.020896,37,308.8506,60.1675,33.24842165353539,1107.1895796882409,0.6246172223022608,9.143478707542284,3.367955801104972e+39,218.61602780579128
38,308.8511,60.1679,2.4774e+37,1.4513000000000002e+36,2.2635e+36,8.5077e+35,0.7456,1.3939,0.073401,0.019897,0.06387000000000001,0.12627,0.019317,38,308.8511,60.1679,33.21365881794054,1112.8418372636688,0.6308669191479437,9.183540959967267,3.421823204419889e+39,220.80342170178028
39,308.8492,60.1673,6.5624e+36,3.5479e+35,1.3901e+36,1.1665e+35,2.074,0.1177,0.08415800000000001,0.019849,0.06198500000000001,0.12431,0.018035,39,308.8492,60.1673,39.11796870254557,1100.7742620204324,0.6109869861142412,9.045458733772561,9.064088397790056e+38,213.8454451399844
40,308.8498,60.1677,2.0371000000000002e+37,1.0683e+36,2.422e+36,1.5743e+35,1.1616,0.0679,0.10174,0.022953,0.059170000000000014,0.14056,0.020961,40,308.8498,60.1677,38.57419512591776,1106.7386270148552,0.5457915549475171,9.092142436179774,2.8136740331491714e+39,191.02704423163098
