ID RA Dec highres_co lowres_co hi
102 202.515 47.2100 0.00000 2.60340e+21 1.63485e+21
103 202.514 47.1611 NaN 6.97509e+20 1.56225e+21
104 202.514 47.1616 NaN 1.31024e+21 1.52868e+21
105 202.514 47.1622 NaN 1.46745e+21 1.33793e+21
106 202.514 47.1639 NaN 6.38057e+20 1.27324e+21
107 202.514 47.1644 NaN 6.38057e+20 1.33957e+21
108 202.514 47.1650 NaN 6.46973e+20 1.45374e+21
109 202.514 47.2050 0.00000 1.60996e+21 1.39180e+21
110 202.514 47.2055 0.00000 2.00302e+21 1.44939e+21
111 202.514 47.2061 0.00000 2.22456e+21 1.46210e+21
112 202.514 47.1616 NaN 1.45507e+21 1.59923e+21
113 202.514 47.1622 NaN 1.72150e+21 1.41256e+21
114 202.514 47.1639 NaN 1.03011e+21 1.33254e+21
115 202.514 47.1644 NaN 1.03011e+21 1.40016e+21
116 202.514 47.1650 NaN 9.47205e+20 1.54250e+21
117 202.514 47.1655 NaN 7.90479e+20 1.61649e+21
118 202.514 47.1661 NaN 7.01070e+20 1.67040e+21
119 202.514 47.2044 0.00000 1.35314e+21 1.33661e+21
120 202.514 47.2050 0.00000 1.89497e+21 1.52982e+21
121 202.514 47.2055 0.00000 2.33464e+21 1.57094e+21
122 202.513 47.1616 NaN 1.53565e+21 1.60598e+21
123 202.513 47.1622 NaN 1.83612e+21 1.49090e+21
124 202.513 47.1639 NaN 1.25539e+21 1.42585e+21
125 202.513 47.1644 NaN 1.25539e+21 1.49120e+21
126 202.513 47.1650 NaN 1.12086e+21 1.64607e+21
127 202.513 47.1655 NaN 9.21326e+20 1.70629e+21
128 202.513 47.1661 NaN 7.71821e+20 1.75132e+21
129 202.513 47.1666 NaN 7.12618e+20 1.76742e+21
130 202.513 47.1705 0.00000 5.47284e+20 1.54032e+21
131 202.513 47.2050 2.86402e+21 2.25691e+21 1.63420e+21
132 202.513 47.2055 1.76443e+21 2.69061e+21 1.64634e+21
133 202.512 47.1622 NaN 1.98408e+21 1.60236e+21
134 202.512 47.1628 NaN 2.19705e+21 1.59997e+21
135 202.512 47.1633 NaN 2.19705e+21 1.58242e+21
136 202.512 47.1639 NaN 1.75876e+21 1.65724e+21
137 202.512 47.1644 NaN 1.75876e+21 1.71755e+21
138 202.512 47.1655 NaN 9.60552e+20 1.84446e+21
139 202.512 47.1661 NaN 8.25962e+20 1.88791e+21
140 202.512 47.1666 NaN 7.62540e+20 1.89387e+21
141 202.512 47.2050 4.72098e+21 2.62756e+21 1.65582e+21
142 202.512 47.2055 6.52183e+21 2.99801e+21 1.66861e+21
143 202.512 47.2061 4.42198e+21 3.18913e+21 1.63500e+21
144 202.512 47.2122 6.38621e+21 2.65918e+21 1.35138e+21
145 202.512 47.2128 0.00000 2.27153e+21 1.44154e+21
146 202.512 47.2133 0.00000 2.27153e+21 1.53394e+21
147 202.512 47.2166 0.00000 2.09370e+21 1.63114e+21
148 202.512 47.2172 0.00000 2.06413e+21 1.56771e+21
149 202.512 47.2183 0.00000 2.01697e+21 1.58512e+21
150 202.511 47.1622 NaN 2.31180e+21 1.63670e+21
151 202.511 47.1628 NaN 2.98077e+21 1.65870e+21
152 202.511 47.1633 NaN 2.98077e+21 1.65144e+21
153 202.511 47.1639 NaN 2.39845e+21 1.72962e+21
154 202.511 47.1644 NaN 2.39845e+21 1.79215e+21
155 202.511 47.1661 NaN 9.04927e+20 1.93380e+21
156 202.511 47.1666 NaN 8.31523e+20 1.92374e+21
157 202.511 47.2055 6.81054e+21 3.25857e+21 1.63820e+21
158 202.511 47.2172 0.00000 2.18794e+21 1.45957e+21
159 202.511 47.2178 0.00000 2.24646e+21 1.48920e+21
160 202.511 47.2183 0.00000 2.24646e+21 1.53456e+21
161 202.510 47.1622 NaN 2.61870e+21 1.68245e+21
162 202.510 47.1633 NaN 3.31251e+21 1.71762e+21
163 202.510 47.1639 NaN 2.80763e+21 1.77348e+21
164 202.510 47.1644 NaN 2.80763e+21 1.82181e+21
165 202.510 47.1650 NaN 2.30596e+21 1.92197e+21
166 202.510 47.2089 2.93731e+21 3.69692e+21 1.31526e+21
167 202.510 47.2144 0.00000 2.54769e+21 1.78632e+21
168 202.510 47.2183 0.00000 2.44497e+21 1.43264e+21
169 202.510 47.1639 NaN 2.97708e+21 1.78991e+21
170 202.510 47.1644 NaN 2.97708e+21 1.77870e+21
171 202.510 47.1650 NaN 2.52000e+21 1.83698e+21
172 202.510 47.1655 NaN 2.06040e+21 1.87166e+21
173 202.510 47.2000 9.07722e+20 1.80753e+21 1.11862e+21
174 202.510 47.2005 3.43124e+21 1.83445e+21 1.14223e+21
175 202.510 47.2089 4.71981e+21 3.71905e+21 1.30364e+21
176 202.510 47.2144 0.00000 2.86199e+21 1.78719e+21
177 202.509 47.1622 NaN 3.37829e+21 1.73667e+21
178 202.509 47.1628 NaN 3.55151e+21 1.79761e+21
179 202.509 47.1644 NaN 3.06493e+21 1.71918e+21
180 202.509 47.1650 NaN 2.67884e+21 1.73908e+21
181 202.509 47.1989 0.00000 2.22031e+21 1.09763e+21
182 202.509 47.2000 1.15457e+22 2.33341e+21 1.20119e+21
183 202.509 47.2005 1.58944e+22 2.36306e+21 1.25082e+21
184 202.509 47.2139 8.16243e+20 3.32659e+21 1.87531e+21
185 202.509 47.2144 0.00000 3.32659e+21 1.79853e+21
186 202.508 47.1622 NaN 2.94953e+21 1.68983e+21
187 202.508 47.1628 NaN 3.64038e+21 1.72619e+21
188 202.508 47.1967 3.23309e+21 2.11717e+21 1.35546e+21
189 202.508 47.1972 1.31488e+21 2.11717e+21 1.29886e+21
190 202.508 47.1983 3.41161e+21 2.27853e+21 1.14797e+21
191 202.508 47.1989 3.81911e+21 2.85404e+21 1.13329e+21
192 202.508 47.1994 1.04272e+22 2.85404e+21 1.16312e+21
193 202.508 47.2000 1.24505e+22 3.01519e+21 1.21198e+21
194 202.508 47.2094 5.40610e+21 4.04263e+21 1.42228e+21
195 202.508 47.2139 1.73838e+21 3.90262e+21 1.90617e+21
196 202.508 47.2144 0.00000 3.90262e+21 1.82252e+21
197 202.507 47.1622 NaN 3.06982e+21 1.47621e+21
198 202.507 47.1967 4.78808e+21 2.52041e+21 1.38970e+21
199 202.507 47.1972 7.11735e+21 2.52041e+21 1.30831e+21
200 202.507 47.1978 4.15008e+21 2.75780e+21 1.21013e+21
201 202.507 47.2033 1.61047e+21 3.53333e+21 1.27130e+21
202 202.507 47.2039 4.27200e+21 3.50360e+21 1.23143e+21
203 202.507 47.2094 4.18980e+21 4.26616e+21 1.47174e+21
204 202.507 47.2100 6.25882e+21 4.20152e+21 1.62667e+21
205 202.507 47.2133 9.56048e+21 4.62159e+21 1.90143e+21
206 202.507 47.2139 6.45524e+21 4.69915e+21 1.90133e+21
207 202.507 47.2144 0.00000 4.69915e+21 1.82161e+21
208 202.507 47.2150 0.00000 4.45130e+21 1.51222e+21
209 202.506 47.1972 3.26031e+21 3.03500e+21 1.31703e+21
210 202.506 47.2094 2.42423e+21 4.50646e+21 1.45564e+21
211 202.506 47.2100 4.23665e+21 4.60280e+21 1.62583e+21
212 202.506 47.2105 6.30688e+21 4.80577e+21 1.64960e+21
213 202.506 47.2111 9.31235e+21 4.98548e+21 1.67072e+21
214 202.506 47.2117 6.66092e+21 5.15837e+21 1.69214e+21
215 202.506 47.2133 1.56630e+22 5.29141e+21 1.82699e+21
