ID RA Dec highres_co lowres_co hi
1 308.849 60.1622 0.00000 1.05435e+21 1.90382e+21
2 308.849 60.1626 0.00000 1.05435e+21 1.56301e+21
3 308.850 60.1630 0.00000 8.76078e+20 1.64984e+21
4 308.850 60.1634 0.00000 7.05444e+20 1.75284e+21
5 308.853 60.1652 0.00000 8.36751e+20 7.86006e+20
6 308.853 60.1660 0.00000 7.98369e+20 1.11880e+21
7 308.854 60.1664 0.00000 6.77700e+20 1.19935e+21
8 308.855 60.1669 0.00000 5.93927e+20 1.15230e+21
9 308.847 60.1620 0.00000 1.42448e+21 2.31061e+21
10 308.848 60.1624 0.00000 1.27685e+21 2.20383e+21
11 308.849 60.1629 0.00000 8.81347e+20 1.76403e+21
12 308.849 60.1633 0.00000 6.94584e+20 1.87486e+21
13 308.849 60.1637 0.00000 7.05444e+20 1.93738e+21
14 308.850 60.1641 0.00000 5.93422e+20 1.53224e+21
15 308.852 60.1654 0.00000 8.36751e+20 8.31547e+20
16 308.852 60.1658 0.00000 7.67142e+20 9.72824e+20
17 308.853 60.1667 0.00000 5.66817e+20 1.04946e+21
18 308.854 60.1671 0.00000 5.66817e+20 8.46895e+20
19 308.847 60.1627 0.00000 1.27685e+21 2.07050e+21
20 308.848 60.1631 0.00000 9.23615e+20 1.79630e+21
21 308.848 60.1635 0.00000 6.95097e+20 1.90270e+21
22 308.849 60.1640 0.00000 5.52378e+20 1.99388e+21
23 308.849 60.1644 0.00000 5.52378e+20 1.65907e+21
24 308.851 60.1657 0.00000 6.90770e+20 7.37806e+20
25 308.851 60.1661 0.00000 6.37494e+20 8.78742e+20
26 308.852 60.1665 0.00000 6.84991e+20 1.06098e+21
27 308.847 60.1634 0.00000 6.85589e+20 1.77707e+21
28 308.847 60.1638 0.00000 6.95097e+20 1.75899e+21
29 308.848 60.1642 0.00000 4.99213e+20 1.73839e+21
30 308.848 60.1647 0.00000 4.70594e+20 1.27901e+21
31 308.850 60.1664 0.00000 5.27189e+20 9.59903e+20
32 308.851 60.1668 0.00000 7.42493e+20 9.69364e+20
33 308.846 60.1641 0.00000 4.53089e+20 1.44512e+21
34 308.849 60.1662 0.00000 3.97890e+20 8.12945e+20
35 308.850 60.1666 0.00000 5.27189e+20 8.12945e+20
36 308.850 60.1670 0.00000 6.48917e+20 9.64003e+20
37 308.851 60.1675 0.00000 8.57797e+20 8.26589e+20
38 308.851 60.1679 0.00000 8.84888e+20 6.69269e+20
39 308.849 60.1673 0.00000 6.38713e+20 8.97722e+20
40 308.850 60.1677 0.00000 7.48897e+20 9.36429e+20
41 308.850 60.1682 0.00000 8.13660e+20 8.75404e+20
42 308.828 60.1514 2.01348e+21 2.07545e+21 1.88487e+21
43 308.849 60.1680 0.00000 4.49722e+20 9.27170e+20
44 308.849 60.1684 0.00000 5.22384e+20 9.59678e+20
45 308.827 60.1512 3.35432e+21 2.34930e+21 2.39301e+21
46 308.828 60.1516 2.54232e+21 2.34930e+21 1.94964e+21
47 308.841 60.1627 0.00000 1.42974e+21 2.80610e+21
48 308.848 60.1678 0.00000 4.28666e+20 8.36804e+20
49 308.848 60.1683 0.00000 5.37250e+20 8.42783e+20
50 308.849 60.1687 0.00000 4.95920e+20 8.17677e+20
51 308.826 60.1510 3.75728e+21 2.88116e+21 2.78346e+21
52 308.826 60.1515 4.15791e+21 2.68181e+21 2.61972e+21
53 308.827 60.1519 3.73891e+21 2.55229e+21 2.18501e+21
54 308.837 60.1600 1.06293e+21 9.23799e+20 1.70158e+21
55 308.840 60.1630 0.00000 1.55179e+21 2.44175e+21
56 308.846 60.1677 0.00000 4.33852e+20 9.43061e+20
57 308.847 60.1681 0.00000 5.30341e+20 8.96510e+20
58 308.847 60.1685 0.00000 5.37250e+20 9.18292e+20
59 308.848 60.1689 0.00000 5.41872e+20 8.12311e+20
60 308.825 60.1513 3.82017e+21 2.84995e+21 2.73968e+21
61 308.825 60.1517 4.86825e+21 2.72021e+21 2.73820e+21
62 308.826 60.1522 3.58750e+21 2.55229e+21 2.29568e+21
63 308.835 60.1594 9.60244e+20 8.49073e+20 1.78224e+21
64 308.835 60.1598 1.03038e+21 9.48513e+20 1.79223e+21
65 308.836 60.1603 8.23134e+20 9.47144e+20 1.65005e+21
66 308.836 60.1607 5.77307e+20 1.01137e+21 1.51175e+21
67 308.840 60.1632 5.07774e+20 1.55179e+21 2.37788e+21
68 308.840 60.1637 7.48000e+20 1.57099e+21 1.64841e+21
