,ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,Dist_to_center,H_old,L_Bol,F_Bol,Sigma_star,Sigma_g,Momentum,tau,Mass_new,Sigma_new,Mass_old,Mass_g,Mass_tot,E_dot_Wind,L_Edd,F_Edd,tau_RP,v_inf,R_UV,velocity_no_aging,distance_no_aging,time_no_aging,velocity_aging,distance_aging,time_aging
20,21,202.5308,47.2089,1.0003e+37,5.2934e+35,1.5969e+36,1.3682999999999999e+35,1.5535,0.1282,0.055264,0.0090006,0.009375,0.025648,105.27259926593314,801.4949333563758,0.6492672464047384,7484.157787601094,3.1638508126762985e+21,6.1368971891104846e+38,0.012546578164185801,0.04743236264038117,0.0064751558412181436,1.1181622819763557,1.0037425109738742,2.222985598633209e+35,4.544782438363381e-06,7.3823584211044e+36,3.0996447632557986e+38,3.1756913330654757e+38,580214.3369704213,4.622741431048771e+40,0.5389601890232789,3.2783867118230368,0.0,1.0596657933939558e+20,0.0,0.0,0.0,0.0,0.0,0.0
21,22,202.5309,47.2205,1.2233e+37,6.449e+35,1.6131e+36,1.5778e+35,1.2518,0.1298,0.021201,0.0049005,0.0049867,0.017003,104.7182561341736,926.7753645080948,1.1180064141410837,6958.1818690558475,2.941499896973472e+21,7.50501482699076e+38,0.015343625980454356,0.08167498733966509,0.005217637645340761,1.077863724446628,0.8088090603392954,2.7185627139938065e+35,5.557964967359715e-06,1.3672773017998778e+37,2.4976731989981384e+38,2.6371194918921202e+38,709563.3294170912,3.2089022322752036e+40,0.42205072064801263,2.6417022760605575,0.0,9.512195336568182e+19,0.0,0.0,0.0,0.0,0.0,0.0
22,23,202.5309,47.2222,3.3933e+37,1.7665000000000002e+36,3.2077000000000004e+36,2.1773e+35,0.7259,0.1033,0.023442,0.0072712,0.0070015,0.027044,104.7445367953676,945.1352759623144,1.383488838151154,6910.362277113961,2.9212846557772167e+21,2.0818087805466968e+39,0.0425615352239645,0.10106942070574772,0.003025629626739781,0.9373561959765243,0.46901621417182815,7.540994733422042e+35,1.5417185092570687e-05,1.703657402947664e+37,1.4483631372046244e+38,1.6262698722328129e+38,1968250.8343914128,1.3195304485469942e+40,0.21000299968034924,1.531883433609489,0.0,7.243553709898398e+19,0.0,0.0,0.0,0.0,0.0,0.0
23,24,202.5309,47.2227,6.1358e+37,3.1863000000000004e+36,1.1859e+37,1.2754000000000001e+36,1.8557,0.1359,0.038072,0.01081,0.0080376,0.043422,104.752266401756,950.5352500398924,2.6608587996137607,6897.924188139244,2.9160265814517403e+21,3.76434807287255e+39,0.07696020623793987,0.19438635261547055,0.007734758091115872,1.150750488130484,1.1989990200284635,1.3635704324796206e+36,2.7877512831460594e-05,3.2825447710142214e+37,3.7026139602019855e+38,4.044504141628204e+38,3559011.4253555043,6.833288712319788e+40,1.0033220704830392,3.91612630906341,0.0,1.1581562904818036e+20,0.0,0.0,0.0,0.0,0.0,0.0
24,25,202.5309,47.2233,2.3449999999999997e+37,1.225e+36,6.3379e+36,3.7271e+35,2.3853,0.0447,0.016889,0.00403,0.0050729,0.019248,104.76154192953652,957.0152190074066,1.2359340707155608,6883.984576600682,2.910133753889001e+21,1.4386707896095257e+39,0.029412901924438375,0.09028987447108705,0.009942188109467419,1.182172486220774,1.5411824985040112,5.211337827446641e+35,1.0654318522405405e-05,1.5277857846699115e+37,4.759306503890605e+38,4.917296420185043e+38,1360194.5618270894,1.039518790471833e+41,1.2544259407838805,5.033753346450909,0.0,1.3130606622762998e+20,0.0,0.0,0.0,0.0,0.0,0.0
25,26,202.53,47.1933,2.9881e+37,1.5539e+36,2.3308e+36,5.375e+35,0.4223,0.498,0.07358,0.016657,0.010837,0.041159,110.90273685576454,633.0074251872513,1.4023783094803226,8597.529147797406,3.634517116452438e+21,1.8332162841928462e+39,0.037479186456466654,0.10245341931836564,0.00176019202558508,0.763584232798608,0.2728551415412082,6.6405111139417094e+35,1.3576191546609634e-05,1.3880851389583124e+37,8.426005687305592e+37,9.88049593740332e+37,1733218.4947528897,5.725331058273064e+39,0.10179897114797559,0.8911893842310061,0.0,5.524892436493443e+19,0.0,0.0,0.0,0.0,0.0,0.0
26,27,202.53,47.1939,1.9463999999999998e+37,1.0157e+36,2.829e+36,4.6559e+35,1.4054,0.2921,0.048473,0.0086888,0.0069821,0.025725,110.9119377097348,639.4873919131657,1.2905177351971473,8542.709477653862,3.611342664115043e+21,1.194127430659267e+39,0.02441333573804983,0.09428114442523679,0.00585785904039136,1.0995473484551992,0.9080526069666448,4.32552151272586e+35,8.843311544567113e-06,1.285560478802766e+37,2.8041459609138712e+38,2.9370275303068734e+38,1128990.488332728,3.933202977254814e+40,0.5007202582522463,2.9658478820702254,0.0,1.0078902896788305e+20,0.0,0.0,0.0,0.0,0.0,0.0
27,28,202.53,47.2072,1.3884e+37,7.2825e+35,1.6926e+36,1.3387999999999999e+35,1.1277,0.1289,0.057254,0.011121,0.0073975,0.024611,111.11588998333336,783.126660191663,0.8678719183613345,7487.763011941278,3.165374884226135e+21,8.517912683555931e+38,0.017414444789718653,0.06340258122586807,0.004700375437490634,1.0528229530923447,0.7286259604925894,3.0854675648728855e+35,6.308083512370006e-06,9.863207113648647e+36,2.2500607657055446e+38,2.351778304406904e+38,805327.9870536167,2.639309658584985e+40,0.33347642355182144,2.3798111972467573,0.0,9.028385128251526e+19,0.0,0.0,0.0,0.0,0.0,0.0
28,29,202.53,47.2077,2.2847e+37,1.1904e+36,3.0114e+36,2.3026999999999998e+35,1.251,0.087,0.08494,0.014725,0.0094367,0.035372,111.12355736264504,788.526633010835,1.057613989915448,7455.0002290216225,3.1515247543507846e+21,1.4016763978767096e+39,0.028656570160667107,0.07726416691429608,0.005214303158908204,1.0780749744402953,0.8082921668672779,5.077331997598013e+35,1.0380350331829267e-05,1.2072404243876603e+37,2.4960769866964938e+38,2.6218783611328578e+38,1325218.1302372504,3.18767035307116e+40,0.40959198009008513,2.6400140176959237,0.0,9.509155325197296e+19,0.0,0.0,0.0,0.0,0.0,0.0
29,30,202.53,47.2083,1.3527e+37,7.0997e+35,2.3423e+36,1.5080000000000001e+35,1.682,0.0792,0.060267,0.0093358,0.0081389,0.025319,111.13275821751114,795.0066004356796,0.7361511538278209,7416.436650638831,3.1352223977906074e+21,8.298891160361644e+38,0.01696666628280929,0.053779591896468915,0.007010757724447323,1.1337837646240576,1.0867685249166759,3.0061307800371304e+35,6.1458834393423416e-06,8.446669763279465e+36,3.3560363642074364e+38,3.443509192620268e+38,784620.5474556519,5.352414147885266e+40,0.6276156194868612,3.549563211642321,0.0,1.102621057474315e+20,0.0,0.0,0.0,0.0,0.0,0.0
30,31,202.5292,47.1933,3.7659999999999997e+37,1.9562000000000002e+36,2.2686e+36,3.5702e+35,0.014,0.2785,0.089811,0.017006,0.013093,0.048456,116.77382238347845,632.9991185919943,1.1917460489108045,8507.485069168079,3.596451907322287e+21,2.3104623427161937e+39,0.04723624249357566,0.08706514463969843,5.8353512569716125e-05,0.058559255046406564,0.00904563576030527,8.369252988556098e+35,1.71105175076242e-05,1.192082834815722e+37,2.793371527877771e+36,1.55511251748906e+37,2184431.863471565,3.895428651233148e+38,0.019658845720897652,0.02954452138108948,407199.3919574626,1.0059521063517567e+19,2.459670098766207,69.54126387726704,31674044.126969624,0.7675467096155375,26.997943741684107,15490797.101520678
31,32,202.5292,47.1939,2.868e+37,1.4918e+36,2.3795e+36,3.6460000000000004e+35,0.5197,0.253,0.067651,0.010187,0.010911,0.035706,116.78295686387798,639.4790853672663,1.0006615836177553,8452.08139895073,3.573030574953692e+21,1.7595342535608186e+39,0.0359727943365839,0.07310505557986871,0.0021661657487486766,0.8320080294499713,0.33578692175933206,6.373610613695934e+35,1.3030526875163624e-05,1.0075046167243848e+37,1.0369394164557699e+38,1.1440634887419042e+38,1663555.651735647,7.487423376855595e+39,0.11263241804187483,1.0967348401251573,0.0,6.129000332436864e+19,0.0,0.0,0.0,0.0,0.0,0.0
32,33,202.5292,47.1944,1.3692e+37,7.184199999999999e+35,1.9428e+36,1.5210000000000001e+35,1.3674,0.1067,0.038346,0.0048529,0.0074782,0.020731,116.79056893099244,644.8790576895915,0.8507711946680816,8406.325879160635,3.5536878990533864e+21,8.40011959545144e+38,0.017173622735582525,0.06215450442756392,0.005699470934844988,1.0954657401685535,0.883500167045816,3.042799041936009e+35,6.220849859649246e-06,8.612509033637294e+36,2.7283258765857602e+38,2.8174937659640693e+38,794191.212816056,3.684802156021528e+40,0.44369322899648,2.885655609750125,0.0,9.941709626295358e+19,0.0,0.0,0.0,0.0,0.0,0.0
33,34,202.5292,47.2072,2.0208999999999998e+37,1.0542000000000001e+36,2.509e+36,1.656e+35,1.1564,0.0713,0.078649,0.013505,0.0079149,0.032564,116.98543785327104,783.1183547415644,1.035940211630383,7384.198648322493,3.1215941135237277e+21,1.2398336028664778e+39,0.025347775479359277,0.07568064559716992,0.004820000138258552,1.05850107785709,0.7471695138012153,4.491084270996552e+35,9.181796290801313e-06,1.1938362475173805e+37,2.307324882027039e+38,2.4311995910497737e+38,1172203.4925357632,2.7828591371904054e+40,0.36202447525340903,2.440377466077991,0.0,9.142549660056219e+19,0.0,0.0,0.0,0.0,0.0,0.0
34,35,202.5292,47.2077,1.8815e+37,9.8229e+35,2.877e+36,1.9279e+35,1.4856,0.0787,0.07501,0.011286,0.0071492,0.030365,116.99304992100052,788.5183276020039,1.086730915111171,7350.974300703564,3.107548861913863e+21,1.1543109128572806e+39,0.023599307023808445,0.07939109178524523,0.00619214130525502,1.1097552499863819,0.9598711775363935,4.1812930159236055e+35,8.548443624693292e-06,1.2580276142367748e+37,2.964166244153727e+38,3.094150298593328e+38,1091345.871248473,4.3397835588033453e+40,0.5454271440800569,3.135095783124752,0.0,1.0362492562776464e+20,0.0,0.0,0.0,0.0,0.0,0.0
35,36,202.5283,47.19,2.5092999999999997e+37,1.3063000000000001e+36,1.7893000000000002e+36,1.8801999999999998e+35,0.2804,0.1362,0.14514,0.02706,0.017965,0.063121,123.32896465359812,597.3500281559153,0.6133889421181089,8724.540052055558,3.688209671321021e+21,1.539469770732274e+39,0.031473686481446994,0.04481239121968088,0.0011687374946106,0.6214044973278221,0.1811711619421141,5.576464823203349e+35,1.1400802331885662e-05,5.982998338923379e+36,5.594724117263764e+37,6.248788599388136e+37,1455495.1872037165,2.9543283090873335e+39,0.0456247847356414,0.5917345568041064,0.0,4.501966833132091e+19,0.0,0.0,0.0,0.0,0.0,0.0
36,37,202.5284,47.1933,3.3769999999999997e+37,1.7549e+36,2.3556e+36,1.9218e+35,0.2457,0.0968,0.087039,0.014011,0.010718,0.045606,122.64490791605095,632.9908721383794,1.1358940019415027,8418.088706393219,3.558660513414996e+21,2.071808638171159e+39,0.042357087334255174,0.08298464273773466,0.001024104145598518,0.5769480174211684,0.15875090759335747,7.504770935303754e+35,1.5343127356146288e-05,1.148279297606413e+37,4.902367031425488e+37,6.125694038384938e+37,1958796.1770959832,2.7332706373264575e+39,0.05529951477854611,0.5185063502381203,0.0,4.214207005689274e+19,0.0,0.0,0.0,0.0,0.0,0.0
37,38,202.5284,47.1939,2.7848e+37,1.4488000000000002e+36,2.4099e+36,2.2181e+35,0.5863,0.1201,0.070915,0.0091834,0.011505,0.037635,122.65397602276892,639.4708389629865,0.9457623233328551,8362.092754871604,3.534988800210106e+21,1.7084905820488732e+39,0.03492923210199403,0.06909418403091128,0.0024437617442588976,0.873732053119686,0.3788183033047843,6.18871368096947e+35,1.265251438004033e-05,9.624757942069957e+36,1.1698240905676696e+38,1.2722603836693387e+38,1615296.2967062173,8.944875314759206e+39,0.12875949008256588,1.2372823489809115,0.0,6.509883755229287e+19,0.0,0.0,0.0,0.0,0.0,0.0
38,39,202.5284,47.1944,1.2745e+37,6.6972e+35,1.0853000000000001e+36,1.6460000000000001e+35,0.5609,0.3021,0.039035,0.0043577,0.0096144,0.0218,122.66153277829328,644.8708113264623,0.7483896237677773,8315.842113293944,3.5154368166609745e+21,7.819129728602733e+38,0.01598581812481736,0.05467475829751321,0.0023378918000252695,0.8596547162299609,0.3624069355682304,2.8323454418254773e+35,5.790588041281744e-06,7.658503953874723e+36,1.1191443499904586e+38,1.1985617349710312e+38,739261.3940505866,8.193717042232161e+39,0.11292182273935654,1.183680145903792,0.0,6.367310175696678e+19,0.0,0.0,0.0,0.0,0.0,0.0
39,40,202.5284,47.2072,2.1877999999999997e+37,1.1403000000000001e+36,2.2642000000000002e+36,1.8383e+35,0.8689,0.0954,0.093457,0.013724,0.010783,0.038225,122.854985727873,783.1101094309407,0.9833036681767484,7281.023619277374,3.0779779300123256e+21,1.3422276987239745e+39,0.027441171356198835,0.07183508084278639,0.0036216690765590244,0.989777021160962,0.5614109222949464,4.8619892959009636e+35,9.940092990754175e-06,1.1492313090563646e+37,1.733686086123568e+38,1.8534712063251056e+38,1269012.2227570603,1.7048013005362448e+40,0.2332608763062886,1.8336596162877605,0.0,7.924980186697518e+19,0.0,0.0,0.0,0.0,0.0,0.0
40,41,202.5284,47.2077,1.1907e+37,6.2671e+35,1.8988e+36,1.4302e+35,1.552,0.1008,0.060198,0.0076631,0.0073769,0.024629,122.86254248416992,788.510082332516,0.820689531445902,7247.326295689431,3.0637327326709023e+21,7.30501197948001e+38,0.014934730201035725,0.05995527679882503,0.006468903679157102,1.118012732535709,1.0027733357138413,2.646115117757235e+35,5.409849494510924e-06,9.636357456681676e+36,3.096651865190215e+38,3.195661554874789e+38,690654.0148262327,4.647932654348898e+40,0.5586643285974889,3.275221227389348,0.0,1.0591540835242487e+20,0.0,0.0,0.0,0.0,0.0,0.0
