  1.679E+01  1.511E+01  8.552E+00 -7.552E+00  5.767E+00  5.033E+00
  1.502E+01  1.359E+01  7.776E+00 -6.776E+00  5.273E+00  4.503E+00
  1.360E+01  1.212E+01  7.028E+00 -6.028E+00  4.761E+00  3.994E+00
  1.212E+01  1.069E+01  6.281E+00 -5.281E+00  4.249E+00  3.491E+00
  1.069E+01  9.247E+00  5.531E+00 -4.531E+00  3.744E+00  2.987E+00
  9.233E+00  7.772E+00  4.778E+00 -3.778E+00  3.239E+00  2.481E+00
  7.773E+00  6.271E+00  4.027E+00 -3.027E+00  2.734E+00  1.978E+00
  6.286E+00  4.803E+00  3.280E+00 -2.280E+00  2.232E+00  1.480E+00
  4.799E+00  3.304E+00  2.533E+00 -1.533E+00  1.732E+00  9.822E-01
  3.307E+00  1.789E+00  1.778E+00 -7.780E-01  1.228E+00  4.830E-01
  1.734E+00  0.000E+00  1.000E+00  0.000E+00  7.108E-01  0.000E+00
