ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,LBol,Sigma_star,Sigma_g,Momentum,tau,Mass_new,Mass_g,Mass_old,L_Edd
44,202.5234,47.1727,1.54e+37,8.0632e+35,1.2519e+36,1.9235e+35,0.4875,0.2201,0.07889700000000001,0.014384,0.0085231,0.035192,159.04209698982862,410.4618202134065,0.8828027861689076,2.12707182320442e+39,0.06449948932254061,,0.7597210790927045,0.2270111692797851,7.704952331012204e+35,9.493020308078287e+36,3.21622735829647e+35,1.111296791074867e+39
45,202.5226,47.1728,1.3233e+37,6.9484e+35,9.0543e+35,1.4846e+35,0.2153,0.2807,0.06379800000000001,0.012458,0.0091918,0.030187,164.9168925498416,411.53400272111793,0.7343811939503273,1.827762430939226e+39,0.053655485369991734,,0.4933999956884222,0.10025744563269276,6.620755467291201e+35,4.19250722529078e+36,2.6754977718767152e+35,3.6568637743634556e+38
49,202.5219,47.2172,1.1133e+37,5.8698e+35,9.1302e+35,1.3241e+35,0.5014,0.2422,0.027141,0.0070834,0.0045893,0.017147,170.68720946756832,891.0448172600163,1.1732918969665136,1.537707182320442e+39,0.08572325480420012,,0.7667165659258289,0.2334838980038651,5.570080149425901e+35,9.763693092247084e+36,4.274537368269319e+35,1.1499963931622498e+39
50,202.5219,47.2189,1.4624e+37,7.6628e+35,9.5791e+35,1.1313e+35,0.1464,0.2258,0.034489,0.0079182,0.0065805,0.020698,170.71137446442225,909.4047291271327,0.9302457742087552,2.019889502762431e+39,0.06796577709195878,,0.3878083495826565,0.06817320037448314,7.316702784981978e+35,2.8508270217490486e+36,3.38907166563636e+35,2.42202511171452e+38
55,202.521,47.2189,3.3149e+37,1.7228e+36,3.2142000000000004e+36,3.1483e+35,0.7659,0.1218,0.060108,0.010709,0.010302,0.037116,177.3131598221346,909.3960758134692,1.3508326491183944,4.5785911602209946e+39,0.09869476783876034,,0.9042302023727878,0.35665200933617924,1.6585160053293736e+36,1.491426513632238e+37,4.9213538863292866e+35,2.3648865427505904e+39
59,202.5202,47.2166,2.2613000000000003e+37,1.1782e+36,1.7508e+36,2.416e+35,0.4104,0.2657,0.039957,0.0091473,0.0069917,0.02497,183.1492603335152,884.548566851209,1.3862924613601246,3.1233425414364646e+39,0.101285538752602,,0.7007803516548243,0.1911084797383052,1.1313771887089544e+36,7.991662634739138e+36,5.050541084238842e+35,9.225264675203341e+38
60,202.5202,47.2172,2.747e+37,1.4291000000000002e+36,3.0617e+36,3.0323e+35,0.9861,0.1315,0.043314,0.008540100000000002,0.0062193000000000005,0.026494,183.157648111513,891.0285357165196,1.6949223693762356,3.794198895027625e+39,0.12383471028737908,,0.9737952014399446,0.4591912082600945,1.3743833800838004e+36,1.9202189386248203e+37,6.1749416517286896e+35,3.5114032854920973e+39
62,202.5202,47.2183,1.381e+37,7.244000000000001e+35,1.1647e+36,2.3381e+35,0.5455,0.3925,0.027842,0.0041841000000000005,0.0066251,0.017933,183.17302570501462,902.9084788135292,1.2060617231171804,1.9074585635359124e+39,0.08811748949061178,,0.7997687742052598,0.2540196776248672,6.90944101891419e+35,1.0622446313962477e+37,4.393924408097065e+35,1.3115477429803004e+39
63,202.5202,47.2189,1.9333e+37,1.0089e+36,1.4228e+36,1.356e+35,0.3303,0.1418,0.040053,0.005683,0.0097411,0.026648,183.18141348337917,909.3884478750923,0.9723523773027504,2.670303867403315e+39,0.07104217698468633,,0.6274582038441615,0.15380879838587286,9.672717104899932e+35,6.431886374888735e+36,3.542474453844063e+35,6.677737644131335e+38
64,202.5202,47.2194,1.1412e+37,6.0128e+35,7.2588e+35,1.1335e+35,0.0999,0.3111,0.032503,0.0045331,0.0087746,0.021752,183.18840329872052,914.7884221479255,0.7559508742960909,1.5762430939226522e+39,0.05523141307315373,,0.2937790780627704,0.046519827304719034,5.709669870228004e+35,1.9453389308246582e+36,2.7540804373651328e+35,1.5532044427623273e+38
68,202.5194,47.2155,1.2306e+37,6.4705e+35,9.5673e+35,1.9012e+35,0.417,0.3894,0.033306,0.0070913,0.0084664,0.020995,189.0025125292072,872.6610560291504,1.1300222221485856,1.6997237569060773e+39,0.08256187836471211,,0.7069840218404648,0.1941818617224008,6.1569573626906605e+35,8.12018352506389e+36,4.116897276830611e+35,8.827652540190954e+38
74,202.5186,47.2161,1.5995e+37,8.3678e+35,1.3078e+36,2.066e+35,0.4966,0.2324,0.037314,0.0067714,0.0073343,0.022424,194.879397358378,879.1335169337543,1.4238114944272748,2.209254143646409e+39,0.10402676081331677,,0.7651653416252977,0.23124871110634104,8.002643671074038e+35,9.670223353829082e+36,5.187230436037411e+35,1.1668929306646464e+39
76,202.5186,47.2172,1.2579e+37,6.6113e+35,9.5463e+35,1.9653e+35,0.3788,0.3959,0.030383,0.0042596000000000005,0.0073759,0.020841,194.89453158125286,891.0134599791643,1.1415015889802629,1.7374309392265194e+39,0.08340058584274633,,0.6820018354976429,0.1763934993296053,6.2935451540131494e+35,7.37632019015396e+36,4.158718909293037e+35,7.652958596882983e+38
78,202.5177,47.2072,1.4847e+37,7.7764e+35,9.7848e+35,1.9655e+35,0.1561,0.3027,0.048484,0.014209,0.0085193,0.029022000000000006,201.36018922390247,783.0056097747947,1.1044149012630806,2.0506906077348064e+39,0.0806909518725097,,0.4103246777020029,0.07269014056322963,7.428274497307674e+35,3.039713784802094e+36,4.023604678194792e+35,2.60479535325405e+38
84,202.5161,47.2055,5.068e+37,2.6298000000000003e+36,3.3550000000000004e+36,2.1193e+35,0.1631,0.07,0.079412,0.025405,0.014496,0.05919500000000001,213.07648365190238,764.6309985467758,1.336547042723319,7e+39,0.09765103040206302,,0.4222619712660831,0.07594978812211886,2.5356297671149246e+36,3.1760238199950126e+36,4.8693085611020225e+35,3.917216662522772e+38
85,202.5161,47.2061,2.8017e+37,1.4574000000000002e+36,2.9465e+36,2.0401e+35,0.8943,0.0877,0.047559,0.012991,0.01049,0.03381,213.08453126352745,771.1109666569567,1.177068983604882,3.8697513812154695e+39,0.08599921695918945,,0.9481050813467184,0.4164432588449473,1.4017509705062916e+36,1.7414580639003923e+37,4.288298051370121e+35,2.970033825940996e+39
89,202.5152,47.155,1.3829e+37,7.2546e+35,1.1101e+36,1.4517e+35,0.4677,0.17800000000000002,0.21028,0.036307,0.026977,0.086746,219.0088808595847,219.2255171745427,0.3438867335433999,1.910082872928177e+39,0.02512511179830153,,0.7461495338238687,0.2177910233274984,6.918947128932972e+35,9.107457637104032e+36,1.2528482441443895e+35,1.0178158687355136e+39
90,202.5152,47.16,3.2300000000000004e+37,1.679e+36,2.4863e+36,2.329e+35,0.4013,0.1163,0.063872,0.019398,0.018228,0.055569000000000014,219.07532204915287,273.22526279237826,0.7439622202776771,4.461325966850828e+39,0.054355495966901694,,0.6903846360132734,0.1868709379117492,1.6160387031928196e+36,7.814459588988342e+36,2.7104033696810756e+35,9.226388550200173e+38
91,202.5152,47.1605,2.1876e+37,1.1402e+36,2.0794e+36,1.9067e+35,0.7346,0.1411,0.036654,0.010819,0.009762200000000002,0.030583,219.08196616785526,278.625237082779,0.6687916076854054,3.021546961325967e+39,0.048863367713314135,,0.889677475948962,0.3420767281085746,1.0945034882676816e+36,1.4304764550388333e+37,2.436541772791064e+35,2.1132422996740472e+39
92,202.5152,47.1611,4.617e+37,2.3965e+36,3.8605e+36,2.7262e+35,0.532,0.1081,0.06384400000000001,0.016626,0.009744,0.04692,219.0899391100777,285.105206170446,1.308006325821648,6.37707182320442e+39,0.09556578362452876,,0.7915382007584317,0.24773321447558086,2.3099847345638532e+36,1.0359562674661844e+37,4.765329013276959e+35,1.445603246891744e+39
93,202.5152,47.1616,4.8619e+37,2.5233e+36,6.2766e+36,4.0490000000000005e+35,1.2181,0.065,0.066589,0.015123,0.010063,0.046937,219.0965832285935,290.50518036064864,1.354965328589903,6.715331491712708e+39,0.09899671037861436,,1.0290720386749102,0.5672252416404229,2.4325134894901446e+36,2.371989340978495e+37,4.93641006533957e+35,5.1603962452067234e+39
95,202.5152,47.1639,1.6945e+37,8.8592e+35,1.5957e+36,2.2166e+35,0.7197,0.2214,0.048065,0.013359,0.0097323,0.039092,219.12714617313682,315.3450610782732,0.8961025278972523,2.3404696132596687e+39,0.06547119734503408,,0.8815095501796151,0.3351383354475104,8.477949172013103e+35,1.4014618904049114e+37,3.264680981093255e+35,2.028912733328617e+39
97,202.5153,47.2055,8.234000000000002e+37,4.2687e+36,6.3788e+36,6.1303e+35,0.4114,0.1174,0.10527,0.02976,0.016066999999999998,0.07420399999999999,218.94621972565352,764.6237378840184,2.0096303355615426,1.1372928176795582e+40,0.14682795795572515,,0.7048698481926079,0.19157414367528935,4.1196478891918506e+36,8.011135496909555e+36,7.321485802446135e+35,1.228311187809538e+39
98,202.5153,47.2061,4.2538000000000005e+37,2.2085e+36,4.5321000000000005e+36,3.2726e+35,0.9148,0.0815,0.058951,0.013454,0.011292,0.04064,218.95420096346626,771.1037060420317,1.5250888796981097,5.875414364640885e+39,0.11142630659209644,,0.9532987641937172,0.4259893695531228,2.1282679367311505e+36,1.7813774313497471e+37,5.5562042344758636e+35,3.218211249690998e+39
101,202.5153,47.2094,2.0219000000000002e+37,1.0545e+36,2.0864e+36,1.7355e+35,0.8643,0.1004,0.043852,0.0097604,0.0069528,0.024341,218.998097772937,806.7435316944224,1.3078628048725531,2.79267955801105e+39,0.0955552976722088,,0.94178818885844,0.40247334073542207,1.0116002024723102e+36,1.6830394773891414e+37,4.764806137714943e+35,2.7505128897660657e+39
103,202.5144,47.1611,7.4271e+37,3.8512e+36,5.535700000000001e+36,4.1836e+35,0.3504,0.0917,0.093764,0.019412,0.013627,0.071529,224.9645868513354,285.09800964079943,1.8608659731466644,1.0258425414364642e+40,0.13595891046801467,,0.6594835983510292,0.16316864351925472,3.715938406341607e+36,6.823290904514117e+36,6.779507435551043e+35,9.75117320463174e+38
104,202.5144,47.1616,7.215500000000001e+37,3.7416e+36,9.8138e+36,9.9267e+35,1.3006,0.1262,0.08758400000000001,0.016049,0.012545,0.06646200000000001,224.9711756583293,290.4979838706086,2.1562328187584505,9.966160220994476e+39,0.15753905385139186,,1.052634685386335,0.6056425164416174,3.61007036002718e+36,2.5326404538844346e+37,7.855588010367667e+35,6.008383939245079e+39
106,202.5144,47.1639,1.7273e+37,9.0276e+35,1.2442e+36,1.7264e+35,0.2964,0.2511,0.031786,0.010261,0.010931,0.039431,225.00148417025719,315.3378647706014,0.7826191677497041,2.3857734806629834e+39,0.05717985652599599,,0.6046888438009971,0.1380227909221093,8.642054650232065e+35,5.771756347311599e+36,2.851238371558805e+35,5.550518415003975e+38
107,202.5144,47.1644,1.8253e+37,9.5331e+35,1.6410000000000005e+36,2.1799e+35,0.6466,0.2533,0.033181,0.012335,0.012423,0.039383,225.00807297709426,320.7378387633584,0.7631664208033148,2.521132596685083e+39,0.0557585965757327,,0.8489751935552335,0.3010983016539672,9.132369798569204e+35,1.2591152679391634e+37,2.7803681184250272e+35,1.717431660664896e+39
109,202.5145,47.205,2.5584e+37,1.3317e+36,1.9457e+36,1.391e+35,0.3823,0.1038,0.036571,0.011941,0.007698300000000002,0.026844,224.80936009154567,759.2165638871007,1.340264737320848,3.5337016574585644e+39,0.09792265324552776,,0.6862787408874623,0.1780233231090499,1.2800227301078976e+36,7.44447520775042e+36,4.882852867102973e+35,8.39668160848116e+38
110,202.5145,47.2055,2.9265e+37,1.5219e+36,2.5829e+36,1.6791e+35,0.6174,0.0865,0.038262,0.0093739,0.0081305,0.027051,224.81595581175014,764.6165373610213,1.3853084502705382,4.042127071823205e+39,0.10121364476477092,,0.833786910228382,0.2875009146940293,1.4641911036822868e+36,1.2022545104015455e+37,5.046956134761133e+35,1.6950667068422536e+39
112,202.5136,47.1616,3.7217e+37,1.9333e+36,3.3099000000000004e+36,3.1344e+35,0.6294,0.1566,0.0454,0.0079224,0.012044,0.03987,230.8457681009006,290.49084752735587,1.1725463286994104,5.1404696132596687e+39,0.08566878196696323,,0.8411897359745258,0.2930888819378394,1.8620468240472804e+36,1.225621945006046e+37,4.271821113749392e+35,1.7806270568952485e+39
114,202.5136,47.1639,1.6016e+37,8.3799e+35,1.11e+36,2.14e+35,0.2355,0.3903,0.018984,0.0082851,0.015388999999999996,0.034216,230.87582218039813,315.3307286095514,0.6609281861156668,2.2121546961325965e+39,0.048288849051250304,,0.5246243876695057,0.10966385715977307,8.013150424252689e+35,4.585859041133204e+36,2.4078937531216137e+35,4.133393822991004e+38
115,202.5136,47.1644,1.7912e+37,9.3564e+35,1.6942e+36,2.4971e+35,0.7267,0.2492,0.02029,0.0099263,0.016183000000000003,0.032526,230.88235567576905,320.73070264183286,0.728305341588216,2.4740331491712713e+39,0.05321157039748014,,0.8924519453509124,0.3383979830063996,8.96176013981108e+35,1.4150928939242034e+37,2.653362224846109e+35,2.039989039068288e+39
116,202.5136,47.165,2.3848e+37,1.242e+36,2.5369000000000003e+36,4.3461e+35,0.9124,0.2792,0.025686,0.012344,0.015854,0.035148,230.89019587000942,327.2106714280139,0.9655121042212502,3.293922651933702e+39,0.07054241177381954,,0.9558945698047084,0.4248717761043608,1.1931669038310327e+36,1.776703944428847e+37,3.5175539690340705e+35,3.01588484935733e+39
119,202.5137,47.2044,1.7129000000000004e+37,8.9521e+35,1.4771e+36,1.3821e+35,0.5808,0.1412,0.029649,0.010997,0.0068699,0.021359,230.67130301146324,752.7294552835208,1.1923456641095151,2.365883977900553e+39,0.08711536442330033,,0.8172407795568918,0.2704576146004085,8.570008342721302e+35,1.1309838348578196e+37,4.343954058071435e+35,1.465219722711789e+39
122,202.5128,47.1616,1.4005e+37,7.3444e+35,1.0263e+36,1.9206e+35,0.3236,0.3521,0.01867,0.0038899,0.013928,0.020944,236.72036055677154,290.48377133087564,0.6566459015814606,1.9343922651933702e+39,0.04797597604051961,,0.6251013819001433,0.15068885000807886,7.007003727001683e+35,6.301418198346942e+36,2.3922925329049296e+35,6.133248247576064e+38
123,202.5128,47.1622,1.1582000000000002e+37,6.1009e+35,1.0153e+36,2.0829e+35,0.6066,0.4154,0.013314,0.0033445,0.015415,0.019344,236.72813437773223,296.96374044316445,0.5936904616582572,1.5997237569060773e+39,0.04337631483788088,,0.825872072501007,0.28247174417460025,5.794724538817101e+35,1.181223819257495e+37,2.162933256510602e+35,1.5151270211034115e+39
124,202.5128,47.1639,1.519e+37,7.9539e+35,1.3092e+36,2.6958e+35,0.58,0.4218,0.011776,0.0066763000000000005,0.01483,0.023958,236.75016020365499,315.32365259467656,0.6617260171935696,2.098066298342541e+39,0.04834714032297782,,0.816475380770476,0.2700850834508212,7.599884799225672e+35,1.129426005884186e+37,2.4108004115285116e+35,1.4290193841408818e+39
125,202.5128,47.1644,1.8758e+37,9.7931e+35,1.6213e+36,2.3005e+35,0.5843,0.2688,0.013779,0.0078524,0.014962,0.024208,236.75663838747502,320.7236266663852,0.6827756497682503,2.5908839779005522e+39,0.049885072206253794,,0.8203064940683266,0.2720874383798532,9.385032196436812e+35,1.1377993366174653e+37,2.487488438831388e+35,1.4643462973255715e+39
126,202.5128,47.165,2.795e+37,1.454e+36,1.864e+36,2.6188e+35,0.1747,0.2688,0.01995,0.010042,0.01502,0.028999999999999998,236.76441220827672,327.203595500178,0.7935820973494017,3.860497237569061e+39,0.05798083197797441,,0.4424801061763201,0.08135148979113528,1.3983988159207214e+36,3.4019090211718505e+36,2.891178519752764e+35,3.2876154587675208e+38
127,202.5128,47.1655,4.1407e+37,2.15e+36,2.9987e+36,3.0711e+35,0.305,0.1908,0.030592,0.012842,0.012409,0.03656,236.7708903920393,332.6035694857094,0.9140758033085902,5.719198895027625e+39,0.06678436389100244,,0.6074564448497506,0.1420275007801732,2.0716815660404048e+36,5.939222961977185e+36,3.330161223115375e+35,6.854376274728123e+38
128,202.5128,47.1661,3.24e+37,1.6841e+36,3.8695e+36,3.9609e+35,1.0952,0.1849,0.028054000000000003,0.0099055,0.009601299999999998,0.029493,236.7786642126934,339.0835382186374,1.0488144495974967,4.4751381215469624e+39,0.07662866208965144,,1.0040658322826534,0.5099951437850678,1.621041918992178e+36,2.13266786490407e+37,3.82104109708453e+35,4.163473479666292e+39
130,202.5128,47.1705,1.4726e+37,7.715e+35,1.1566e+36,1.4609e+35,0.4333,0.1718,0.090104,0.014322,0.010381,0.036392,236.83567222832679,386.60330739668944,0.6517267302315769,2.0339779005524865e+39,0.04761657069548837,,0.7198319795032212,0.2017721838952428,7.367735586135435e+35,8.437591178441687e+36,2.3743710064626496e+35,9.269224648600304e+38
133,202.5119,47.1622,1.2735000000000001e+37,6.6918e+35,8.3334e+35,1.9370000000000003e+35,0.1448,0.4895,0.011504,0.0043226,0.011744,0.018316,243.3369762366206,296.9558516695337,0.6292314782774253,1.7589779005524866e+39,0.045973018719943234,,0.3882340217822574,0.06742813807530848,6.371595320483145e+35,2.819670442276382e+36,2.2924162982308253e+35,2.2493229756316e+38
134,202.5119,47.1628,1.2972e+37,6.8137e+35,9.7051e+35,2.164e+35,0.3563,0.4609,0.0091267,0.0043287,0.011548,0.015897,243.3446753870702,303.43582077281366,0.6413750453479767,1.7917127071823203e+39,0.0468602541103113,,0.6595679181110659,0.16591606074746135,6.490171534927941e+35,6.938180791319577e+36,2.3366577451899e+35,6.91232419052698e+38
135,202.5119,47.1633,1.8928e+37,9.8803e+35,1.6010000000000002e+36,2.4056e+35,0.5502,0.2939,0.010581,0.0057556000000000005,0.011187,0.017888,243.3510913458072,308.83579497897233,0.760851559903109,2.6143646408839778e+39,0.055589467809653535,,0.796564738077749,0.25620829812869284,9.470086865025911e+35,1.0713968766163437e+37,2.7719346165438177e+35,1.3491193829665794e+39
137,202.5119,47.1644,2.4114e+37,1.2558e+36,2.3987e+36,3.1485e+35,0.8064,0.2186,0.012235,0.0062938,0.011567,0.018593,243.36520645481014,320.7157380878693,0.935459550647172,3.330662983425414e+39,0.06834670692474641,,0.9268260607147544,0.3755113987840383,1.2064754578573266e+36,1.5702916054224268e+37,3.408066497419853e+35,2.4556103296778238e+39
138,202.512,47.1655,1.1207e+38,5.8079e+36,7.5073e+36,5.5825e+35,0.1818,0.0987,0.061845,0.021973,0.018576,0.07463,242.64505143253223,332.59655374355253,1.560375647976527,1.5479281767955803e+40,0.11400443453806472,,0.4464084298868394,0.08465770374372293,5.607103946341154e+36,3.5401663425818105e+36,5.684760998569716e+35,6.4736727638852995e+38
139,202.512,47.1661,8.436900000000002e+37,4.3739e+36,1.1558e+37,1.1423e+36,1.3119,0.1228,0.056241999999999986,0.016263,0.013771,0.060816,242.65275887936556,339.0765225236915,1.9012385718565088,1.165317679558011e+40,0.13890862023355524,,1.0491340093619723,0.6109045189295386,4.221163137760835e+36,2.5546447881370066e+37,6.926592898499824e+35,6.231844390581118e+39
141,202.512,47.205,2.6662e+37,1.3873000000000002e+36,1.7809e+36,1.9412e+35,0.1773,0.2138,0.038113,0.0091734,0.0070286,0.025632,243.1524582934666,759.1944497481436,1.5365662122939223,3.6825966850828736e+39,0.11226486544443924,,0.4393143143273029,0.08256221602729415,1.333957396424983e+36,3.4525384628149344e+36,5.598018455809615e+35,3.5302023588217626e+38
