,tau,momentum
199,1.57E-06,1.42E-06
200,1.59E-06,2.08E-05
201,1.62E-06,2.55E-05
202,1.64E-06,3.38E-06
203,1.66E-06,1.64E-05
204,1.68E-06,3.46E-05
205,1.71E-06,6.36E-06
206,1.73E-06,6.14E-07
207,1.76E-06,3.25E-05
208,1.78E-06,1.05E-05
209,1.81E-06,1.55E-05
210,1.83E-06,5.79E-05
211,1.86E-06,1.39E-05
212,1.88E-06,1.02E-05
213,1.91E-06,1.91E-05
214,1.93E-06,2.16E-05
215,1.96E-06,2.99E-05
216,1.99E-06,1.99E-05
217,2.02E-06,2.35E-05
218,2.04E-06,1.81E-05
219,2.07E-06,4.58E-05
220,2.10E-06,2.41E-05
221,2.13E-06,2.00E-05
222,2.16E-06,2.53E-05
223,2.19E-06,3.09E-05
224,2.22E-06,4.55E-05
225,2.25E-06,1.74E-05
226,2.28E-06,6.31E-05
227,2.32E-06,3.85E-05
228,2.35E-06,8.26E-06
229,2.38E-06,2.34E-05
230,2.41E-06,1.55E-05
231,2.45E-06,2.92E-05
232,2.48E-06,2.46E-05
233,2.52E-06,1.91E-05
234,2.55E-06,1.51E-06
235,2.59E-06,9.89E-06
236,2.62E-06,4.33E-05
237,2.66E-06,1.67E-05
238,2.70E-06,1.92E-05
239,2.73E-06,4.33E-05
240,2.77E-06,1.12E-05
241,2.81E-06,3.44E-07
242,2.85E-06,5.96E-06
243,2.89E-06,2.60E-05
244,2.93E-06,2.34E-05
245,2.97E-06,2.11E-05
246,3.01E-06,3.18E-05
247,3.05E-06,3.61E-06
248,3.10E-06,9.52E-05
249,3.14E-06,6.19E-06
250,3.18E-06,1.05E-05
251,3.23E-06,1.85E-05
252,3.27E-06,2.16E-06
253,3.32E-06,6.23E-05
254,3.37E-06,2.57E-05
255,3.41E-06,9.83E-06
256,3.46E-06,2.95E-05
257,3.51E-06,3.55E-06
258,3.56E-06,3.40E-05
259,3.61E-06,3.11E-06
260,3.66E-06,4.05E-05
261,3.71E-06,3.67E-05
262,3.76E-06,6.21E-06
263,3.81E-06,4.57E-05
264,3.87E-06,9.32E-06
265,3.92E-06,3.59E-06
266,3.97E-06,5.44E-05
267,4.03E-06,5.46E-05
268,4.09E-06,2.70E-05
269,4.14E-06,8.31E-05
270,4.20E-06,5.00E-05
271,4.26E-06,1.74E-05
272,4.32E-06,9.57E-06
273,4.38E-06,3.72E-05
274,4.44E-06,2.04E-05
275,4.50E-06,6.93E-05
276,4.56E-06,1.86E-05
277,4.63E-06,9.06E-06
278,4.69E-06,1.20E-05
279,4.76E-06,5.11E-05
280,4.82E-06,3.88E-05
281,4.89E-06,5.76E-07
282,4.96E-06,6.87E-05
283,5.03E-06,5.63E-05
284,5.10E-06,6.28E-05
285,5.17E-06,4.58E-05
286,5.24E-06,8.64E-05
287,5.31E-06,1.88E-05
288,5.39E-06,2.97E-05
289,5.46E-06,2.28E-05
290,5.54E-06,9.08E-05
291,5.62E-06,1.32E-06
292,5.70E-06,2.92E-05
293,5.77E-06,4.12E-05
294,5.86E-06,7.30E-05
295,5.94E-06,7.88E-05
296,6.02E-06,2.75E-05
297,6.10E-06,8.90E-05
298,6.19E-06,5.34E-05
299,6.27E-06,9.26E-05
300,6.36E-06,5.50E-05
301,6.45E-06,4.35E-05
302,6.54E-06,4.66E-05
303,6.63E-06,2.43E-05
304,6.72E-06,8.10E-05
305,6.82E-06,5.08E-05
306,6.91E-06,1.63E-05
307,7.01E-06,7.86E-05
308,7.11E-06,6.74E-05
309,7.21E-06,4.43E-05
310,7.31E-06,4.38E-05
311,7.41E-06,3.24E-06
312,7.51E-06,5.71E-05
313,7.62E-06,2.29E-05
314,7.72E-06,4.25E-05
315,7.83E-06,4.15E-06
316,7.94E-06,3.27E-05
317,8.05E-06,9.36E-05
318,8.16E-06,5.89E-05
319,8.28E-06,0.00010706
320,8.39E-06,7.69E-05
321,8.51E-06,7.24E-05
322,8.63E-06,5.79E-05
323,8.75E-06,9.91E-05
324,8.87E-06,5.31E-05
325,8.99E-06,9.35E-05
326,9.12E-06,2.43E-05
327,9.25E-06,0.00012883
328,9.37E-06,0.000169271
329,9.51E-06,0.000142203
330,9.64E-06,0.000130979
331,9.77E-06,0.000111005
332,9.91E-06,6.38E-05
333,1.00E-05,7.67E-05
334,1.02E-05,7.94E-05
335,1.03E-05,0.000109358
336,1.05E-05,8.36E-05
337,1.06E-05,2.27E-05
338,1.08E-05,7.51E-05
339,1.09E-05,0.000168238
340,1.11E-05,0.000121995
341,1.12E-05,0.000133973
342,1.14E-05,0.000106699
343,1.15E-05,0.000170043
344,1.17E-05,9.92E-05
345,1.19E-05,9.79E-05
346,1.20E-05,0.000174244
347,1.22E-05,0.000163483
348,1.24E-05,3.70E-05
349,1.25E-05,0.000189305
350,1.27E-05,0.000130347
351,1.29E-05,9.07E-05
352,1.31E-05,8.94E-05
353,1.33E-05,0.000130648
354,1.34E-05,0.00011876
355,1.36E-05,0.000104439
356,1.38E-05,0.000110815
357,1.40E-05,0.000176808
358,1.42E-05,0.000122086
359,1.44E-05,9.35E-05
360,1.46E-05,0.00012607
361,1.48E-05,0.00020439
362,1.50E-05,0.000238108
363,1.52E-05,0.000143652
364,1.54E-05,0.000106141
365,1.56E-05,0.000130679
366,1.59E-05,0.000189353
367,1.61E-05,0.000137918
368,1.63E-05,0.000198271
369,1.65E-05,0.00017079
370,1.68E-05,0.000126204
371,1.70E-05,0.000161498
372,1.72E-05,3.51E-05
373,1.75E-05,0.000181995
374,1.77E-05,0.000148241
375,1.80E-05,0.00016467
376,1.82E-05,0.000152077
377,1.85E-05,0.000218813
378,1.87E-05,9.80E-05
379,1.90E-05,0.000134517
380,1.93E-05,0.000167327
381,1.95E-05,0.000231753
382,1.98E-05,5.87E-05
383,2.01E-05,0.000154866
384,2.04E-05,0.000158267
385,2.06E-05,0.000247566
386,2.09E-05,0.000130386
387,2.12E-05,0.000205396
388,2.15E-05,0.000234858
389,2.18E-05,0.000301351
390,2.21E-05,0.000231471
391,2.24E-05,0.000220619
392,2.27E-05,0.000157169
393,2.31E-05,0.000236958
394,2.34E-05,0.00037047
395,2.37E-05,0.000225645
396,2.40E-05,0.000201371
397,2.44E-05,0.000273986
398,2.47E-05,0.000240419
399,2.50E-05,0.000285321
400,2.54E-05,0.000252365
401,2.58E-05,0.000214636
402,2.61E-05,0.000204008
403,2.65E-05,0.000294636
404,2.68E-05,0.000236878
405,2.72E-05,0.000234783
406,2.76E-05,0.000163078
407,2.80E-05,0.000144292
408,2.84E-05,0.00031428
409,2.88E-05,0.000273944
410,2.92E-05,0.000270492
411,2.96E-05,0.000294098
412,3.00E-05,0.000201263
413,3.04E-05,0.000206023
414,3.08E-05,0.000314782
415,3.13E-05,0.00034604
416,3.17E-05,0.000235008
417,3.21E-05,0.000338749
418,3.26E-05,0.000228153
419,3.30E-05,0.000365797
420,3.35E-05,0.000258519
421,3.40E-05,0.000325325
422,3.44E-05,0.000353956
423,3.49E-05,0.000192817
424,3.54E-05,0.000377742
425,3.59E-05,0.000308014
426,3.64E-05,0.000291814
427,3.69E-05,0.000273757
428,3.74E-05,0.000306623
429,3.79E-05,0.000262209
430,3.85E-05,0.000264085
431,3.90E-05,0.000350837
432,3.96E-05,0.000332625
433,4.01E-05,0.000300641
434,4.07E-05,0.000383998
435,4.12E-05,0.00027176
436,4.18E-05,0.000341419
437,4.24E-05,0.000652413
438,4.30E-05,0.000394162
439,4.36E-05,0.000431105
440,4.42E-05,0.000501228
441,4.48E-05,0.000372545
442,4.54E-05,0.000595048
443,4.61E-05,0.00050787
444,4.67E-05,0.000479686
445,4.74E-05,0.000554923
446,4.80E-05,0.000361566
447,4.87E-05,0.000464976
448,4.94E-05,0.00050377
449,5.00E-05,0.000517349
450,5.07E-05,0.000475636
451,5.15E-05,0.000478652
452,5.22E-05,0.000521673
453,5.29E-05,0.000472544
454,5.36E-05,0.00054869
455,5.44E-05,0.000474036
456,5.51E-05,0.000437642
457,5.59E-05,0.000524918
458,5.67E-05,0.000547449
459,5.75E-05,0.000615454
460,5.83E-05,0.000530961
461,5.91E-05,0.000526675
462,5.99E-05,0.000510049
463,6.08E-05,0.000727344
464,6.16E-05,0.000550757
465,6.25E-05,0.000463498
466,6.33E-05,0.000696317
467,6.42E-05,0.000525297
468,6.51E-05,0.000544444
469,6.60E-05,0.000607081
470,6.69E-05,0.000615718
471,6.79E-05,0.000635275
472,6.88E-05,0.000526576
473,6.98E-05,0.000896399
474,7.07E-05,0.000615532
475,7.17E-05,0.000749041
476,7.27E-05,0.000794321
477,7.37E-05,0.000606881
478,7.48E-05,0.000714251
479,7.58E-05,0.000845329
480,7.69E-05,0.000716058
481,7.79E-05,0.000887333
482,7.90E-05,0.000800956
483,8.01E-05,0.000906765
484,8.12E-05,0.000479062
485,8.24E-05,0.000728843
486,8.35E-05,0.000767924
487,8.47E-05,0.000780609
488,8.59E-05,0.000763697
489,8.71E-05,0.000722888
490,8.83E-05,0.000744446
491,8.95E-05,0.000772288
492,9.08E-05,0.000866432
493,9.20E-05,0.00103272
494,9.33E-05,0.00103263
495,9.46E-05,0.000671687
496,9.59E-05,0.000804878
497,9.73E-05,0.000896742
498,9.86E-05,0.000890213
499,0.0001,0.001130008
