ID RA Dec LHa E_LHa LPab E_Pab AHa E_AHa Ha/24um Ha/70um Ha/8um Ha/12um
508 202.4842 47.1978 2.3978e+37 1.2486e+36 3.8865e+36 7.5803e+35 1.5776 0.3532 1.2495e-02 3.9233e-03 4.0588e-03 1.1284e-02
509 202.4842 47.1983 5.2594e+37 2.7288e+36 4.8045e+36 8.6158e+35 0.6718 0.3334 2.7421e-02 6.9544e-03 7.2854e-03 2.1387e-02
510 202.4842 47.1989 6.3129e+37 3.274e+36 6.2265e+36 1.4431e+36 0.7929 0.4035 3.7565e-02 8.1102e-03 9.1751e-03 2.6928e-02
511 202.4842 47.1994 3.2148e+37 1.671e+36 4.6649e+36 1.2606e+36 1.4028 0.4579 2.5284e-02 5.0489e-03 6.9286e-03 1.7652e-02
512 202.4842 47.2 1.519e+37 7.953e+35 2.9976e+36 7.8778e+35 1.8886 0.426 1.7888e-02 3.5816e-03 5.6276e-03 1.2689e-02
513 202.4842 47.2044 8.5883e+36 4.5683e+35 1.8328e+36 2.5148e+35 2.0121 0.1985 2.4299e-02 4.6487e-03 4.6645e-03 1.2930e-02
514 202.4842 47.2067 1.645e+37 8.6015e+35 1.0277e+36 2.8252e+35 0.0717 0.5345 2.8844e-02 7.2160e-03 9.1418e-03 1.9087e-02
515 202.4842 47.2078 1.4728e+37 7.714e+35 1.2928e+36 3.3884e+35 0.6088 0.8959 2.4895e-02 6.5582e-03 7.4336e-03 1.6348e-02
516 202.4842 47.2083 1.2444e+37 6.5408e+35 1.5665e+36 2.3267e+35 1.1784 0.3143 2.2943e-02 6.1966e-03 6.1428e-03 1.5165e-02
517 202.4842 47.2089 1.4516e+37 7.6065e+35 1.3963e+36 1.4623e+35 0.7533 0.1904 2.7204e-02 7.3270e-03 6.7166e-03 1.7899e-02
518 202.4842 47.2094 1.928e+37 1.0061e+36 1.5156e+36 2.1241e+35 0.4344 0.2355 3.6517e-02 9.3709e-03 8.8899e-03 2.3516e-02
519 202.4842 47.2106 2.9863e+37 1.5528e+36 1.9548e+36 3.1072e+35 0.1453 0.2368 6.4706e-02 1.4081e-02 1.1157e-02 3.8542e-02
520 202.4834 47.1789 9.7471e+36 5.1607e+35 1.2657e+36 3.6563e+35 1.2274 0.5837 1.0445e-02 2.0198e-03 4.2845e-03 9.2438e-03
521 202.4834 47.1794 8.9444e+36 4.7513e+35 1.8679e+36 2.9265e+35 1.9779 0.326 8.9092e-03 1.4010e-03 3.2686e-03 7.7534e-03
522 202.4834 47.1944 1.0319e+37 5.4522e+35 2.0593e+36 9.3058e+35 1.9063 1.6696 5.7904e-03 4.3687e-03 4.7017e-03 8.4813e-03
523 202.4834 47.195 2.0715e+37 1.0801e+36 4.172e+36 1.0709e+36 1.9207 0.4706 6.7658e-03 4.1906e-03 3.7583e-03 9.5290e-03
524 202.4834 47.1956 4.6286e+37 2.4024e+36 8.0809e+36 9.5322e+35 1.695 0.2311 1.0711e-02 5.1914e-03 4.0787e-03 1.4091e-02
525 202.4834 47.1961 3.7262e+37 1.9355e+36 9.9692e+36 7.7199e+35 2.3693 0.1151 8.8183e-03 3.4456e-03 3.5720e-03 1.1076e-02
526 202.4834 47.1967 1.821e+37 9.5096e+35 5.1374e+36 4.1812e+35 2.4531 0.1307 5.7907e-03 1.9195e-03 2.7694e-03 6.8987e-03
527 202.4834 47.1972 1.4838e+37 7.7724e+35 4.5644e+36 4.039e+35 2.5897 0.1335 6.0586e-03 1.7566e-03 2.4747e-03 6.5942e-03
528 202.4834 47.1978 1.9553e+37 1.0201e+36 4.9145e+36 4.0845e+35 2.2706 0.1159 8.8717e-03 2.2148e-03 2.7405e-03 8.4039e-03
529 202.4834 47.1983 5.1723e+37 2.6837e+36 6.5078e+36 6.7105e+35 1.1775 0.1519 2.2672e-02 4.7486e-03 5.0861e-03 1.8347e-02
530 202.4834 47.1989 6.6928e+37 3.4707e+36 7.6619e+36 9.8894e+35 1.0283 0.186 3.3844e-02 6.0948e-03 6.7691e-03 2.4765e-02
531 202.4834 47.1994 2.9777e+37 1.5483e+36 5.2631e+36 4.9242e+35 1.7145 0.1331 2.0673e-02 3.4616e-03 4.8707e-03 1.4630e-02
532 202.4834 47.2 1.0635e+37 5.6132e+35 3.0291e+36 3.1585e+35 2.4682 0.1572 1.2740e-02 2.1793e-03 3.9655e-03 9.2595e-03
533 202.4834 47.2067 2.0376e+37 1.0626e+36 1.6878e+36 2.7003e+35 0.5172 0.2781 2.9108e-02 7.1701e-03 6.2167e-03 1.8793e-02
534 202.4834 47.2072 3.2419e+37 1.6849e+36 3.1616e+36 5.3494e+35 0.7751 0.2834 3.9130e-02 9.5122e-03 7.4797e-03 2.5096e-02
535 202.4834 47.2078 3.1849e+37 1.6554e+36 2.9323e+36 1.6014e+36 0.6841 0.8066 3.7861e-02 9.0650e-03 9.4099e-03 2.4364e-02
536 202.4834 47.2083 2.4538e+37 1.2776e+36 2.6302e+36 7.9628e+35 0.9244 0.6249 3.1765e-02 7.4899e-03 8.4092e-03 2.1116e-02
537 202.4834 47.2089 2.2605e+37 1.1776e+36 2.5022e+36 2.8516e+35 0.9752 0.1699 3.2186e-02 7.3250e-03 7.1223e-03 2.1813e-02
538 202.4834 47.2094 2.1408e+37 1.116e+36 2.0335e+36 3.1279e+35 0.7334 0.2607 3.4292e-02 7.2966e-03 8.2008e-03 2.3205e-02
539 202.4826 47.1789 1.0947e+37 5.7742e+35 8.731e+35 3.1679e+35 0.4574 1.3832 1.2687e-02 2.8612e-03 4.3732e-03 1.1064e-02
540 202.4826 47.1794 1.7714e+37 9.2537e+35 2.9086e+36 2.5939e+35 1.5981 0.1315 1.5383e-02 2.8169e-03 4.4615e-03 1.3318e-02
541 202.4826 47.18 1.0917e+37 5.759e+35 3.5619e+36 2.932e+35 2.6827 0.1063 1.1353e-02 1.7333e-03 3.5195e-03 9.8514e-03
542 202.4826 47.1928 6.9919e+36 3.7619e+35 8.7593e+35 8.6374e+35 1.1707 1.3893 1.0271e-02 5.8088e-03 5.7976e-03 1.1099e-02
543 202.4826 47.1933 8.5531e+36 4.5524e+35 1.1719e+36 8.5855e+35 1.3122 1.3235 7.9172e-03 4.7169e-03 4.5748e-03 9.4584e-03
544 202.4826 47.1939 1.0876e+37 5.7379e+35 1.9502e+36 8.9241e+35 1.7372 1.6008 6.3897e-03 3.7478e-03 3.5209e-03 8.1372e-03
545 202.4826 47.1944 2.1548e+37 1.1232e+36 4.0708e+36 1.3542e+36 1.8196 0.7149 7.1465e-03 3.7239e-03 3.6538e-03 9.1815e-03
546 202.4826 47.195 3.7308e+37 1.9379e+36 6.6553e+36 9.7363e+35 1.729 0.2607 8.5869e-03 3.6250e-03 3.3613e-03 1.0932e-02
547 202.4826 47.1956 9.3521e+37 4.8476e+36 1.8235e+37 1.4685e+36 1.8695 0.0963 1.6607e-02 5.5316e-03 4.7325e-03 2.0528e-02
548 202.4826 47.1961 7.5913e+37 3.9359e+36 2.1195e+37 2.018e+36 2.4367 0.1184 1.3748e-02 3.7582e-03 4.4663e-03 1.6921e-02
549 202.4826 47.1967 4.037e+37 2.0963e+36 7.6256e+36 1.332e+36 1.8194 0.4068 8.9972e-03 2.1552e-03 4.2835e-03 1.0968e-02
550 202.4826 47.1972 2.3021e+37 1.1992e+36 5.3087e+36 9.3505e+35 2.1346 0.3379 7.1790e-03 1.5881e-03 3.5680e-03 8.3401e-03
551 202.4826 47.1978 1.3147e+37 6.9016e+35 5.1467e+36 4.4994e+35 2.9706 0.1372 6.4044e-03 1.3049e-03 2.3156e-03 6.6314e-03
552 202.4826 47.1983 1.7638e+37 9.2134e+35 6.0556e+36 4.0453e+35 2.7633 0.079 9.5314e-03 1.7082e-03 2.4470e-03 8.3892e-03
553 202.4826 47.1989 2.3438e+37 1.2207e+36 6.2328e+36 4.235e+35 2.3597 0.076 1.3855e-02 2.1703e-03 3.2043e-03 1.0886e-02
554 202.4826 47.1994 1.2901e+37 6.7743e+35 4.7827e+36 3.1323e+35 2.8846 0.0712 1.1185e-02 1.6414e-03 2.9988e-03 8.4068e-03
555 202.4826 47.2 5.1681e+36 2.8493e+35 3.2059e+36 2.1304e+35 3.6978 0.0798 8.7264e-03 1.3284e-03 2.9267e-03 6.6701e-03
556 202.4826 47.2067 1.7242e+37 9.008e+35 1.8081e+36 2.2178e+35 0.8898 0.2241 2.3596e-02 5.3658e-03 4.0616e-03 1.4766e-02
557 202.4826 47.2072 3.9108e+37 2.0309e+36 4.9801e+36 6.5704e+35 1.1965 0.1803 4.1348e-02 8.9155e-03 6.0956e-03 2.5938e-02
558 202.4826 47.2078 3.997e+37 2.0755e+36 4.1222e+36 1.1115e+36 0.8634 0.4533 4.1195e-02 8.5485e-03 8.9850e-03 2.6561e-02
559 202.4826 47.2083 2.3153e+37 1.206e+36 1.809e+36 5.0558e+35 0.4248 0.6788 2.7209e-02 5.5578e-03 8.8320e-03 1.8655e-02
560 202.4826 47.2089 2.0127e+37 1.0498e+36 1.7729e+36 2.9496e+35 0.6143 0.3058 2.6396e-02 5.2844e-03 7.6810e-03 1.9019e-02
561 202.4826 47.2094 1.9897e+37 1.0379e+36 1.9155e+36 3.1698e+35 0.7547 0.2709 2.9153e-02 5.5688e-03 8.3819e-03 2.1675e-02
562 202.4826 47.21 1.8078e+37 9.4407e+35 1.3594e+36 2.9173e+35 0.3644 0.3611 3.0999e-02 5.5496e-03 9.4642e-03 2.3153e-02
563 202.4817 47.1789 1.0723e+37 5.6596e+35 8.9112e+35 2.4502e+35 0.5223 1.0583 1.3581e-02 3.4336e-03 4.0640e-03 1.1483e-02
564 202.4817 47.1794 2.4903e+37 1.2965e+36 3.5617e+36 2.7494e+35 1.3799 0.0864 2.1319e-02 4.4229e-03 5.3232e-03 1.7750e-02
565 202.4817 47.18 1.8153e+37 9.4799e+35 4.0776e+36 2.7813e+35 2.093 0.0718 1.6980e-02 2.9108e-03 4.7129e-03 1.4107e-02
566 202.4817 47.1922 1.0531e+37 5.561e+35 1.8041e+36 1.057e+36 1.665 0.9632 1.2514e-02 6.0821e-03 4.5805e-03 1.1731e-02
567 202.4817 47.1928 1.3319e+37 6.9904e+35 2.4216e+36 1.1207e+36 1.7592 1.8622 1.0422e-02 4.7971e-03 3.9350e-03 1.0211e-02
568 202.4818 47.1933 1.8262e+37 9.5356e+35 4.0042e+36 9.6488e+35 2.0549 0.4827 9.4706e-03 4.0949e-03 3.3475e-03 9.8586e-03
569 202.4818 47.1939 2.401e+37 1.2503e+36 5.5512e+36 9.7689e+35 2.1386 0.3264 8.7397e-03 3.5341e-03 3.0859e-03 9.7859e-03
570 202.4818 47.1944 3.1877e+37 1.6568e+36 7.843e+36 1.0862e+36 2.237 0.2311 8.5086e-03 3.0801e-03 3.1771e-03 1.0113e-02
571 202.4818 47.195 3.813e+37 1.9804e+36 8.3166e+36 8.0761e+35 2.0466 0.1581 8.2124e-03 2.4926e-03 3.2964e-03 1.0196e-02
572 202.4818 47.1956 7.0248e+37 3.6426e+36 1.1252e+37 1.0759e+36 1.5588 0.1539 1.2452e-02 3.0808e-03 4.8050e-03 1.5745e-02
573 202.4818 47.1961 6.2638e+37 3.2488e+36 9.9616e+36 1.373e+36 1.5476 0.2801 1.1438e-02 2.3831e-03 5.2314e-03 1.4840e-02
574 202.4818 47.1967 4.1613e+37 2.1606e+36 4.5627e+36 2.536e+36 0.9601 0.9467 9.1695e-03 1.7226e-03 6.2050e-03 1.2008e-02
575 202.4818 47.1972 2.8412e+37 1.4778e+36 4.4551e+36 2.6036e+36 1.5253 1.9945 8.3817e-03 1.5196e-03 6.5695e-03 1.0614e-02
576 202.4818 47.1978 1.6901e+37 8.8339e+35 4.1214e+36 1.3255e+36 2.2228 0.7301 7.5471e-03 1.3417e-03 4.0498e-03 8.6114e-03
577 202.4818 47.1983 1.2312e+37 6.4733e+35 5.1006e+36 8.3084e+35 3.0601 0.2659 7.9069e-03 1.3093e-03 2.8677e-03 7.7072e-03
578 202.4818 47.1989 9.9919e+36 5.285e+35 3.5928e+36 4.2919e+35 2.8363 0.2243 8.4872e-03 1.2667e-03 2.8466e-03 7.3657e-03
579 202.4818 47.1994 8.4838e+36 4.5162e+35 2.9295e+36 3.1486e+35 2.7724 0.1941 9.0072e-03 1.2774e-03 3.2084e-03 7.3946e-03
580 202.4818 47.2 6.9749e+36 3.7512e+35 2.9338e+36 2.0179e+35 3.0841 0.0937 9.3790e-03 1.3910e-03 3.3770e-03 7.6198e-03
581 202.4818 47.2006 1.1612e+37 6.1137e+35 3.3301e+36 2.0317e+35 2.479 0.0592 1.3457e-02 2.2542e-03 4.6273e-03 1.0833e-02
582 202.4818 47.2011 9.1673e+36 4.8635e+35 3.0337e+36 2.3131e+35 2.7052 0.0911 1.3827e-02 2.6898e-03 4.5760e-03 1.0876e-02
583 202.4818 47.2072 2.2531e+37 1.1739e+36 3.2051e+36 2.9794e+35 1.3714 0.1324 2.5447e-02 4.8411e-03 4.7721e-03 1.6424e-02
584 202.4818 47.2078 2.9338e+37 1.5255e+36 3.6601e+36 5.2827e+35 1.1641 0.2068 3.0214e-02 5.5115e-03 7.6544e-03 2.0251e-02
585 202.4818 47.2083 1.8372e+37 9.5924e+35 1.7888e+36 3.251e+35 0.7725 0.3353 2.1454e-02 3.9495e-03 8.1314e-03 1.5256e-02
586 202.4818 47.2089 1.5095e+37 7.9041e+35 1.2798e+36 2.9071e+35 0.5538 0.4482 1.9706e-02 3.7340e-03 7.4801e-03 1.4832e-02
587 202.4818 47.2094 1.6344e+37 8.5474e+35 1.2388e+36 2.952e+35 0.377 0.4838 2.2751e-02 4.3517e-03 7.9565e-03 1.8083e-02
588 202.4809 47.1728 1.094e+37 5.7705e+35 2.5114e+36 3.1664e+35 2.1274 0.188 5.8141e-02 1.2709e-02 7.4756e-03 2.6448e-02
589 202.4809 47.1789 8.3765e+36 4.4625e+35 9.4855e+35 2.6171e+35 1.0111 0.9212 1.2407e-02 3.1575e-03 3.8159e-03 1.0313e-02
590 202.4809 47.1794 1.6158e+37 8.4519e+35 3.0341e+36 2.0487e+35 1.81 0.097 1.6391e-02 3.4619e-03 4.1862e-03 1.3267e-02
591 202.4809 47.18 1.4266e+37 7.478e+35 3.6988e+36 2.4297e+35 2.3197 0.0887 1.5188e-02 2.6576e-03 4.3636e-03 1.2261e-02
592 202.4809 47.1917 1.0518e+37 5.5542e+35 1.5116e+36 8.6721e+35 1.3876 0.9131 1.2993e-02 5.7085e-03 4.4827e-03 1.1317e-02
593 202.4809 47.1922 1.895e+37 9.8887e+35 4.014e+36 1.1976e+36 2.0004 0.5541 1.3512e-02 5.2723e-03 3.9297e-03 1.1813e-02
594 202.4809 47.1928 1.8688e+37 9.7556e+35 5.3522e+36 1.3131e+36 2.4768 0.4382 1.0449e-02 3.5719e-03 2.9204e-03 9.3532e-03
595 202.4809 47.1933 2.7172e+37 1.4136e+36 7.8145e+36 1.0195e+36 2.4834 0.1957 1.0834e-02 3.3323e-03 3.1076e-03 1.0183e-02
596 202.4809 47.1939 3.594e+37 1.8671e+36 7.9137e+36 1.1323e+36 2.0616 0.2416 1.1024e-02 3.1577e-03 3.5395e-03 1.1312e-02
597 202.4809 47.1944 4.0085e+37 2.0814e+36 9.8026e+36 1.2302e+36 2.2273 0.1815 1.0171e-02 2.7039e-03 3.7919e-03 1.1532e-02
598 202.4809 47.195 3.788e+37 1.9674e+36 8.1179e+36 1.0688e+36 2.0188 0.2258 8.6109e-03 2.0305e-03 4.4496e-03 1.0638e-02
599 202.4809 47.1956 5.6462e+37 2.929e+36 6.2773e+36 1.4097e+36 0.9821 0.4918 1.1227e-02 2.2637e-03 7.3300e-03 1.4624e-02
600 202.4809 47.1961 5.9908e+37 3.1074e+36 7.1094e+36 1.5985e+36 1.0851 0.4391 1.2152e-02 2.1301e-03 8.2274e-03 1.6345e-02
601 202.4809 47.1967 3.2301e+37 1.6789e+36 4.9526e+36 1.4079e+36 1.4898 0.5889 8.3975e-03 1.3614e-03 6.7684e-03 1.1298e-02
602 202.4809 47.1972 1.8159e+37 9.4833e+35 3.2277e+36 1.4694e+36 1.7232 1.0367 6.9147e-03 1.1201e-03 6.4696e-03 8.8926e-03
603 202.4809 47.1978 1.5298e+37 8.0086e+35 2.7347e+36 1.1721e+36 1.7323 1.0881 7.8677e-03 1.3227e-03 5.7430e-03 9.1685e-03
604 202.4809 47.1983 1.2031e+37 6.3289e+35 3.1178e+36 9.981e+35 2.3188 0.658 8.4691e-03 1.4202e-03 4.4935e-03 8.6159e-03
605 202.4809 47.1989 9.1383e+36 4.849e+35 2.4336e+36 6.7498e+35 2.362 0.6081 8.5510e-03 1.3578e-03 3.9473e-03 7.8472e-03
606 202.4809 47.1994 1.2685e+37 6.6635e+35 2.5309e+36 5.4067e+35 1.9059 0.4207 1.0991e-02 1.6916e-03 4.3386e-03 9.5048e-03
607 202.4809 47.2 1.8753e+37 9.7877e+35 3.6724e+36 3.8208e+35 1.8764 0.1543 1.4857e-02 2.3711e-03 4.9386e-03 1.2423e-02
608 202.4809 47.2006 1.2684e+37 6.6628e+35 3.7614e+36 2.6268e+35 2.5319 0.0796 1.2973e-02 2.2577e-03 4.2343e-03 1.0630e-02
609 202.4809 47.2011 4.7185e+36 2.6285e+35 2.5684e+36 1.7746e+35 3.4913 0.1022 9.6628e-03 1.8577e-03 3.4020e-03 7.7545e-03
610 202.4809 47.2072 9.0505e+36 4.8022e+35 1.512e+36 2.9106e+35 1.6253 0.3792 1.4176e-02 2.5128e-03 4.3693e-03 9.4682e-03
611 202.4809 47.2078 1.4978e+37 7.8416e+35 1.7737e+36 2.8688e+35 1.0818 0.3045 1.8173e-02 3.1096e-03 5.7400e-03 1.2585e-02
612 202.481 47.2083 1.4567e+37 7.6317e+35 1.9694e+36 2.7239e+35 1.291 0.2257 1.7513e-02 3.1062e-03 5.5730e-03 1.2624e-02
613 202.481 47.2089 1.3971e+37 7.3257e+35 1.7656e+36 3.2751e+35 1.1844 0.3221 1.7232e-02 3.3108e-03 5.5451e-03 1.3034e-02
614 202.481 47.2094 1.4848e+37 7.777e+35 1.4163e+36 3.4269e+35 0.74 0.4382 1.8715e-02 3.8852e-03 6.9216e-03 1.5015e-02
615 202.481 47.21 1.3192e+37 6.9254e+35 8.7174e+35 3.3204e+35 0.1603 0.932 1.8726e-02 4.0831e-03 1.0143e-02 1.6216e-02
616 202.4801 47.1733 1.066e+37 5.6266e+35 1.3916e+36 1.8948e+35 1.2358 0.2652 5.7177e-02 1.0361e-02 7.9298e-03 2.6746e-02
617 202.4801 47.1789 1.486e+37 7.7833e+35 1.626e+36 3.1576e+35 0.9569 0.4102 1.8111e-02 4.3032e-03 5.1519e-03 1.4786e-02
618 202.4801 47.1794 1.8659e+37 9.7411e+35 4.6428e+36 3.6868e+35 2.2547 0.0899 1.9029e-02 3.7774e-03 4.5192e-03 1.5028e-02
619 202.4801 47.18 1.2797e+37 6.7223e+35 4.8931e+36 3.0745e+35 2.9335 0.0592 1.5006e-02 2.4887e-03 3.9412e-03 1.1867e-02
620 202.4801 47.1906 4.4934e+36 2.5196e+35 6.885e+35 7.5867e+35 1.4888 1.5499 1.3527e-02 5.6537e-03 4.9872e-03 1.0125e-02
621 202.4801 47.1911 7.4085e+36 3.9714e+35 1.1994e+36 1.022e+36 1.5757 1.8117 1.1837e-02 4.7030e-03 4.2541e-03 9.3673e-03
622 202.4801 47.1917 1.2829e+37 6.739e+35 2.3173e+36 1.0986e+36 1.7487 1.7155 1.1554e-02 4.0895e-03 3.5166e-03 9.3250e-03
623 202.4801 47.1922 2.1163e+37 1.1031e+36 4.6763e+36 1.1988e+36 2.0672 0.4959 1.2254e-02 3.6981e-03 3.1241e-03 9.8903e-03
624 202.4801 47.1928 2.6514e+37 1.3796e+36 6.7695e+36 1.0926e+36 2.2954 0.2885 1.1798e-02 3.0430e-03 2.8533e-03 9.7530e-03
625 202.4801 47.1933 2.9845e+37 1.5519e+36 7.8973e+36 1.0858e+36 2.3519 0.2314 1.1065e-02 2.5444e-03 3.1887e-03 9.6373e-03
626 202.4801 47.1939 2.3417e+37 1.2197e+36 5.9712e+36 9.877e+35 2.2933 0.3209 8.2862e-03 1.7964e-03 3.2821e-03 8.0315e-03
627 202.4801 47.1944 2.1638e+37 1.1278e+36 5.0521e+36 1.1806e+36 2.1542 0.5088 7.1202e-03 1.4976e-03 3.8332e-03 7.8832e-03
628 202.4801 47.195 2.5563e+37 1.3305e+36 4.5363e+36 1.7866e+36 1.7207 1.4468 7.4249e-03 1.4800e-03 5.5230e-03 9.2494e-03
629 202.4801 47.1956 5.4303e+37 2.8173e+36 5.6972e+36 2.0336e+36 0.8905 0.8352 1.2885e-02 2.3287e-03 9.2034e-03 1.7184e-02
630 202.4801 47.1961 8.851e+37 4.588e+36 9.3544e+36 2.1493e+36 0.9021 0.3775 2.0439e-02 3.3233e-03 1.0641e-02 2.7380e-02
631 202.4801 47.1967 5.1398e+37 2.6668e+36 7.9607e+36 1.3988e+36 1.5058 0.2761 1.4481e-02 2.2179e-03 7.2413e-03 1.8611e-02
632 202.4801 47.1972 2.449e+37 1.275e+36 4.4564e+36 1.1018e+36 1.7604 0.4422 9.9483e-03 1.5528e-03 5.5590e-03 1.1808e-02
633 202.4801 47.1978 1.6183e+37 8.4636e+35 3.5631e+36 1.1009e+36 2.0615 0.5937 9.3578e-03 1.5822e-03 5.5468e-03 1.0125e-02
634 202.4801 47.1983 1.1074e+37 5.8368e+35 3.0903e+36 1.0912e+36 2.4359 0.6903 8.9530e-03 1.6208e-03 5.2044e-03 8.7702e-03
635 202.4801 47.1989 1.0016e+37 5.2963e+35 2.3848e+36 8.1948e+35 2.185 0.7014 9.2869e-03 1.6938e-03 4.6142e-03 8.4407e-03
636 202.4801 47.1994 1.4055e+37 7.3682e+35 2.5587e+36 6.4837e+35 1.7611 0.4919 1.1382e-02 2.0408e-03 4.4602e-03 9.8200e-03
637 202.4801 47.2 2.2867e+37 1.1911e+36 3.273e+36 5.5271e+35 1.3812 0.3364 1.5718e-02 2.8268e-03 5.2867e-03 1.3060e-02
638 202.4801 47.2006 1.9131e+37 9.9837e+35 3.5084e+36 4.9625e+35 1.7726 0.2623 1.4804e-02 2.7375e-03 5.0103e-03 1.2202e-02
639 202.4801 47.2011 9.8052e+36 5.189e+35 2.6344e+36 3.6919e+35 2.376 0.2696 1.1248e-02 2.1797e-03 4.2887e-03 9.2994e-03
640 202.4801 47.2017 5.6741e+36 3.0995e+35 2.0117e+36 3.5164e+35 2.8141 0.3431 1.0045e-02 2.0695e-03 4.1270e-03 8.4300e-03
641 202.4801 47.2028 6.7035e+36 3.6135e+35 2.2497e+36 2.1605e+35 2.7273 0.1558 1.3082e-02 2.9326e-03 4.0833e-03 1.0373e-02
642 202.4801 47.2056 9.5199e+36 5.0429e+35 1.7055e+36 2.8198e+35 1.7358 0.2996 1.8374e-02 3.9284e-03 4.7066e-03 1.2242e-02
643 202.4801 47.2061 9.0672e+36 4.8127e+35 2.1074e+36 3.3239e+35 2.147 0.2545 1.6777e-02 3.4441e-03 4.2949e-03 1.0972e-02
644 202.4801 47.2067 7.7735e+36 4.1559e+35 1.414e+36 4.1248e+35 1.7597 0.6414 1.4396e-02 2.7374e-03 4.6079e-03 9.6110e-03
645 202.4801 47.2072 7.7428e+36 4.1386e+35 1.354e+36 4.1476e+35 1.6976 0.6075 1.3359e-02 2.3530e-03 4.9031e-03 9.1984e-03
646 202.4801 47.2078 1.0302e+37 5.4421e+35 1.7067e+36 3.4646e+35 1.6121 0.3779 1.4495e-02 2.4864e-03 4.2883e-03 1.0260e-02
647 202.4801 47.2083 1.3637e+37 7.1521e+35 2.7013e+36 3.6317e+35 1.8945 0.2161 1.6236e-02 2.9098e-03 3.8295e-03 1.1683e-02
648 202.4801 47.2089 1.336e+37 7.0105e+35 2.7238e+36 3.051e+35 1.94 0.1794 1.5352e-02 3.0361e-03 3.7018e-03 1.1390e-02
649 202.4801 47.2094 1.2807e+37 6.7276e+35 2.0851e+36 3.8329e+35 1.5846 0.3238 1.4662e-02 3.2470e-03 4.7475e-03 1.1378e-02
650 202.4801 47.21 1.2693e+37 6.669e+35 1.4149e+36 5.1299e+35 0.9862 0.8374 1.5037e-02 3.6567e-03 7.6001e-03 1.2435e-02
651 202.4793 47.1733 1.6188e+37 8.4672e+35 1.319e+36 2.2973e+35 0.4911 0.2958 8.0639e-02 1.3870e-02 1.2766e-02 4.0475e-02
652 202.4793 47.1789 1.5141e+37 7.9277e+35 2.0934e+36 2.6117e+35 1.3265 0.1853 1.9609e-02 4.2697e-03 5.3163e-03 1.5576e-02
653 202.4793 47.1794 1.0343e+37 5.4651e+35 2.6849e+36 1.9582e+35 2.3215 0.1115 1.4272e-02 2.6064e-03 3.6990e-03 1.1049e-02
654 202.4793 47.18 1.6992e+37 8.8813e+35 4.143e+36 2.5731e+35 2.2227 0.0572 1.9733e-02 3.0390e-03 5.1835e-03 1.5407e-02
655 202.4793 47.19 5.2378e+36 2.885e+35 6.0441e+35 7.3195e+35 1.0409 1.5141 1.4598e-02 5.6540e-03 4.3144e-03 1.0029e-02
656 202.4793 47.1906 7.6064e+36 4.0713e+35 2.0148e+36 1.0047e+36 2.3535 1.7121 1.2676e-02 4.5307e-03 3.4466e-03 9.0156e-03
657 202.4793 47.1911 8.6897e+36 4.6206e+35 2.7737e+36 1.0797e+36 2.6481 0.9135 1.0383e-02 3.3493e-03 2.9267e-03 7.6611e-03
658 202.4793 47.1917 1.5583e+37 8.1525e+35 4.4212e+36 1.2692e+36 2.4621 0.6056 1.1101e-02 3.1269e-03 3.0051e-03 8.3773e-03
659 202.4793 47.1922 2.6843e+37 1.3966e+36 6.8833e+36 1.3895e+36 2.3023 0.3512 1.3069e-02 3.1361e-03 3.3230e-03 1.0029e-02
660 202.4793 47.1928 3.3366e+37 1.7339e+36 7.5734e+36 1.3448e+36 2.1095 0.3018 1.3385e-02 2.7580e-03 3.4233e-03 1.0667e-02
661 202.4793 47.1933 2.753e+37 1.4322e+36 7.1317e+36 1.3501e+36 2.3183 0.3397 1.0651e-02 1.9736e-03 3.2843e-03 9.0319e-03
662 202.4793 47.1939 1.8343e+37 9.5771e+35 6.0241e+36 1.3922e+36 2.6931 0.4367 7.6806e-03 1.3677e-03 3.4866e-03 7.2921e-03
663 202.4793 47.1944 1.452e+37 7.6065e+35 4.1348e+36 1.7539e+36 2.4679 1.5408 6.4420e-03 1.1613e-03 4.4397e-03 6.9480e-03
664 202.4793 47.195 1.8688e+37 9.7553e+35 3.9727e+36 1.9406e+36 2.006 1.5112 7.2998e-03 1.3307e-03 5.7083e-03 8.6935e-03
665 202.4793 47.1956 3.9323e+37 2.042e+36 4.9063e+36 1.9174e+36 1.1643 0.9264 1.2325e-02 2.1609e-03 7.2950e-03 1.5118e-02
666 202.4793 47.1961 6.1576e+37 3.1937e+36 6.5185e+36 1.763e+36 0.9047 0.532 1.8623e-02 3.0212e-03 7.9178e-03 2.1759e-02
667 202.4793 47.1967 3.6516e+37 1.8967e+36 5.864e+36 1.3354e+36 1.5629 0.4393 1.3666e-02 2.0920e-03 5.3890e-03 1.4778e-02
668 202.4793 47.1972 1.8197e+37 9.4987e+35 3.7445e+36 1.1227e+36 1.9547 0.7079 9.9020e-03 1.5380e-03 4.2074e-03 9.7918e-03
669 202.4793 47.1978 1.2202e+37 6.4166e+35 3.4697e+36 1.122e+36 2.4656 0.6756 9.2286e-03 1.5760e-03 4.3925e-03 8.5325e-03
670 202.4793 47.1983 9.7887e+36 5.1798e+35 2.7413e+36 1.0645e+36 2.4414 0.9984 9.1190e-03 1.7489e-03 4.5509e-03 7.9135e-03
