ID RA Dec LHa E_LHa LPab E_Pab AHa E_AHa Ha/24um Ha/70um Ha/8um Ha/12um
38 202.5284 47.1939 2.7848e+37 1.4488e+36 2.4099e+36 2.2181e+35 0.5863 0.1201 7.0915e-02 9.1834e-03 1.1505e-02 3.7635e-02
39 202.5284 47.1944 1.2745e+37 6.6972e+35 1.0853e+36 1.646e+35 0.5609 0.3021 3.9035e-02 4.3577e-03 9.6144e-03 2.1800e-02
40 202.5284 47.2072 2.1878e+37 1.1403e+36 2.2642e+36 1.8383e+35 0.8689 0.0954 9.3457e-02 1.3724e-02 1.0783e-02 3.8225e-02
41 202.5284 47.2077 1.1907e+37 6.2671e+35 1.8988e+36 1.4302e+35 1.552 0.1008 6.0198e-02 7.6631e-03 7.3769e-03 2.4629e-02
42 202.5275 47.19 2.1985e+37 1.1458e+36 1.6202e+36 1.6109e+35 0.3326 0.1294 1.2573e-01 2.0047e-02 1.6130e-02 5.5149e-02
43 202.5267 47.1883 1.3721e+37 7.1987e+35 8.7184e+35 1.2771e+35 0.0982 0.2135 1.0727e-01 2.2039e-02 1.1735e-02 4.2396e-02
44 202.5234 47.1727 1.54e+37 8.0632e+35 1.2519e+36 1.9235e+35 0.4875 0.2201 7.8897e-02 1.4384e-02 8.5231e-03 3.5192e-02
45 202.5226 47.1728 1.3233e+37 6.9484e+35 9.0543e+35 1.4846e+35 0.2153 0.2807 6.3798e-02 1.2458e-02 9.1918e-03 3.0187e-02
46 202.5226 47.175 1.4226e+37 7.4581e+35 1.9366e+36 2.8464e+35 1.3021 0.2486 4.6631e-02 9.0071e-03 6.1772e-03 2.1341e-02
47 202.5226 47.1755 1.6459e+37 8.6081e+35 2.5435e+36 3.0698e+35 1.5022 0.1737 5.2518e-02 9.3065e-03 6.6644e-03 2.4591e-02
48 202.5218 47.1755 1.2185e+37 6.4098e+35 2.0816e+36 1.8047e+35 1.6607 0.1121 3.6538e-02 6.3899e-03 5.1239e-03 1.7788e-02
49 202.5219 47.2172 1.1133e+37 5.8698e+35 9.1302e+35 1.3241e+35 0.5014 0.2422 2.7141e-02 7.0834e-03 4.5893e-03 1.7147e-02
50 202.5219 47.2189 1.4624e+37 7.6628e+35 9.5791e+35 1.1313e+35 0.1464 0.2258 3.4489e-02 7.9182e-03 6.5805e-03 2.0698e-02
51 202.521 47.1766 1.4333e+37 7.5129e+35 2.0597e+36 2.2709e+35 1.3875 0.17 4.2620e-02 6.4297e-03 6.5237e-03 2.2723e-02
52 202.521 47.2172 1.7665e+37 9.2286e+35 1.7563e+36 1.6061e+35 0.8055 0.1463 3.2305e-02 7.5296e-03 4.7401e-03 1.9643e-02
53 202.521 47.2178 1.7742e+37 9.2684e+35 3.1149e+36 4.1522e+35 1.7038 0.1812 3.1644e-02 6.5359e-03 4.8612e-03 1.8756e-02
54 202.521 47.2183 1.7345e+37 9.0637e+35 2.1547e+36 2.4712e+35 1.1574 0.1955 3.2570e-02 6.1148e-03 5.7468e-03 1.9714e-02
55 202.521 47.2189 3.3149e+37 1.7228e+36 3.2142e+36 3.1483e+35 0.7659 0.1218 6.0108e-02 1.0709e-02 1.0302e-02 3.7116e-02
56 202.521 47.2194 1.8773e+37 9.8002e+35 2.1758e+36 2.0606e+35 1.0478 0.1189 4.3939e-02 7.6183e-03 8.4666e-03 2.7114e-02
57 202.5201 47.1766 1.6405e+37 8.5796e+35 2.908e+36 2.9899e+35 1.7191 0.1305 4.6557e-02 6.7038e-03 5.5934e-03 2.4582e-02
58 202.5202 47.2094 1.1672e+37 6.1462e+35 1.1482e+36 2.3717e+35 0.7887 0.3089 6.1505e-02 1.6624e-02 9.1654e-03 2.9423e-02
59 202.5202 47.2166 2.2613e+37 1.1782e+36 1.7508e+36 2.416e+35 0.4104 0.2657 3.9957e-02 9.1473e-03 6.9917e-03 2.4970e-02
60 202.5202 47.2172 2.747e+37 1.4291e+36 3.0617e+36 3.0323e+35 0.9861 0.1315 4.3314e-02 8.5401e-03 6.2193e-03 2.6494e-02
61 202.5202 47.2178 1.518e+37 7.9487e+35 1.7441e+36 2.966e+35 1.0339 0.3433 2.7739e-02 4.6727e-03 5.1257e-03 1.7021e-02
62 202.5202 47.2183 1.381e+37 7.244e+35 1.1647e+36 2.3381e+35 0.5455 0.3925 2.7842e-02 4.1841e-03 6.6251e-03 1.7933e-02
63 202.5202 47.2189 1.9333e+37 1.0089e+36 1.4228e+36 1.356e+35 0.3303 0.1418 4.0053e-02 5.6830e-03 9.7411e-03 2.6648e-02
64 202.5202 47.2194 1.1412e+37 6.0128e+35 7.2588e+35 1.1335e+35 0.0999 0.3111 3.2503e-02 4.5331e-03 8.7746e-03 2.1752e-02
65 202.5193 47.1733 1.7797e+37 9.2974e+35 2.2735e+36 2.0674e+35 1.2016 0.1238 6.2435e-02 1.0695e-02 7.4486e-03 3.0161e-02
66 202.5193 47.1766 1.1985e+37 6.3072e+35 1.5459e+36 1.2624e+35 1.2167 0.1098 3.8699e-02 5.4149e-03 5.2425e-03 2.0221e-02
67 202.5194 47.2094 1.1107e+37 5.8565e+35 1.3244e+36 1.8274e+35 1.0927 0.2109 4.9907e-02 1.3411e-02 7.9998e-03 2.4735e-02
68 202.5194 47.2155 1.2306e+37 6.4705e+35 9.5673e+35 1.9012e+35 0.417 0.3894 3.3306e-02 7.0913e-03 8.4664e-03 2.0995e-02
69 202.5194 47.2161 1.4921e+37 7.8144e+35 1.4612e+36 4.6526e+35 0.7815 0.6152 3.3355e-02 7.1847e-03 7.3285e-03 2.0848e-02
70 202.5194 47.2166 2.677e+37 1.393e+36 3.2203e+36 4.2331e+35 1.1066 0.1926 4.6774e-02 9.1145e-03 7.2349e-03 2.8891e-02
