   0.6000000E+01   0.5338720E+02   0.4151720E+02   0.3962514E+02   0.3914671E+02
   0.6100000E+01   0.5333937E+02   0.4146937E+02   0.3972192E+02   0.3928485E+02
   0.6200000E+01   0.5327534E+02   0.4140534E+02   0.3975347E+02   0.3935050E+02
   0.6300000E+01   0.5316020E+02   0.4129020E+02   0.3975605E+02   0.3939344E+02
   0.6400000E+01   0.5305969E+02   0.4118969E+02   0.3967903E+02   0.3932068E+02
   0.6500000E+01   0.5287807E+02   0.4100807E+02   0.3953064E+02   0.3916113E+02
   0.6600000E+01   0.5262804E+02   0.4075804E+02   0.3934556E+02   0.3897243E+02
   0.6700000E+01   0.5231000E+02   0.4044000E+02   0.3915809E+02   0.3880744E+02
   0.6800000E+01   0.5198998E+02   0.4011998E+02   0.3895641E+02   0.3863072E+02
   0.6900000E+01   0.5164218E+02   0.3977218E+02   0.3877522E+02   0.3846634E+02
   0.7000000E+01   0.5135983E+02   0.3948983E+02   0.3859189E+02   0.3828230E+02
   0.7100000E+01   0.5107289E+02   0.3920289E+02   0.3842438E+02   0.3811837E+02
   0.7200000E+01   0.5077703E+02   0.3890703E+02   0.3826393E+02   0.3797013E+02
   0.7300000E+01   0.5052980E+02   0.3865980E+02   0.3810939E+02   0.3782771E+02
   0.7400000E+01   0.5031351E+02   0.3844351E+02   0.3798233E+02   0.3770149E+02
   0.7500000E+01   0.5010395E+02   0.3823395E+02   0.3786098E+02   0.3758377E+02
   0.7600000E+01   0.4995540E+02   0.3808540E+02   0.3774097E+02   0.3746605E+02
   0.7700000E+01   0.4983671E+02   0.3796671E+02   0.3762085E+02   0.3734985E+02
   0.7800000E+01   0.4958802E+02   0.3771803E+02   0.3748373E+02   0.3721883E+02
   0.7900000E+01   0.4937600E+02   0.3750600E+02   0.3736449E+02   0.3710858E+02
   0.8000000E+01   0.4927406E+02   0.3740406E+02   0.3724396E+02   0.3699845E+02
   0.8100000E+01   0.4914976E+02   0.3727976E+02   0.3708555E+02   0.3685511E+02
   0.8200000E+01   0.4888253E+02   0.3701253E+02   0.3694631E+02   0.3673661E+02
   0.8300000E+01   0.4863992E+02   0.3676992E+02   0.3676093E+02   0.3657287E+02
   0.8400000E+01   0.4840798E+02   0.3653798E+02   0.3656880E+02   0.3640652E+02
   0.8500000E+01   0.4815935E+02   0.3628935E+02   0.3637472E+02   0.3625432E+02
   0.8600000E+01   0.4790456E+02   0.3603456E+02   0.3607848E+02   0.3603170E+02
   0.8700000E+01   0.4755548E+02   0.3568548E+02   0.3577870E+02   0.3585197E+02
   0.8800000E+01   0.4734866E+02   0.3547866E+02   0.3543097E+02   0.3565191E+02
   0.8900000E+01   0.4718850E+02   0.3531850E+02   0.3498567E+02   0.3546231E+02
   0.9000000E+01   0.4693432E+02   0.3506432E+02   0.3450142E+02   0.3524432E+02
   0.9100000E+01   0.4640617E+02   0.3453617E+02   0.3429315E+02   0.3504016E+02
   0.9200000E+01   0.4660925E+02   0.3473925E+02   0.3408633E+02   0.3480953E+02
   0.9300000E+01   0.4656355E+02   0.3469355E+02   0.3382020E+02   0.3457980E+02
   0.9400000E+01   0.4646435E+02   0.3459435E+02   0.3344093E+02   0.3432171E+02
   0.9500000E+01   0.4628325E+02   0.3441325E+02   0.3311062E+02   0.3408659E+02
   0.9600000E+01   0.4623913E+02   0.3436913E+02   0.3272213E+02   0.3382710E+02
   0.9700000E+01   0.4618156E+02   0.3431156E+02   0.3251565E+02   0.3357935E+02
   0.9800000E+01   0.4591464E+02   0.3404464E+02   0.3237653E+02   0.3340910E+02
   0.9900000E+01   0.4591525E+02   0.3404525E+02   0.3212000E+02   0.3322830E+02
   0.1000000E+02   0.4582011E+02   0.3395011E+02   0.3234868E+02   0.3300345E+02
   0.1010000E+02   0.4566982E+02   0.3379982E+02   0.3180871E+02   0.3279609E+02
   0.1020000E+02   0.4569487E+02   0.3382487E+02   0.3220499E+02   0.3261287E+02
   0.1030000E+02   0.4555275E+02   0.3368275E+02   0.3222785E+02   0.3252194E+02
   0.1040000E+02   0.4556175E+02   0.3369175E+02   0.3199255E+02   0.3201350E+02
   0.1050000E+02   0.4529090E+02   0.3342090E+02   0.3134409E+02   0.3157422E+02
   0.1060000E+02   0.4493048E+02   0.3306048E+02   0.3191756E+02   0.3258678E+02
   0.1070000E+02   0.4083298E+02   0.2896298E+02   0.3340470E+02   0.3321990E+02
   0.1080000E+02   0.4659976E+02   0.3472976E+02   0.3364028E+02   0.3330679E+02
   0.1090000E+02   0.4682607E+02   0.3495607E+02   0.3298351E+02   0.3271581E+02
   0.1100000E+02   0.4668437E+02   0.3481437E+02   0.3294453E+02   0.3277820E+02
