ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,Dist_to_center,H_old,L_Bol,F_Bol,Sigma_star,Sigma_g,Momentum,tau,Mass_new,Sigma_new,Mass_old,Mass_g,Mass_tot,L_Edd,F_Edd,tau_RP
1,202.5333,47.22,2.0722999999999998e+37,1.0825e+36,1.3358e+36,1.1488e+35,0.1209,0.1381,0.052421,0.015025,0.0065666,0.025442,87.10613087305876,921.4008676411848,1.0517518679970543,7315.020674588557,3.092349835860313e+21,1.2713677941611173e+39,0.0259924761867862,0.0768427979609113,0.0005039242621199056,0.36585492848760653,0.07811552595863622,4.605311462608816e+35,9.415328048605852e-06,1.9119253966294343e+35,1.5076724005376005e+36,2.1593960864614256e+36,7.476550098887447e+37,0.015524492606752168,0.2551380453552655
2,202.5333,47.2205,1.9726e+37,1.0317000000000001e+36,1.9419000000000002e+36,2.1371e+35,0.7899,0.1857,0.040538,0.011036,0.0053178,0.021216,87.11402641348127,926.8008413567638,1.3846352036274947,7300.079828665488,3.086033746748178e+21,1.2102012791401923e+39,0.024741957499423088,0.10116382364110965,0.0032923885413441976,0.9611195239178204,0.5103676919332237,4.383746267983473e+35,8.962349133175653e-06,2.5222083360967226e+35,9.850375758351124e+36,1.0540971218759143e+37,9.076306668387556e+38,0.1639080100717184,1.6669441027801841
3,202.5333,47.2211,1.621e+37,8.5108e+35,1.5476e+36,2.752e+35,0.7414,0.3206,0.028617,0.0078644,0.0056341,0.018041,87.12350106206446,933.2808098848112,1.1284776882541558,7283.070446464623,3.078843205176689e+21,9.94492686548845e+38,0.02033190363305527,0.08244851366037126,0.003090235301370538,0.9446095294475634,0.47903102519216617,3.602378941701921e+35,7.3648828677267214e-06,2.060400517499978e+35,9.245560940931159e+36,9.81183888685135e+36,8.06842072207117e+38,0.14434918864680982,1.5645934394242669
4,202.5325,47.2116,1.5544e+37,8.138799999999999e+35,1.733e+36,1.4290000000000002e+35,0.9865,0.1034,0.06332,0.01379,0.0078119,0.033182,92.84254691841704,830.6727631591646,0.9116391919560448,7557.11154554121,3.194691264320572e+21,9.536332091126e+38,0.01949655213277058,0.06660595132880576,0.00411183858214464,1.0213965881862583,0.6373942626815107,3.4543725027646305e+35,7.062291134851583e-06,1.6041335915308975e+35,1.2302058090408132e+37,1.2807908699837685e+37,1.2960251414604946e+39,0.22467092622970572,2.0818335958889125
5,202.5325,47.2122,1.2588e+37,6.6194999999999994e+35,1.4802000000000002e+36,1.2302e+35,1.0707,0.1215,0.050407,0.0099703,0.0065514,0.024992,92.85195519184016,837.1527307589515,0.8122033753719969,7525.662646390753,3.181396565309845e+21,7.722809338850623e+38,0.015788895924299797,0.05934099402934644,0.004462793279171075,1.0416839236668658,0.6917973006113465,2.7974550350489687e+35,5.7192563565048716e-06,1.4351371307934349e+35,1.3352066495083612e+37,1.3775325711667853e+37,1.4834317320905065e+39,0.2560983685775269,2.259522788766607
6,202.5325,47.2127,1.4427999999999998e+37,7.5649e+35,1.4014e+36,1.3301e+35,0.7687,0.1345,0.05612,0.010538,0.0084753,0.027624,92.85979541973865,842.552703801508,0.7476377127238737,7500.131402255805,3.170603494159098e+21,8.851659766518651e+38,0.01809677394310434,0.054623712007138406,0.0032040246508814848,0.9515302285043624,0.4966700149247615,3.206361713194035e+35,6.555245528412161e-06,1.325548637456094e+35,9.586003095891263e+36,1.0039194130956276e+37,8.497120319815323e+38,0.14712077026219306,1.6222052561173916
7,202.5325,47.22,2.5569e+37,1.3325e+36,2.2734e+36,1.7022e+35,0.629,0.087,0.053589,0.013939,0.0062082,0.02785,92.97426275499048,921.3923151794424,1.5113772570656423,7201.211709701969,3.0442382652246956e+21,1.5686726404915123e+39,0.03207072449065948,0.11042379644055131,0.0026217399575965317,0.8919868421983537,0.4064074923737153,5.682247202984356e+35,1.1617069095922549e-05,2.7908752583830578e+35,7.843887013549633e+36,8.691199259686374e+36,6.421055464474228e+38,0.11795122519495263,1.3273931391932343
8,202.5325,47.2205,2.3529999999999996e+37,1.2274e+36,3.7515000000000003e+36,3.4611e+35,1.5516,0.1124,0.038653,0.009558,0.0049543,0.022638,92.98210298393002,926.7922889365832,1.7921635904698126,7186.0342417204965,3.0378221465684185e+21,1.4435788349472128e+39,0.02951324444699509,0.13093852061248376,0.006467236435940825,1.11797285268487,1.0025148889778326,5.229116378670339e+35,1.0690665877705721e-05,3.316358544760565e+35,1.9349085993996204e+37,2.0203633486339295e+37,2.937557345850411e+39,0.5192872870869218,3.274377098207031
9,202.5325,47.2211,1.2189999999999999e+37,6.4402e+35,2.4065000000000003e+36,2.2078e+35,1.8891,0.1122,0.017813,0.0046321,0.0039533,0.012976,92.991511258826,933.2722575144294,1.2480014385861429,7168.754267406376,3.0305172149611067e+21,7.47863408330069e+38,0.015289691874580116,0.09118110526989028,0.007873972899675051,1.1504635783310702,1.2205793224851917,2.709006742711068e+35,5.538428263885794e-06,2.314965316824575e+35,2.3557848898722754e+37,2.4060246104676317e+37,4.139031697320349e+39,0.71767973193621,3.9866110957868663
10,202.5317,47.2116,1.8666e+37,9.7473e+35,1.7931e+36,2.1323e+35,0.7512,0.155,0.072927,0.014114,0.0094863,0.038677,98.71160803581222,830.6642701380376,0.9704272993609656,7448.823937503152,3.148913790566401e+21,1.1451696784158383e+39,0.023412419075546555,0.07090110100580113,0.0031310827601693392,0.9453837007305521,0.48536297022437985,4.148180464269467e+35,8.480746675446452e-06,1.7324016959723247e+35,9.36777094527581e+36,9.955829161299989e+36,8.288205644764729e+38,0.1451454113918537,1.5852746043910295
