tau,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
1e-07,8.734954664125238e-07,6.888267611029663e-07,3.190429539273947e-07,2.586529526680501e-07,1.6512400314587009e-07,1.2110339024856304e-07,9.988323773679453e-08,1.1115103867341437e-07,8.496092240926265e-08
1.01e-07,8.822304210766491e-07,6.957150287139961e-07,3.222333834666687e-07,2.612394821947306e-07,1.6677524317732877e-07,1.2231442415104868e-07,1.0088207011416248e-07,1.1226254906014853e-07,8.581053163335529e-08
1.03e-07,8.997003304048995e-07,7.094915639360554e-07,3.2861424254521654e-07,2.664125412480916e-07,1.700777232402462e-07,1.2473649195601993e-07,1.0287973486889837e-07,1.1448556983361681e-07,8.750975008154053e-08
1.04e-07,9.084352850690248e-07,7.163798315470851e-07,3.3180467208449053e-07,2.6899907077477214e-07,1.7172896327170486e-07,1.2594752585850557e-07,1.0387856724626632e-07,1.1559708022035097e-07,8.835935930563316e-08
1.06e-07,9.259051943972752e-07,7.301563667691444e-07,3.381855311630384e-07,2.741721298281331e-07,1.7503144333462226e-07,1.2836959366347681e-07,1.058762320010022e-07,1.1782010099381925e-07,9.00585777538184e-08
1.07e-07,9.346401490614004e-07,7.370446343801741e-07,3.413759607023124e-07,2.767586593548137e-07,1.76682683366081e-07,1.2958062756596248e-07,1.0687506437837016e-07,1.1893161138055341e-07,9.090818697791105e-08
1.09e-07,9.52110058389651e-07,7.508211696022333e-07,3.477568197808603e-07,2.819317184081746e-07,1.799851634289984e-07,1.3200269537093373e-07,1.0887272913310605e-07,1.2115463215402168e-07,9.260740542609629e-08
1.1e-07,9.608450130537763e-07,7.577094372132631e-07,3.509472493201342e-07,2.845182479348551e-07,1.816364034604571e-07,1.3321372927341936e-07,1.09871561510474e-07,1.2226614254075584e-07,9.345701465018892e-08
1.12e-07,9.783149223820266e-07,7.714859724353224e-07,3.573281083986821e-07,2.896913069882161e-07,1.849388835233745e-07,1.356357970783906e-07,1.1186922626520989e-07,1.244891633142241e-07,9.515623309837416e-08
1.13e-07,9.87049877046152e-07,7.783742400463521e-07,3.605185379379561e-07,2.922778365148966e-07,1.865901235548332e-07,1.3684683098087625e-07,1.1286805864257787e-07,1.256006737009583e-07,9.60058423224668e-08
1.15e-07,1.0045197863744024e-06,7.921507752684114e-07,3.6689939701650393e-07,2.974508955682576e-07,1.8989260361775059e-07,1.392688987858475e-07,1.148657233973137e-07,1.2782369447442656e-07,9.770506077065205e-08
1.16e-07,1.0132547410385277e-06,7.990390428794411e-07,3.700898265557779e-07,3.0003742509493816e-07,1.915438436492093e-07,1.4047993268833313e-07,1.158645557746817e-07,1.289352048611607e-07,9.855466999474468e-08
