time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra,Mass
6.0,1000000.0,1434444049.1652508,33236.638217759486,47058.406866456986,39.08337514429782,46351.22619249602,61309.239048050236,28.025148560369697,56028.40383910191,76708.70507549527,23.18466904269429,1000000.0007200831
6.1,1258925.411794166,1475206489.5686917,32750.21702146734,46430.01547729938,39.6638593004902,47436.91555350287,62094.97566051441,27.383736586644034,55862.47889578327,75773.53490585832,23.25353306328219,999063.8307200831
6.2,1584893.1924611141,1432733470.9646986,32508.64888669872,46127.17878915724,39.958597003749986,47784.574971764734,62323.9518430768,27.184504639155247,55693.24302187289,75300.799067127,23.324193915046976,995590.6407200831
6.3,1995262.3149688789,1324465620.4579816,32171.653843864533,45720.76034992463,40.37715954250616,48050.51157606053,62445.45092031568,27.03405140533781,55396.90158395099,74653.92529323157,23.44896488536342,989451.6607200832
6.4,2511886.4315095823,1139349383.4029644,31611.626637463305,45078.7496514246,41.092475717796184,47806.99296168036,62061.89811244118,27.171757090876056,54683.36092076634,73638.25693741687,23.754940774071862,978838.9424290252
6.5,3162277.6601683795,922443114.9891881,30649.50267689018,43978.44255964729,42.38241689250801,46843.12600765374,60931.035439221785,27.73085638622314,53354.57285164326,71989.33360969045,24.346554204678487,966652.4866
6.6,3981071.7055349695,647001255.7674546,30071.80886391545,43262.1004078483,43.19660336624213,46575.58693838001,60492.36513007554,27.89014772306768,52626.25564710517,70896.01329588598,24.68349655561053,951659.2431
6.7,5011872.336272725,460662481.7840297,29446.05172104935,42409.934034600374,44.11457306078889,46527.75970906462,60191.79387843798,27.91881681221214,51652.775330387936,69403.45669636263,25.148697077575672,934670.0541000001
6.8,6309573.44480193,330862499.9765223,27832.738602268488,40321.10822168236,46.671655943124684,44923.48758626357,58034.19590075146,28.915831557058368,49512.301532379504,66326.07292218153,26.23590420555373,919045.478
6.9,7943282.347242822,244533861.29090843,25599.864213588902,37424.4706696129,50.74245664594056,41747.27947369423,54150.73968491676,31.115800032395523,46321.56125569359,62106.20590890617,28.043096233945143,904473.525
7.0,10000000.0,166653100.23657706,24763.89493803887,36457.390322373736,52.45539941314546,40942.04805599867,53114.86072190686,31.727772832059767,45451.33998299999,60828.12877197744,28.580015473380115,889923.2797
7.1,12589254.117941663,115559909.18626659,23902.517540898585,35492.199401363134,54.34573984842124,39974.564241600965,51927.36031645913,32.495663796333496,44640.47347067742,59647.375814909086,29.09915372768755,876663.6306
7.2,15848931.924611142,81699349.62383555,23415.84429729343,35001.94049471683,55.47525784283369,39552.33997878323,51392.79403385437,32.842557499677966,44423.08246748506,59196.569395409264,29.241554791943745,863358.442
7.3,19952623.149688788,62434632.1927027,22146.392163906872,33417.48153816996,58.65515206206128,37713.04267961462,49145.97082096204,34.44431707713047,43153.687867445304,57298.46732070489,30.101714689834242,852415.16
7.4,25118864.315095823,48687082.48332785,22010.52488573483,33386.91645444113,59.01722047718592,37758.36900655504,49211.32296501184,34.40296904176362,43306.489125887885,57417.272638798604,29.99550474350228,846490.038
7.5,31622776.60168379,39089973.71209465,20628.059060716176,31664.11165664806,62.972478223789835,35546.47344070913,46565.15096354794,36.54370952344142,41924.4863417598,55403.91567790238,30.984279435431095,834736.0750000001
7.6,39810717.05534969,30989874.962456405,19526.908560605163,30335.058156881045,66.52358697580455,33839.4498946992,44521.24066169562,38.38714884675127,41008.96113056665,53984.11251488557,31.67600359014632,825949.784
7.7,50118723.36272725,25927817.548902906,17706.084720453888,27921.453483440713,73.36460999192037,30920.534462860418,40944.92912829512,42.010916776366464,38817.42461268425,50871.75401794907,33.46435300541628,815807.661
7.8,63095734.448019296,22044379.24965376,16024.86708411803,25625.209496101077,81.06151478082563,28117.812759389486,37499.88454591866,46.19847251690016,36646.67272449198,47830.90355853089,35.446601380862674,806231.797
7.9,79432823.47242822,17065855.388765164,15340.742399513627,24877.53455081863,84.6764756340074,27118.201020736462,36364.43878663274,47.901407582556615,36359.90887137102,47297.55881485887,35.726162147309545,795287.626
8.0,100000000.0,14964361.017094111,13638.38970768383,22519.864881633508,95.24584850865106,24366.276186727817,32961.460654965136,53.311387839704395,34121.290782207434,44154.838530750996,38.070072093443905,785413.592
8.1,125892541.17941661,12930751.439297087,11792.71166380259,19940.056774463614,110.1527822466181,21342.117917043935,29233.255148513075,60.86556193950232,31619.97728933852,40678.53131534268,41.0816234342455,776038.606
8.2,158489319.2461111,9895939.02503683,11173.296199176553,19175.77983411486,116.25933626423806,20318.854120993223,28059.82158109733,63.93077051810157,31184.0129824482,40005.083428972735,41.65596008221062,763698.658
8.3,199526231.49688828,8791939.296009421,9274.872465162825,16396.85077574268,140.05583417768273,17211.036254762297,24156.636177949287,75.47482794015767,28212.482924883392,35951.52768613783,46.04344833663268,754310.83
8.4,251188643.1509582,6119657.631405047,9229.448161178423,16516.105141212043,140.74514286389822,17146.23790947247,24239.64720150599,75.76005925371915,28859.052994072157,36744.88225292834,45.01187202043058,740364.618
8.5,316227766.01683795,5104910.7945101345,7869.030985118795,14531.22006687913,165.07750477238585,14937.175755078773,21473.260420365445,86.96423080904891,26792.168027780113,33916.66998875556,48.484318202733725,731285.806
