time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra,Mass
6.0,1000000.0,1434444049.1652508,119900.49626511688,144708.07510188792,10.8339835151952,190269.91470220618,217978.70179841339,6.827143440060301,214909.46180180172,253549.8847640841,6.044405812146097,1000000.0007200831
6.1,1258925.411794166,1475206489.5686917,114529.06967322908,138711.4891906644,11.342098593014576,191228.3934935039,217975.76746680785,6.792924294707979,207327.59844945063,243638.97609422923,6.26544661547659,999063.8307200831
6.2,1584893.1924611141,1432733470.9646986,112202.2520582586,136123.08221506356,11.577307729309409,191199.33207618576,217569.41126579873,6.7939567878950395,203826.22919846966,239218.85133753266,6.373075757267421,995590.6407200831
6.3,1995262.3149688789,1324465620.4579816,109386.85515507526,133008.2166140209,11.875284266637312,190450.11218891828,216366.19929930524,6.820683826699184,199590.11809121896,233923.74225337215,6.508338250525591,989451.6607200832
6.4,2511886.4315095823,1139349383.4029644,105930.082315702,129223.08324267932,12.262805537416725,187387.78299914283,212881.95261441957,6.932148826404238,194093.77110417446,227515.1978429213,6.692641358917168,978838.9424290252
6.5,3162277.6601683795,922443114.9891881,100951.1519853966,123724.21772404425,12.86760947698656,180950.31618272886,205969.84472655444,7.178766124333446,185893.76226676037,218362.43582348473,6.987862229265741,966652.4866
6.6,3981071.7055349695,647001255.7674546,97472.93134832206,119752.76886580198,13.326776798760568,178209.6362482119,202725.45283210374,7.289168124392228,180054.9040854054,211480.13711235506,7.214466090764435,951659.2431
6.7,5011872.336272725,460662481.7840297,93522.06481896261,115197.15964717831,13.889770317994666,176274.4556264133,200100.68977977056,7.369190251553131,172336.33057098335,202412.9889014851,7.53758650712919,934670.0541000001
6.8,6309573.44480193,330862499.9765223,85875.87260484375,106270.28389857848,15.126483849280048,166683.91183728594,189070.55404280746,7.79319363027706,159528.7368698993,187261.33500766786,8.14273356316596,919045.478
6.9,7943282.347242822,244533861.29090843,77118.7226153399,95905.41627450238,16.84415866791876,151015.79706760106,171691.07636446017,8.60174912309679,144372.63656397443,169788.42082970173,8.997549888370896,904473.525
7.0,10000000.0,166653100.23657706,72833.3612494679,91093.01223243268,17.835233438570572,145149.6615085466,165144.6588857579,8.949383598276688,138753.1446544178,162965.12663651354,9.361949981280231,889923.2797
