time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra,Mass
6.0,1000000.0,1434444049.1652508,30170.194400237106,54010.11434398639,43.05573848041865,33195.96473446322,57976.43381797914,39.13126219981222,46462.03169388321,79354.75804059388,27.958312468092416,1000000.0007200831
6.1,1258925.411794166,1475206489.5686917,30881.3065143325,54949.25735743583,42.064282461531015,34612.80390453387,59294.39944438846,37.5294646334574,48194.206182853835,80514.08618334992,26.95344737231398,999063.8307200831
6.2,1584893.1924611141,1432733470.9646986,31133.402206503502,55282.70641829094,41.72367643548606,35144.60746995951,59782.04921475591,36.961573723944525,48836.902983815,80930.74522672564,26.598738262139605,995590.6407200831
6.3,1995262.3149688789,1324465620.4579816,31389.420653559075,55628.466202670534,41.383369713537974,35724.67201489964,60296.78202833056,36.36142550051202,49530.04954323228,81351.36492794575,26.22650314262594,989451.6607200832
6.4,2511886.4315095823,1139349383.4029644,31459.80522251833,55740.106118418094,41.29078329671922,36095.74495044508,60567.37711694631,35.98762130504201,49941.16332925657,81506.69975990722,26.010607551046352,978838.9424290252
6.5,3162277.6601683795,922443114.9891881,31225.86988085735,55435.32840793599,41.60012210889076,36272.94676905738,60561.597627781215,35.811813367975695,50137.71265063607,81368.56766115458,25.908641047339845,966652.4866
6.6,3981071.7055349695,647001255.7674546,31125.62189017965,55206.46597360368,41.7341058945988,36559.44372385835,60683.87138040317,35.53117519543343,50549.35497869142,81369.7552488372,25.69765728064345,951659.2431
6.7,5011872.336272725,460662481.7840297,30945.041395856995,54693.77591925122,41.97764622069349,36567.64784242365,60356.92400249602,35.52320361423345,50639.46633245883,80795.29227090612,25.651929099564153,934670.0541000001
6.8,6309573.44480193,330862499.9765223,29951.87767905986,52850.536372686074,43.36956814257307,35983.40983451769,58886.86079875416,36.0999695685847,50254.62093852076,78986.3875185692,25.848369279098492,919045.478
6.9,7943282.347242822,244533861.29090843,28001.049481629205,49450.315104091984,46.391118334769615,34175.15207607768,55707.087042671534,38.010072262686116,48538.43505881256,75363.63830066014,26.762296691808068,904473.525
