time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra,Mass
6.0,1000000.0,1434444049.1652508,61055.292449822984,79042.75561559592,21.275796869985612,92857.51855025472,112402.52483965989,13.989174170069793,107238.09083607972,134241.7583439664,12.113233179296381,1000000.0007200831
6.1,1258925.411794166,1475206489.5686917,58829.09925674792,76604.72971834987,22.08090921689575,93545.32175295557,112654.03705299164,13.886317088421988,104196.01356225532,130089.24841055203,12.466887701263829,999063.8307200831
6.2,1584893.1924611141,1432733470.9646986,57853.847503480014,75538.44057679988,22.453130708754724,93630.77507725604,112567.03740399239,13.873643563541766,102761.4725490506,128216.62987045248,12.640924344286281,995590.6407200831
6.3,1995262.3149688789,1324465620.4579816,56664.84880411714,74246.03293022134,22.924264820514576,93405.32885969062,112131.88733850823,13.907129452445917,101011.37415658859,125960.4529075108,12.859937911410654,989451.6607200832
6.4,2511886.4315095823,1139349383.4029644,55158.63353302261,72618.53442007203,23.55025708209956,92114.09804854025,110638.01529421253,14.1020758767619,98650.24604487646,123162.58423412364,13.167731983243902,978838.9424290252
6.5,3162277.6601683795,922443114.9891881,52937.08923834572,70192.9417672154,24.538561123966204,89303.7063030042,107586.28073002561,14.545868853332252,95063.17137532047,119112.33771563484,13.664597774372545,966652.4866
6.6,3981071.7055349695,647001255.7674546,51401.54359434683,68449.88484295344,25.271614608532197,88178.91695024083,106212.96388754694,14.731412506835651,92590.12262310194,116113.3361770726,14.02957424829989,951659.2431
6.7,5011872.336272725,460662481.7840297,49608.36611276824,66314.572450091,26.18509944566915,87378.86986227489,105049.64280227276,14.866294357519866,89275.0583776753,112055.77652356493,14.550536550809316,934670.0541000001
6.8,6309573.44480193,330862499.9765223,46044.64664783103,62028.68840163957,28.211748695462955,83155.9931124432,100032.50972005975,15.621243296842085,83757.27470700671,105198.72358563977,15.509100607010701,919045.478
6.9,7943282.347242822,244533861.29090843,41791.34334536126,56764.71849170282,31.082992218391706,76071.18526991457,91937.50726794881,17.07611095306204,77079.43150938614,97057.30062544261,16.852744948460312,904473.525
