time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra
6.0,1000000.0,1609472694.8270438,14077.617073790598,18946.824382344566,92.2741393796291,20953.633691912055,26198.334610188198,61.99402066007311,24461.30194463019,31730.664441789737,53.104287046551086
6.1,1258925.411794166,2038048342.2118702,13978.606735856549,18838.340740232157,92.92771622710671,20987.308668366517,26212.053633514755,61.89454877356143,24327.02439306247,31545.377619134535,53.39740607036371
6.2,1584893.1924611141,2562058954.5266824,13860.261349383083,18708.752187201942,93.72117648112156,21017.85615488866,26219.605666556887,61.80459084062473,24161.96242109033,31321.58339041057,53.76218940172416
6.3,1995262.3149688789,3171898194.1881466,13723.206064642553,18559.077417586206,94.65718097368196,21032.3047815634,26208.107678568005,61.762132752026474,23967.356831667217,31061.86357615969,54.19871741066071
6.4,2511886.4315095823,3832335500.278723,13568.447629900174,18390.767222733728,95.73681790520033,20995.35648828817,26144.835296882247,61.8708237092626,23739.517387724765,30770.615499788473,54.71888829010851
6.5,3162277.6601683795,4505489249.975692,13386.117902705646,18192.3164224287,97.04083061583088,20878.596867143548,26001.518331437554,62.21682463940975,23461.011729703485,30431.78971543542,55.36845618449454
6.6,3981071.7055349695,5099890616.527303,13226.990991523156,18017.49418305097,98.20827736501039,20773.403388024104,25872.54343244054,62.53188154757902,23215.024728797667,30132.46717106295,55.95514177456906
6.7,5011872.336272725,5632682399.921681,13076.965205976025,17849.652842753472,99.33497409677068,20682.80322544297,25757.43786547799,62.805799863822806,22972.625661236525,29836.43632914894,56.545560753723606
6.8,6309573.44480193,6114432953.6875515,12904.178081570913,17652.029056045645,100.66507078472246,20544.40023156181,25587.082822019736,63.228908381777984,22698.57039723057,29498.90718731238,57.228273731216554
6.9,7943282.347242822,6562676124.096706,12704.423376664881,17418.726188352757,102.24785190849084,20331.429283050682,25333.731681016012,63.8912287924053,22384.142291534135,29111.966631354007,58.03215432968778
7.0,10000000.0,6947257344.12999,12531.206032399119,17217.937310304045,103.66121158980772,20140.947605647372,25108.818388392712,64.49547585515639,22119.061561614453,28785.09455888474,58.72762713650981
7.1,12589254.117941663,7282980941.073463,12376.593033617111,17040.15042201165,104.95618596100529,19963.093563102044,24900.765762873096,65.0700752312734,21890.621386788116,28502.746744393233,59.34048088666864
7.2,15848931.924611142,7581789666.420557,12240.6380745699,16885.218468404764,106.12191881554695,19804.366601184545,24716.05680579702,65.59159533647008,21697.005144120107,28262.293771125922,59.87001391996394
7.3,19952623.149688788,7869264766.089621,12100.934155771514,16725.106418274543,107.34708438855894,19630.302944909126,24514.335594683616,66.17320189329423,21504.46781520057,28020.90717348399,60.40605194990194
7.4,25118864.315095823,8151485181.223917,11969.60155108056,16576.210766894652,108.52491575901558,19466.364426567074,24325.370074418763,66.73048811452261,21327.875927481196,27799.33329566283,60.906205775804644
7.5,31622776.60168379,8436744640.070448,11827.870132891909,16414.42253125248,109.82535193615583,19277.42667115442,24108.368057949265,67.3845125783176,21142.96195229354,27565.384509812302,61.438884624161545
7.6,39810717.05534969,8721449250.188984,11681.462020795425,16247.038431117247,111.201833956016,19074.647007196996,23876.053574495698,68.10086705719264,20958.27618529651,27329.845544170694,61.980288288753755
7.7,50118723.36272725,9021324510.225477,11514.653914470533,16053.613872052443,112.81276968016721,18832.902252698295,23598.51706245032,68.97503011326282,20748.091207828165,27060.059297137155,62.60816896302697
7.8,63095734.448019296,9342300502.116339,11327.291725056302,15833.290939297163,114.67878037665206,18551.713340952727,23274.78168274012,70.02048684810529,20510.48544399798,26753.61254550454,63.333459539356184
7.9,79432823.47242822,9655126426.706957,11147.493843111733,15622.81449460841,116.52843394954454,18279.221494080073,22962.26498297399,71.06429562225587,20288.801294502897,26466.75682837502,64.02546809662701
8.0,100000000.0,10000455269.002893,10940.829489827154,15377.684515518406,118.72957175759092,17960.068733202526,22594.95084978776,72.32711741233801,20030.23117566366,26131.2739703855,64.85197243146449
8.1,125892541.17941661,10376118283.533775,10707.824601286682,15097.715776126804,121.31315634773364,17594.012359612934,22172.358532931514,73.83193631157468,19733.543557740315,25745.760627139236,65.82700143028687
8.2,158489319.2461111,10738054203.439934,10491.208459803098,14837.457684243593,123.81795719502651,17251.3971723072,21777.539197759404,75.29824900705546,19461.132137206896,25391.16109222282,66.74842916854246
8.3,199526231.49688828,11142871776.09797,10241.504338647048,14532.658740707147,126.83683539518024,16852.44782461669,21315.35968417088,77.08079048923243,19135.927886522615,24968.13560815353,67.88278089796118
8.4,251188643.1509582,11497604947.42865,10036.42452927903,14283.974622604861,129.42856255337318,16524.18652265326,20936.869325259326,78.61203928067387,18876.2758256485,24629.836664345996,68.81654050821608
8.5,316227766.01683795,11870136303.276356,9819.371174501437,14018.025398344755,132.2895302474351,16174.910727316339,20532.723636322407,80.30956225348662,18595.19611193409,24263.79536333516,69.85675182884053
