time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra,Mass
6.0,1000000.0,1434444049.1652508,64493.00732950771,83217.75163061483,20.141718517840985,98269.03296111456,118632.37246522668,13.218813301175146,113378.48975121327,141510.05322910825,11.457199710901063,1000000.0007200831
6.1,1258925.411794166,1475206489.5686917,62122.008997484336,80620.04590411,20.910463472818524,98991.69073477045,118891.64359249928,13.122313502861823,110135.05948483931,137088.44412026575,11.794609328547324,999063.8307200831
6.2,1584893.1924611141,1432733470.9646986,61083.68419178322,79484.36958651582,21.26590786373585,99079.4154532812,118796.23355795162,13.110695032436036,108606.65702125168,135095.22317436812,11.960592799995835,995590.6407200831
6.3,1995262.3149688789,1324465620.4579816,59818.06941306809,78108.11736453988,21.715846277650265,98836.48080661581,118330.64213321792,13.142920401441984,106742.56504911947,132694.12127318312,12.169465849000744,989451.6607200832
6.4,2511886.4315095823,1139349383.4029644,58216.28948339845,76376.76064639221,22.313342391401225,97462.25125483108,116741.4003524601,13.328237171574777,104230.88477426299,129718.83377763734,12.462716811943949,978838.9424290252
6.5,3162277.6601683795,922443114.9891881,55854.97443484997,73797.58312701923,23.2566573191287,94474.46072405498,113497.73091105509,13.749747710062875,100417.17002631366,125413.31614572709,12.93603474046924,966652.4866
6.6,3981071.7055349695,647001255.7674546,54221.42656023292,71942.22995621164,23.957318765063857,93275.42123110531,112034.98163965253,13.926498351387899,97783.99966113637,122222.4099442408,13.28438194900591,951659.2431
6.7,5011872.336272725,460662481.7840297,52314.70777551278,69670.98761121205,24.830493282579887,92416.43446402079,110790.7695044315,14.055941538252286,94250.64965555193,117903.38989313845,13.782398368046485,934670.0541000001
6.8,6309573.44480193,330862499.9765223,48527.07112552692,65113.45684030222,26.76856381131729,87913.04894977706,105445.62825225262,14.775963472067636,88366.46183874714,110602.39255414729,14.700147238784332,919045.478
6.9,7943282.347242822,244533861.29090843,44010.106475441,59520.51129089197,29.515947677265494,80363.42399482954,96826.03713559614,16.164069864464405,81243.36093962444,101933.32217241407,15.988998792964075,904473.525
7.0,10000000.0,166653100.23657706,41997.651153544444,57295.679527358894,30.930301203055954,77700.58500780734,93808.29945486352,16.718020847197955,78739.74847027719,98803.50466085607,16.497385694473593,889923.2797
7.1,12589254.117941663,115559909.18626659,40017.84015378272,55146.865075416834,32.46052248217626,74698.86311725265,90466.79974761241,17.38982289410479,76584.2932217614,96076.42187416535,16.961702528722817,876663.6306
7.2,15848931.924611142,81699349.62383555,38776.767079375815,53900.02774312514,33.49944045982365,73005.66777318173,88595.40202167742,17.79313907566477,75675.31539276663,94800.09317555538,17.165438865474012,863358.442
7.3,19952623.149688788,62434632.1927027,36221.60683905965,50830.30169925714,35.86257246321885,68548.72266304506,83510.51354861971,18.9500248806284,72858.64352448609,91023.06004694913,17.82904453283482,852415.16
7.4,25118864.315095823,48687082.48332785,35691.001992695856,50473.87388949471,36.39572798392826,67882.95126292866,82866.71478465716,19.13587986133114,72794.28522300937,90892.77609543545,17.844807405147815,846490.038
7.5,31622776.60168379,39089973.71209465,33041.86570273873,47268.18209139648,39.31376066008071,62822.981545448616,77141.26747434183,20.677146611710118,70002.17692767514,87138.83457704604,18.55656576712037,834736.0750000001
7.6,39810717.05534969,30989874.962456405,30871.823020061347,44725.57471703024,42.077204159789154,58786.61194830116,72587.85192530234,22.096867925342973,68088.94915914217,84454.22404469566,19.077985723702213,825949.784
7.7,50118723.36272725,25927817.548902906,27464.282454508506,40353.16118661772,47.29779495064716,52423.58903798696,65227.2908369299,24.778921547296658,63684.19051239021,78664.17699578895,20.39752707145222,815807.661
7.8,63095734.448019296,22044379.24965376,24443.446686852552,36333.56002365408,53.143078250854686,46579.44530236884,58412.99609933309,27.887837469243934,59494.60258834338,73174.69308555426,21.83391338854845,806231.797
7.9,79432823.47242822,17065855.388765164,23033.210521144392,34817.440999180035,56.39682747689574,44120.59186223064,55735.29409768496,29.442034777235317,58691.62577952941,71980.51244059659,22.132629361462808,795287.626
8.0,100000000.0,14964361.017094111,19939.46376601785,30658.462665534887,65.14718827162451,38518.62586633251,49147.931267464126,33.72394447579192,54173.80612311681,66110.5947845853,23.9783779830396,785413.592
8.1,125892541.17941661,12930751.439297087,16627.493638209693,26150.756790371484,78.12362032813655,32500.674616901917,42063.05491582653,39.96840112741714,49153.069234454015,59631.2002761694,26.427647758961538,776038.606
8.2,158489319.2461111,9895939.02503683,15507.558319402877,24794.88297850417,83.76560469707898,30442.56618493287,39768.09268676515,42.67051575444787,48217.27050598926,58327.743766669366,26.94055441895339,763698.658
8.3,199526231.49688828,8791939.296009421,12155.519212320189,20009.0277274604,106.865036146165,24504.29422856109,32630.931242013114,53.01111665913416,42260.584661816916,50763.51136773395,30.73786154155284,754310.83
8.4,251188643.1509582,6119657.631405047,12050.095546450919,20171.573912243628,107.79997511161568,24346.899205672777,32679.88276083035,53.35381680544091,43401.7450139954,52101.08067746345,29.929672172884345,740364.618
8.5,316227766.01683795,5104910.7945101345,9654.258831442956,16758.867527816034,134.5520171646203,20162.48403638031,27654.373814326485,64.42658541755772,39228.10573669257,46795.42014952495,33.11401291510647,731285.806
8.6,398107170.5534969,4283220.098237604,8376.294460073235,14941.454678997501,155.08050799692668,18002.612316901115,25078.212227711378,72.15619473072138,36952.9575947863,43941.00575144548,35.15280195551319,721524.057
8.7,501187233.6272715,4583161.471078047,6626.773287470235,11950.604406076638,196.02300299847624,14728.05251512299,20854.06592213037,88.19903369207618,31983.80665702597,37812.68716068691,40.61430254158459,713204.968
8.8,630957344.4801943,4251490.355791582,5843.368921177182,10615.146679745914,222.30326674946764,13281.358640809678,19004.8466223685,97.80625876697268,29659.727343579958,34979.39812147179,43.79676134417254,702884.996
8.9,794328234.7242821,3713666.9621227575,5245.560858390614,9575.510049697714,247.6379619010931,12148.860663131341,17537.51024060952,106.92360674957199,27850.857537359174,32758.216556905707,46.641292759388826,692278.897
9.0,1000000000.0,2702732.541334153,5269.979783054859,9678.149314446002,246.49050916225835,12220.052410971577,17688.42520307396,106.30068974448209,28062.84955465246,33039.14562614622,46.288955705306925,680556.602
9.1,1258925411.794166,1794225.2025123374,5569.342725236691,10361.703408278794,233.24116760022054,12859.972937992632,18659.584769236502,101.01109903290096,29397.58203464127,34717.0666908617,44.18730759792746,670928.045
9.2,1584893192.4611108,1309272.7746401157,5678.175654220481,10636.411592012768,228.77066140679847,13111.70653172454,19059.268206923673,99.07177199680252,29945.30815014864,35413.07178665595,43.379082742668395,658894.8150000001
9.3,1995262314.9688828,1282762.51518676,4964.79986058226,9174.852766002034,261.64196674136554,11650.535474866061,16982.982356193017,111.49702112854463,27137.909825143837,31928.682366878114,47.866619366405644,635485.6329999999
9.4,2511886431.509582,980513.0575087434,4976.810927162369,9220.958393644523,261.0105183844409,11690.0368513263,17057.339586115944,111.12026561769316,27234.24916683964,32057.603297413214,47.69729438994997,620659.008
9.5,3162277660.1683793,796968.43837443,4782.775273599135,8836.250830676256,271.5996311117658,11306.202295232806,16521.067583462114,114.89269040831824,26496.59526595028,31149.02853036437,49.02516670393849,605568.1460000001
9.6,3981071705.5349693,629625.9209014348,4695.727982786139,8662.940475815614,276.63442276936536,11140.593664103919,16288.865821702413,116.60060847434953,26158.655301556788,30735.795991256407,49.6585158917818,589950.118
9.7,5011872336.272715,487790.7689515977,4632.116683825026,8530.52195755332,280.43335016494774,11010.550635828506,16105.700482538221,117.97775088314235,25890.38277307658,30408.808990264526,50.17307049437797,574060.067
9.8,6309573444.801943,370412.9201302148,4643.18984063851,8561.562574606809,279.7645680197662,11044.842583280848,16158.840749337758,117.61145441460286,25956.094438304182,30493.26650077128,50.046049997530716,559663.276
9.9,7943282347.242822,326096.6791235224,4571.005162696105,8421.551161969059,284.1825711773675,10912.454233711267,15971.186827912388,119.03829992588359,25701.224062642454,30175.81233266243,50.54233980583585,548114.104
10.0,10000000000.0,190318.2043735069,4826.266734201167,8935.315844845356,269.1521359138074,11412.528048719958,16690.030741141258,113.82228323598271,26652.191304296317,31368.60410244942,48.7389567772839,535231.976
10.1,12589254117.941662,210641.50141643427,4445.117448418414,8160.438301632115,292.2307486975823,10660.802370021602,15610.34762216382,121.84823945829959,25199.227174004373,29554.92077620058,51.54919994292737,530787.43
10.2,15848931924.611109,135597.10806609972,4660.865089665781,8607.880768586421,278.70362583121835,11098.735658100632,16244.947568725058,117.04035847109297,26048.98175679751,30619.547019183232,49.86759222022275,519055.858
10.3,19952623149.688828,159333.41768859004,4227.299767051685,7720.090577711857,307.28835700856456,10233.648906940789,14997.155758398425,126.93419637632638,24379.133796660175,28529.0268817089,53.283271293993096,516964.459
10.4,25118864315.09582,100865.96547161655,5008.808418521981,9239.341006787055,259.34311945261305,11803.823381391905,17171.82646249477,110.04908816644985,27153.079729869347,31981.30332676049,47.839877204465104,503314.964
10.5,31622776601.683792,127989.13797961856,6846.190871687178,10833.304463636427,189.74054687433423,14707.257438592282,19987.42036523194,88.32374121577455,27193.86421789475,32192.384552314645,47.76812848632235,499257.139
10.6,39810717055.34969,52651.73722443466,9829.66592722283,14599.251327509332,132.15098148986695,18219.846725214193,24330.921551926636,71.29587968499932,32291.861966492615,38621.477989724655,40.22685348240051,470978.487
10.7,50118723362.72715,49946.35217631395,9742.626785689956,14422.684071923259,133.3315981997772,17946.447756985617,23992.23473019883,72.38201217254077,32049.976896657394,38304.5396555478,40.53045043335047,468470.1
10.8,63095734448.019424,48305.51710582991,9066.751117475158,13672.210947836304,143.270724338768,17308.551957147003,23241.20517721981,75.04960572184783,31189.648378916878,37217.16653611411,41.64843361549658,467357.978
10.9,79432823472.42822,80943.71585616111,5284.109103215974,8782.48107759374,245.83141162043998,11579.032684329011,16418.479728637943,112.18553703178144,25205.076304066235,29604.69872129184,51.537237353669006,483675.463
11.0,100000000000.0,13074.10881701094,11038.22832224815,16066.26166302562,117.68192884557342,20105.5455398649,26474.432421178586,64.60904019860426,33986.227078425654,40735.54408465954,38.2213652901943,1078378.18
