time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra
6.0,1000000.0,1609472694.8270438,75872.92476552493,96784.59343706642,17.12073185545944,116371.49639015805,139181.17907325042,11.162527253622745,133805.87355030395,165320.0267789265,9.70809401361327
6.1,1258925.411794166,2038048342.2118702,75268.5382434491,96121.1752562068,17.25820681940846,116545.87833975995,139238.57168370442,11.145825305062226,132975.66705362298,164194.03380711918,9.768704521528536
6.2,1584893.1924611141,2562058954.5266824,74547.24634683224,95329.96522223603,17.42519091793655,116698.38360942129,139256.28371829833,11.13125957551934,131958.54299808838,162836.21787482264,9.844000778477964
6.3,1995262.3149688789,3171898194.1881466,73713.58089262123,94417.70721556072,17.62226151911215,116753.22949224504,139159.02736379817,11.126030565914942,130763.37517774595,161263.00251299294,9.933974235784877
6.4,2511886.4315095823,3832335500.278723,72777.36123302649,93397.12882954211,17.848957120617772,116506.63676974025,138758.05658376205,11.149579423250362,129375.81201856172,159506.24077096052,10.040516691123305
6.5,3162277.6601683795,4505489249.975692,71681.28425225009,92200.56522459105,18.12188514129787,115792.28865979315,137887.47549459178,11.218363632284394,127694.10223625536,157471.76233840577,10.172748601941173
6.6,3981071.7055349695,5099890616.527303,70724.38319075924,91145.24938880042,18.367074287467602,115148.31142200285,137103.1547473391,11.281103334979376,126206.67577015904,155672.93549068383,10.292640956375957
6.7,5011872.336272725,5632682399.921681,69821.64034583652,90130.97787833982,18.604547151368376,114585.72463685782,136396.50808666216,11.33649068517704,124734.49953299116,153890.0118254577,10.414119628999883
6.8,6309573.44480193,6114432953.6875515,68783.03764819379,88935.99483158029,18.88547008702968,113730.41001294037,135353.7435209088,11.421747269285307,123060.52146403163,151850.55329101393,10.55578169624183
6.9,7943282.347242822,6562676124.096706,67585.26184142934,87526.67314874283,19.220166713976113,112422.93962662917,133809.96303602244,11.554581336461611,121132.00997113217,149507.18755119786,10.723837574474112
7.0,10000000.0,6947257344.12999,66546.4599826854,86313.31819167733,19.52019687204976,111257.61942295852,132442.81885922918,11.675604841603732,119507.8645071727,147528.35955302097,10.869577540832351
7.1,12589254.117941663,7282980941.073463,65619.05317328458,85238.27946558414,19.796079601600535,110174.13412720697,131181.94111700112,11.790426222003937,118110.00376681844,145819.79849052549,10.998221645683651
7.2,15848931.924611142,7581789666.420557,64803.15437710074,84300.84133291265,20.045320516975064,109210.27726514246,130064.98743351905,11.894484956267137,116926.74923235406,144365.3848062526,11.109519494283195
7.3,19952623.149688788,7869264766.089621,63964.06575086333,83329.9665905602,20.308277542261564,108155.06348895628,128846.21815290592,12.010533377687313,115747.39464928707,142902.94724899705,11.222714808708664
7.4,25118864.315095823,8151485181.223917,63174.97107181026,82427.07707619011,20.56194055907745,107164.35827602376,127706.96766915721,12.121567477259177,114668.44564329648,141562.13679103786,11.328312620900512
7.5,31622776.60168379,8436744640.070448,62323.24895126516,81444.70624765189,20.842944195925625,106023.48727189128,126399.38390320782,12.252002206537382,113535.73639330127,140144.0726322642,11.441331524905161
7.6,39810717.05534969,8721449250.188984,61443.41457050037,80427.84991272925,21.141403176894134,104800.13189860164,125000.48460609688,12.395022567880304,112402.68861650358,138714.90954565685,11.556663065524516
7.7,50118723.36272725,9021324510.225477,60441.436296336564,79252.78262205073,21.49187841319936,103338.73089442354,123326.83052020316,12.570311138493938,111107.23883161189,137074.08838431412,11.691407451576527
7.8,63095734.448019296,9342300502.116339,59316.855515154624,77915.31135594271,21.899340224940342,101634.9034380152,121371.3759943895,12.78104230002275,109636.24879995488,135206.3559831438,11.848271116701454
7.9,79432823.47242822,9655126426.706957,58236.83264709865,76635.75694072641,22.30547131351787,99987.43533754899,119486.35963969295,12.99163235475225,108265.00956058789,133458.1448587576,11.998336353289158
8.0,100000000.0,10000455269.002893,56995.82818817707,75145.68815260418,22.791141760607985,98053.49585553329,117267.10231840955,13.247870345325333,106659.57671988658,131409.89644944613,12.178934512476859
8.1,125892541.17941661,10376118283.533775,55596.662716127874,73442.92927617976,23.364711774744293,95830.97234209569,114710.01063126182,13.55511655838003,104811.45329355422,129052.34965633819,12.393683697541926
8.2,158489319.2461111,10738054203.439934,54295.22504948787,71858.48401078163,23.92475579235586,93752.94430550275,112322.33254828841,13.855564853164363,103114.433337572,126883.30093598856,12.597654450055353
8.3,199526231.49688828,11142871776.09797,52795.35815957413,70002.66113275263,24.60443579289241,91325.57727502497,109520.87886494002,14.223835630275733,101081.39900429586,124291.5385287313,12.85102909927863
8.4,251188643.1509582,11497604947.42865,51562.258618913016,68485.95987344865,25.19284520875366,89333.98045278271,107230.69685719696,14.540939443379932,99460.78387061751,122219.6943258163,13.060423912300854
8.5,316227766.01683795,11870136303.276356,50257.36872286926,66863.8586170926,25.846956038685313,87210.46199445448,104781.57755192771,14.895001933169445,97702.34949159772,119975.56188032753,13.295483749975862
8.6,398107170.5534969,12263636602.841276,48915.88695071518,65186.700987707285,26.5557895599194,85022.83619853201,102255.81696602402,15.278248269285896,95871.30553917954,117641.87176378192,13.54941390121302
8.7,501187233.6272715,12793714668.739622,47155.74405447118,62948.41882325913,27.547015237411618,82121.44516617518,98885.46916038284,15.8180362921212,93329.82011980128,114418.38672066704,13.918381052621339
8.8,630957344.4801943,13412750622.762268,45233.93651380003,60485.46868904288,28.71737682179616,78940.8567576331,95182.31850662784,16.45535725547335,90484.28517796448,110817.9327708457,14.356084014424459
8.9,794328234.7242821,14093484916.22903,43282.24929328842,57969.13698429522,30.012303454881444,75698.29330480818,91399.03793164897,17.160228365643885,87536.39327672613,107094.12000922099,14.839542176400974
9.0,1000000000.0,14717187791.659737,41652.887817293486,55870.85821819365,31.186313076249178,72994.55646139907,88247.81555457044,17.795847566892693,85085.99034103593,103998.7000885107,15.266908157188226
9.1,1258925411.794166,15238444465.324257,40403.38739410282,54271.170005526,32.150769620608564,70931.86056218602,85852.68423159207,18.31335016034389,83248.09808441602,101674.5333509554,15.603960089067447
9.2,1584893192.4611108,15717300332.25973,39331.3433309024,52901.96237839631,33.02709467793294,69166.91936294873,83807.12578345991,18.780654277568523,81687.59438188234,99700.28668279159,15.90204742628714
9.3,1995262314.9688828,16307937722.045076,38068.52704340366,51269.29187807226,34.12267562963366,67067.12812692895,81357.43408089581,19.368654007989683,79764.09357965537,97273.57865765491,16.285523243648104
9.4,2511886431.509582,16876303678.722551,36936.77886837323,49806.5385266837,35.168199279885144,65186.834346847114,79164.96420460127,19.927336754662157,78044.18093014708,95103.6825084086,16.64441838607623
9.5,3162277660.1683793,17457892162.569798,35847.86391543217,48394.2580593894,36.23646873533216,63373.60113459371,77047.32610226065,20.497493857752637,76369.94288394767,92993.07169518655,17.009309565334753
9.6,3981071705.5349693,18036330773.722416,34831.30131563782,47073.42839867748,37.29404159289341,61679.47689023485,75067.41416047471,21.060489898636913,74798.49273311665,91012.80437668077,17.366660109514136
9.7,5011872336.272715,18600498519.067215,33898.56427603166,45859.74186180945,38.32020699822003,60123.68522662439,73248.1064727843,21.60546205881551,73349.93577619574,89188.02863631208,17.709626958140632
9.8,6309573444.801943,19139836248.20674,33058.448820286794,44766.791710776,39.29403968896599,58723.24361657413,71610.92905572968,22.120712685451327,72047.21328773467,87546.86578830681,18.02984377497279
9.9,7943282347.242822,19737588267.2465,32178.548497808875,43620.52087993744,40.368508234249674,57255.50970926467,69893.97007716892,22.687772872796646,70677.05158432374,85821.11384483303,18.3793745053185
10.0,10000000000.0,20176780860.295193,31571.10677444852,42833.00166644478,41.145215759471604,56245.99953290307,68716.43246915685,23.09497583450543,69747.53285674752,84649.39409566969,18.624314678885906
10.1,12589254117.941662,20788734634.048275,30755.624540220208,41767.45356249714,42.2361769406195,54882.997938947774,67119.68370470661,23.668532128019255,68465.23108330694,83035.22668851033,18.97313394618367
10.2,15848931924.611109,21284670026.539597,30134.296772294212,40959.201067988986,43.107028838791884,53848.48929567835,65911.09573674049,24.123239425850564,67504.45251823419,81824.80443173162,19.243175102399597
10.3,19952623149.688828,22018307569.06995,29251.472776635204,39800.451608712385,44.40802040701295,52367.91803894959,64172.164706742515,24.80526338728695,66094.16235582654,80050.86652173047,19.653778090214143
10.4,25118864315.09582,22602989032.742966,28610.59429343199,38971.77639054251,45.40276188174832,51306.86267512077,62935.88379577077,25.318250469247626,65123.895224022344,78826.57349848456,19.94659557035888
10.5,31622776601.683792,23536990997.216114,27746.812456046144,37825.89834912522,46.816188420120405,49859.33327995177,61221.98757878538,26.053296635683704,63675.30412776531,77010.37241967495,20.400373705220787
10.6,39810717055.34969,24020703575.492294,27397.129397635934,37356.149826680856,47.413726494721345,49239.88731949112,60492.8267682319,26.381051434409024,63094.379457504896,76281.22718781189,20.58820470490399
10.7,50118723362.72715,24598371762.12223,26995.187164309995,36814.52225286505,48.11968859832141,48524.13789004647,59649.911090665024,26.770181944158924,62423.47994952112,75438.96365662086,20.809477476270775
10.8,63095734448.019424,25301721631.549305,26507.705970824183,36162.59226232666,49.00461780546946,47675.23150035799,58650.28772600325,27.246852487548924,61618.925382686924,74428.68293714925,21.081185559996477
10.9,79432823472.42822,26785461659.557117,25313.455862317584,34577.795351119916,51.31658067809432,45644.994202138194,56255.97693192255,28.458761419650912,59655.268980378416,71961.79602245755,21.775109260294546
11.0,100000000000.0,27087169621.33858,25163.40375361709,34374.05615123515,51.622587020377814,45374.76515162629,55936.83033056805,28.628247345395728,59401.68394124597,71643.24759976886,21.86806692693825
