time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra,Mass
6.0,1000000.0,1434444049.1652508,14077.617073790603,18946.824382344563,92.27413937962906,20953.63369191207,26198.334610188216,61.994020660073076,24461.30194463019,31730.664441789748,53.104287046551086,1000000.0007200831
6.1,1258925.411794166,1475206489.5686917,13606.783380090019,18430.9413443945,95.4670890036177,21113.771652050105,26263.574044388584,61.523825368920754,23822.758567192013,30849.55161130021,54.52769024780127,999063.8307200831
6.2,1584893.1924611141,1432733470.9646986,13399.977505807441,18204.739998391145,96.94046123861207,21136.665302646437,26248.977988529175,61.45718737559597,23519.982525198542,30451.17457400769,55.229632871040344,995590.6407200831
6.3,1995262.3149688789,1324465620.4579816,13147.408876305492,17930.263200951762,98.80273841190734,21093.00640741027,26159.802287294282,61.58439318273961,23149.77908239155,29970.7276955974,56.112846493125296,989451.6607200832
6.4,2511886.4315095823,1139349383.4029644,12825.185559196645,17582.41978658381,101.28508425895771,20817.904028172285,25840.95550184302,62.398212531006955,22645.267389819826,29371.831332111564,57.36297910017018,978838.9424290252
6.5,3162277.6601683795,922443114.9891881,12348.095479747628,17062.515025036093,105.19840910936567,20213.87199364616,25185.59968772029,64.26279934929417,21875.449559480265,28502.818685606784,59.38163677358788,966652.4866
6.6,3981071.7055349695,647001255.7674546,12020.828576598306,16692.363110855455,108.06243444223503,19976.049754586544,24894.929561330373,65.02787167426567,21350.47351713985,27863.63909994106,60.84174193875287,951659.2431
6.7,5011872.336272725,460662481.7840297,11640.916228128617,16243.073118503122,111.58915454276283,19815.577165649524,24655.64572235862,65.55448721684614,20652.378298872205,27002.824851018304,62.8983248903075,934670.0541000001
6.8,6309573.44480193,330862499.9765223,10883.931323239787,15341.389210396366,119.35025694496302,18926.17664751641,23595.272231405568,68.63509858291751,19494.285004914513,25552.477978624047,66.6349137540834,919045.478
6.9,7943282.347242822,244533861.29090843,9979.592679932435,14236.268904934295,130.1656331737975,17426.317344444084,21877.798233120986,74.54242765836877,18095.065071950638,23833.755511460196,71.78752852420489,904473.525
7.0,10000000.0,166653100.23657706,9575.343212592163,13791.580776720866,135.66093362499376,16890.47802664817,21270.79141618872,76.90723719900426,17595.598411095958,23207.194667042953,73.8252811669558,889923.2797
7.1,12589254.117941663,115559909.18626659,9177.126862440764,13361.138054026847,141.54756924156933,16282.691546367247,20595.452869272594,79.77796522773372,17163.421104456243,22660.014968361815,75.68421191173435,876663.6306
7.2,15848931.924611142,81699349.62383555,8926.955134304075,13109.001880446911,145.51434172759144,15935.652803965784,20214.073764746143,81.51533018319324,16977.92137708705,22401.640205885913,76.5111329678494,863358.442
7.3,19952623.149688788,62434632.1927027,8416.421204481381,12502.354991997327,154.34113484105794,15039.595673331178,19194.19553497722,86.37200282607594,16426.540953072657,21654.643056275712,79.07933896192651,852415.16
7.4,25118864.315095823,48687082.48332785,8307.60198155448,12424.493738662819,156.3628111799522,14895.201119404475,19056.368858052603,87.20929577162603,16403.89365870743,21621.100197273518,79.18851627707738,846490.038
7.5,31622776.60168379,39089973.71209465,7777.797403488545,11791.212452027536,167.013864287255,13878.400396451574,17907.386226533195,93.59868305371332,15858.917964274933,20880.137090718188,81.90974963905049,834736.0750000001
7.6,39810717.05534969,30989874.962456405,7342.902646998924,11286.890757143688,176.90551849150648,13065.611037263858,16991.802658180946,99.4212973503634,15485.42256989235,20350.042494697253,83.88534404773627,825949.784
7.7,50118723.36272725,25927817.548902906,6663.275265709768,10428.133212465893,194.9491726215863,11802.096818454796,15526.758810090401,110.06518756639662,14635.15740355517,19213.70657829128,88.75886771702552,815807.661
7.8,63095734.448019296,22044379.24965376,6061.305625301987,9640.912930832857,214.3102625575461,10648.641193436833,14175.90204815403,121.98739504910951,13832.357623955419,18140.645652571406,93.91023824820296,806231.797
7.9,79432823.47242822,17065855.388765164,5777.971336406563,9337.100810639624,224.819391507725,10141.466539172077,13629.199237333753,128.08798362470827,13668.378310540007,17900.036171571577,95.03687785684939,795287.626
8.0,100000000.0,14964361.017094111,5162.654560707642,8524.04054140247,251.6147429050428,9036.805228138628,12325.132752201858,143.74549049206007,12800.811324824632,16751.43362358397,101.47794284576692,785413.592
8.1,125892541.17941661,12930751.439297087,4505.044782203823,7644.720014749662,288.34341561518113,7849.29369310401,10922.607031515614,165.49259726913203,11835.477639234818,15483.081588712943,109.75475934268947,776038.606
8.2,158489319.2461111,9895939.02503683,4281.173526715691,7376.278516596395,303.4214782217739,7429.173088714755,10458.706506507715,174.85122294071178,11651.536665242882,15225.36511780619,111.48744043993631,763698.658
8.3,199526231.49688828,8791939.296009421,3617.937159509215,6447.664911621744,359.044378807346,6270.052174646973,9055.742009852533,207.17530952174866,10509.669772014458,13747.104496419413,123.60045826168827,754310.83
8.4,251188643.1509582,6119657.631405047,3594.4613740370255,6472.313732897495,361.3893334291313,6212.848614466255,9047.737215003179,209.0828347201885,10720.090121710793,14003.19653735738,121.1743544365554,740364.618
8.5,316227766.01683795,5104910.7945101345,3120.354604290651,5809.9133330938275,416.2988393094192,5395.052738329805,8059.391124406877,240.77614492460793,9920.104857747641,12966.495934972341,130.94619649967467,731285.806
8.6,398107170.5534969,4283220.098237604,2868.7819247762677,5458.8140605167155,452.8054184883039,4967.481826018046,7549.756088049279,261.5007050848707,9479.552194257441,12406.058846532254,137.0317894116257,721524.057
8.7,501187233.6272715,4583161.471078047,2528.176287192146,4890.993886305644,513.8091068177453,4357.0899090785315,6739.912477240134,298.1347704791159,8535.711510667094,11214.678043780956,152.184149895019,713204.968
8.8,630957344.4801943,4251490.355791582,2377.0759231414518,4639.270042530593,546.4697140524194,4082.573749738452,6382.539969487915,318.1816372780087,8089.357365394505,10660.772500528337,160.58135910239264,702884.996
8.9,794328234.7242821,3713666.9621227575,2261.092812666725,4442.567057714822,574.5009637476862,3871.8501311601162,6101.46899603796,335.49852292727627,7745.015876146382,10228.410854375517,167.72076659013018,692278.897
9.0,1000000000.0,2702732.541334153,2265.939447339744,4461.523431338517,573.2721593796563,3877.1262809834393,6125.724826723475,335.0419630052665,7780.531405843629,10279.882729799201,166.9551772549078,680556.602
9.1,1258925411.794166,1794225.2025123374,2324.821968586666,4590.571007086931,558.7524625766091,3975.4424538923936,6299.221911415983,326.7560818867185,8022.396960529659,10598.552930005832,161.92168081324124,670928.045
9.2,1584893192.4611108,1309272.7746401157,2347.1429158382944,4643.609399810203,553.4388175660174,4009.9785896610247,6368.1565827662835,323.9418792282899,8118.965196016296,10729.183942773265,159.99575914395786,658894.8150000001
9.3,1995262314.9688828,1282762.51518676,2208.0189962470413,4367.769484692944,588.3101559397377,3764.401164845666,5986.13086607971,345.07480555762095,7599.094244990094,10060.308119117755,170.94142513844994,635485.6329999999
9.4,2511886431.509582,980513.0575087434,2211.1078351114857,4377.321245669288,587.4883076132303,3766.964656396227,5997.366656059625,344.83997554750755,7614.253991593373,10083.433926957694,170.60108599400277,620659.008
9.5,3162277660.1683793,796968.43837443,2173.9117905532366,4305.480055381646,597.5403443896952,3699.751646847377,5897.071715166379,351.10464809358234,7475.670387355142,9907.834123715265,173.76368040479912,605568.1460000001
9.6,3981071705.5349693,629625.9209014348,2157.7079987595653,4273.823951136163,602.0277075242693,3669.7505347481074,5852.983522675872,353.97501484093755,7411.236766813796,9827.424663489553,175.27438953464443,589950.118
9.7,5011872336.272715,487790.7689515977,2145.7902286143585,4249.494004572617,605.3713837809895,3646.628780512611,5818.436832901861,356.2194229754854,7360.366737850394,9763.937545567444,176.4857711939738,574060.067
9.8,6309573444.801943,370412.9201302148,2148.4201245895483,4256.041929096796,604.630344471462,3650.67260782637,5827.081483491952,355.82484093895,7371.283879784202,9779.374911688663,176.22438929024517,559663.276
9.9,7943282347.242822,326096.6791235224,2134.68166483379,4230.139239705336,608.5216458263543,3627.442270682223,5791.891511361895,358.1035625291133,7323.397106888361,9718.023919626463,177.37669841475142,548114.104
10.0,10000000000.0,190318.2043735069,2184.6345937091714,4327.373000052612,594.6074477354581,3710.1477587236977,5923.160272042886,350.1208265750742,7498.367739655023,9946.13209463354,173.23770253761427,535231.976
10.1,12589254117.941662,210641.50141643427,2110.660154650714,4181.751227026568,615.4472557496908,3584.279410734379,5724.704672474593,362.41594226992737,7229.583604299698,9598.282591634845,179.6783979685133,530787.43
10.2,15848931924.611109,135597.10806609972,2153.161767297763,4266.868704376206,603.2988416055039,3655.2147584977947,5839.624255250323,355.38267539001123,7385.1507127846635,9801.374427185652,175.89349906580253,519055.858
10.3,19952623149.688828,159333.41768859004,2068.1107080415595,4098.57585014876,628.1095083300038,3512.950440335109,5611.934186566618,369.7746444370804,7078.155094864095,9401.512712921196,183.52239850502195,516964.459
10.4,25118864315.09582,100865.96547161655,2221.5641452191135,4387.7073168358265,584.7231567882003,3782.045194328221,6014.280961742041,343.46495963296724,7591.967447363056,10064.16679448257,171.1018927578761,503314.964
10.5,31622776601.683792,127989.13797961856,2589.4297735461614,4712.39966277061,501.6548482104811,4429.942504452835,6623.769151970305,293.2317967319637,7640.812233462504,10133.173427449292,170.0081038912464,499257.139
10.6,39810717055.34969,52651.73722443466,3185.639990107054,5456.62953969294,407.76735727640926,5104.683365125396,7470.873771721674,254.47219878016668,8629.954250360064,11400.310392818554,150.5222348016274,470978.487
10.7,50118723362.72715,49946.35217631395,3169.140642281839,5423.975129893971,409.89029728409156,5052.209638570946,7405.021588376352,257.1152214434695,8585.047096259344,11339.509033373291,151.30959509424207,468470.1
10.8,63095734448.019424,48305.51710582991,3034.285185114035,5274.999625777107,428.1074192936089,4922.511229950679,7253.437841476434,263.8896976194436,8412.500588448202,11121.26593584173,154.41306497900857,467357.978
10.9,79432823472.42822,80943.71585616111,2281.108781090722,4315.199525073637,569.4599094826497,3798.091812338087,5906.928104960828,342.0138491071235,7251.835481452414,9622.997478577403,179.12706422013773,483675.463
11.0,100000000000.0,13074.10881701094,3427.233312540679,5746.862061477105,379.02292652408437,5485.146219090483,7902.020278840828,236.82139875851715,8965.340195808709,11821.634881520698,144.89132276400196,1078378.18
