time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra
6.0,1000000.0,1609472694.8270438,35469.66459041917,49108.8713654997,36.622844196583614,50680.814033769275,65442.677949342586,25.631001095098032,60455.63521714202,80867.81728162024,21.48683072031757
6.1,1258925.411794166,2038048342.2118702,35315.68568696839,48925.23927008446,36.782522404183005,50881.94129890388,65581.29000180756,25.529686305974014,60326.56297965567,80578.60385638257,21.53280306119993
6.2,1584893.1924611141,2562058954.5266824,35127.25786970178,48701.604799154775,36.97982930573192,51094.74953553357,65722.03713798984,25.423355859619537,60153.712992337445,80221.31885589147,21.5946769597659
6.3,1995262.3149688789,3171898194.1881466,34899.517936205215,48434.30406557871,37.221144497597784,51286.907080234094,65832.81501309818,25.32810173106798,59926.029835418434,79789.04195118963,21.67672384717608
6.4,2511886.4315095823,3832335500.278723,34618.27428120287,48110.45207241038,37.52353423074399,51358.01529443607,65821.16054806572,25.293033473992693,59600.03264792802,79263.46957401634,21.795290074311048
6.5,3162277.6601683795,4505489249.975692,34252.26914546344,47693.5117645657,37.924494709631425,51230.45119685352,65609.61839561253,25.35601326267027,59126.067396586535,78599.11382082911,21.970005062014216
6.6,3981071.7055349695,5099890616.527303,33928.924918719065,47320.399797268954,38.28591690163821,51101.20450425614,65404.937076980925,25.42014444868532,58699.89095073805,78004.55970818647,22.129513001823852
6.7,5011872.336272725,5632682399.921681,33624.44567941442,46959.07452355213,38.63260713306791,50994.13810872478,65220.15170310374,25.473516136901804,58273.47625081136,77408.88481300017,22.291445157811626
6.8,6309573.44480193,6114432953.6875515,33252.481548097596,46507.25330223309,39.06475365217718,50763.85817252291,64888.21399594352,25.589071571063393,57753.06695036118,76687.92750111417,22.492311986071527
6.9,7943282.347242822,6562676124.096706,32792.28708656545,45938.56646561219,39.612973519379274,50336.46102875847,64331.986879532546,25.80634342286894,57097.81505252477,75803.18288660477,22.750432723301913
7.0,10000000.0,6947257344.12999,32392.354634646512,45449.54037840553,40.10205539706594,49956.97291829898,63842.60681195612,26.002376127240947,56544.63645725285,75054.41218633222,22.973001179024827
7.1,12589254.117941663,7282980941.073463,32033.42948848614,45015.806245121785,40.551387120973196,49602.88016049094,63392.05680617619,26.187995451011393,56065.2994203323,74404.38417867689,23.169411622350356
7.2,15848931.924611142,7581789666.420557,31718.51272235057,44639.731202793395,40.95400094483795,49290.74526518305,62996.87574765878,26.353831596812146,55661.93920529248,73852.72187207709,23.33731124977564
