time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra
6.0,1000000.0,1609472694.8270438,61055.29244982298,79042.7556155959,21.275796869985612,92857.51855025471,112402.52483965986,13.989174170069795,107238.09083607967,134241.75834396636,12.113233179296385
6.1,1258925.411794166,2038048342.2118702,60587.15233304322,78530.06977512207,21.440189049643568,93002.15481661083,112455.41465950427,13.96741830940878,106598.38067316519,133368.5383147233,12.185926200725177
6.2,1584893.1924611141,2562058954.5266824,60028.117290211034,77918.20038575387,21.639859096694206,93130.72472602387,112478.2445411447,13.948135846912566,105813.62879539888,132314.8331711698,12.276301406426057
6.3,1995262.3149688789,3171898194.1881466,59381.48458929551,77212.17778607052,21.875505622406852,93183.52099054141,112411.65280327169,13.940233060434098,104890.33203796852,131093.11980230754,12.38436350387168
6.4,2511886.4315095823,3832335500.278723,58653.74862374039,76420.54212432842,22.146922071988822,92999.22428508982,112105.99679314966,13.967858441678027,103814.960222857,129726.42799097585,12.512647475965592
6.5,3162277.6601683795,4505489249.975692,57799.63700843921,75490.0921111523,22.474189583757,92447.0862932553,111430.71745129484,14.05128113913063,102507.37759366591,128140.60361718411,12.672258626585597
6.6,3981071.7055349695,5099890616.527303,57053.92778551258,74669.5433708592,22.767932908728657,91949.62352769329,110822.5789475845,14.127300908510719,101351.50380142407,126738.80410032466,12.816780721331023
6.7,5011872.336272725,5632682399.921681,56349.656924785675,73879.2520778252,23.052491725617383,91517.27889613935,110276.52065316959,14.194040903185094,100209.20064325682,125349.94602297965,12.962881568374343
6.8,6309573.44480193,6114432953.6875515,55537.73463451148,72945.55705546058,23.389502804689364,90858.50087256789,109469.40444514358,14.29695611885443,98912.96851669077,123762.24972443846,13.132757205449801
6.9,7943282.347242822,6562676124.096706,54598.83015459831,71840.3752301582,23.79171854638351,89848.49929665033,108271.94276557992,14.45767052503712,97421.6967147097,121938.25127877443,13.333785427736899
7.0,10000000.0,6947257344.12999,53785.1142352528,70890.16212187566,24.15166386592122,88947.2645745549,107210.63008888713,14.604159062263104,96165.4425229165,120398.0919891314,13.50797090847312
7.1,12589254.117941663,7282980941.073463,53059.266184714215,70049.7534755353,24.48205739366647,88108.17573852564,106230.85154810666,14.743240217059757,95083.88615291376,119068.42366015028,13.661620833533771
7.2,15848931.924611142,7581789666.420557,52421.388240483466,69318.31585219581,24.779961836203746,87360.98840182225,105362.31709233286,14.869337260988504,94168.08735469177,117936.71244427889,13.794482148790074
7.3,19952623.149688788,7869264766.089621,51765.71851967123,68561.83768009677,25.09382728854374,86542.72899879959,104414.37295364484,15.009926484037937,93256.26691166889,116799.55282102156,13.929358776825106
7.4,25118864.315095823,8151485181.223917,51149.83406530452,67859.59354959553,25.395976814734684,85773.68965756407,103527.66028562121,15.144504161894194,92421.38856736114,115756.86691178942,14.055188091587983
7.5,31622776.60168379,8436744640.070448,50484.98438612319,67095.79247695272,25.730422932586983,84887.91097799053,102509.70522557452,15.302532304473845,91545.87003147246,114654.73829246146,14.189607893326244
7.6,39810717.05534969,8721449250.188984,49798.19588896656,66305.36595055494,26.085282344290917,83937.7893032751,101420.36076726223,15.475747107260489,90670.66796517334,113544.4045944202,14.326573622452486
7.7,50118723.36272725,9021324510.225477,49015.05994491722,65390.04158236132,26.50205878478588,82803.44445012427,100117.57675348042,15.687753192229078,89671.59194609331,112270.13471757439,14.486193138858322
7.8,63095734.448019296,9342300502.116339,48134.725960363765,64345.30080931675,26.986753826533743,81481.7140497786,98596.06831142033,15.94222722421399,88538.7224620687,110819.94576076881,14.671546684632938
7.9,79432823.47242822,9655126426.706957,47290.2493234754,63348.06809011229,27.468664652507176,80203.04095741552,97128.79226183245,16.1963933598193,87482.6212257431,109463.02782899143,14.848663446514898
8.0,100000000.0,10000455269.002893,46318.76931068792,62184.475638591866,28.044786580723322,78703.09066473515,95402.22058403505,16.505069737776495,86247.65256619277,107873.59186210892,15.061279482395792
8.1,125892541.17941661,10376118283.533775,45222.50296173762,60853.12487002503,28.724637402292238,76980.54882286966,93413.80739637568,16.874392555825587,84827.58744946725,106044.66875177916,15.31341440983252
8.2,158489319.2461111,10738054203.439934,44203.44874796008,59615.77478548246,29.38684733416749,75369.6907789856,91556.86203578235,17.235044837973305,83523.84106698584,104362.40836901871,15.552445665881269
