time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra,Mass
6.0,1000000.0,1434444049.1652508,75872.92476552495,96784.59343706645,17.120731855459432,116371.4963901581,139181.17907325045,11.162527253622738,133805.87355030395,165320.02677892652,9.70809401361327,1000000.0007200831
6.1,1258925.411794166,1475206489.5686917,72998.8255093304,93629.77507082332,17.79480684704944,117200.75219474356,139454.1038539859,11.083546612751688,129857.91014039324,159965.48056628674,10.003241224162721,999063.8307200831
6.2,1584893.1924611141,1432733470.9646986,71741.90668461222,92252.69109804927,18.106572016695786,117291.52639070712,139325.1716031862,11.07496884022918,128002.61549110705,157555.22843527386,10.148230135893181,995590.6407200831
6.3,1995262.3149688789,1324465620.4579816,70211.18238637486,90585.1253762247,18.501326367807806,116983.64822568983,138750.43359395507,11.104115999989281,125742.23154328583,154653.6040961051,10.330658077694675,989451.6607200832
6.4,2511886.4315095823,1139349383.4029644,68280.9564717472,88495.57237628504,19.024338074957853,115322.31994814357,136832.3045382763,11.264081407520374,122711.72893550344,151068.99874089326,10.585785167143612,978838.9424290252
6.5,3162277.6601683795,922443114.9891881,65441.20206247008,85388.40205434978,19.849879877817287,111725.42930925169,132931.16526769273,11.626717462901109,118119.95056169402,145889.26142365843,10.997295493461392,966652.4866
6.6,3981071.7055349695,647001255.7674546,63471.190838848685,83146.08515223776,20.465978073392687,110267.04316562976,131158.0999508125,11.780491819743457,114932.16610339077,142038.04923193032,11.30231895944121,951659.2431
6.7,5011872.336272725,460662481.7840297,61180.572845456605,80422.35638674245,21.23223009502217,109200.63583487841,129632.47608333905,11.895535131903534,110642.80740895947,136823.84084897896,11.740483004906213,934670.0541000001
6.8,6309573.44480193,330862499.9765223,56639.57649429863,74964.11680659237,22.934493518516298,103729.97391406093,123161.62133056189,12.522899129196796,103488.17902835419,128004.97158377615,12.552158248374374,919045.478
6.9,7943282.347242822,244533861.29090843,51246.54137118726,68302.27998727656,25.348052087869224,94587.88815504871,112751.43299432046,13.73325935632135,94825.40899607194,117541.60804444259,13.69885997595655,904473.525
7.0,10000000.0,166653100.23657706,48819.85295945128,65608.05440864882,26.608027702969967,91372.04342708722,109113.22297708438,14.21660226999927,91792.67691308218,113760.70117332824,14.151455689978556,889923.2797
